hunt_code,comparison_bucket,in_active_database_2026,harvest_species,harvest_hunt_name,harvest_weapon,harvest_permits,harvest_hunters,harvest,harvest_success_percent,harvest_average_days,draw_species,draw_hunt_name,draw_rows,draw_permits_2023_res,draw_permits_2023_nr,draw_permits_2023_total
DA1001,both,YES,Antlerless Deer,"Box Elder, West Bear River",Any Legal Weapon,30,12,4,30,4.5,Deer,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",68,29,1,
DA1002,both,YES,Antlerless Deer,"Box Elder, West Bear River",Any Legal Weapon,28,18,10,55.6,3.5,Deer,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",68,30,0,
DA1003,both,YES,Antlerless Deer Antlerless Deer,"Monroe/Plateau,","Archery, Muzzleloader, Shotgun",15,12,38,25,3.6,Deer,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",68,15,0,
DA1009,both,YES,Antlerless Deer,"Pine Valley, Enterprise",Any Legal Weapon,25,20,18,90,2.6,Deer,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",68,20,5,
DA1011,both,YES,CWMU Antlerless Deer,George Creek,Any Legal Weapon,5,4,4,100,1,Deer,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,68,5,0,
DA1012,both,YES,CWMU Antlerless Deer,Junction Valley,Any Legal Weapon,15,13,24,100,2,Deer,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,68,20,0,
DA1013,both,YES,CWMU Antlerless Deer,Mt Carmel,Any Legal Weapon,5,4,3,75,1,Deer,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,68,5,0,
DA1018,both,YES,Antlerless Deer,"Pine Valley, New Harmony","Archery, Muzzleloader, Shotgun",18,14,14,64.3,3.4,Deer,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",68,22,3,
DA1027,both,YES,Antlerless Deer,"East Canyon, Davis-North Salt Lake",Any Legal Weapon,30,29,14,48.3,3.4,Deer,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",68,39,1,
DA1030,both,YES,Antlerless Deer,"Nine Mile, Price River Valley",Archery,25,18,7,38.9,5.9,Deer,"Antlerless Deer - Nine Mile, Price River Valley - Archery",68,24,0,
DA1031,both,YES,Antlerless Deer,"Oquirrh-Stansbury, Settlement Cyn",Archery,20,17,12,68.8,3.2,Deer,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",68,25,0,
DA1033,both,YES,Antlerless Deer,"San Juan, Monticello",Archery,5,3,0,0,1.3,Deer,"Antlerless Deer - San Juan, Monticello - Archery",68,5,0,
DA1041,both,YES,Antlerless Deer,"Nine Mile, Green River Valley",Any Legal Weapon,14,9,3,37.5,1.5,Deer,"Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",68,21,4,
DA1042,both,YES,Antlerless Deer,"San Juan, Monticello",Archery,5,4,1,33.3,7.7,Deer,"Antlerless Deer - San Juan, Monticello - Archery",68,4,1,
DA1044,both,NO,Antlerless Deer Antlerless Deer,Sevier Valley Myton,Any Legal Weapon,47,28,28,54.5,3.8,Deer,"Two Doe Antlerless Deer - South Slope, Myton - Any Legal Weapon",68,98,2,
DA1045,both,YES,Antlerless Deer,"Fillmore, Oak City",Archery,14,13,7,54.5,3.7,Deer,"Antlerless Deer - Fillmore, Oak City - Archery",68,14,0,
DA1046,both,YES,Antlerless Deer,"Nine Mile, Price River Valley","Archery, Muzzleloader, Shotgun",24,21,9,42.1,4.2,Deer,"Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",68,25,0,
DA1047,both,YES,Antlerless Deer,Vernal-Ouray Valley,Any Legal Weapon,50,37,12,22.9,4.6,Deer,"Two Doe Antlerless Deer - South Slope, Vernal-ouray Valley - Any Legal Weapon",68,46,4,
DA1048,both,YES,Antlerless Deer,Fillmore City,Archery,15,13,8,60,4.1,Deer,Antlerless Deer - Fillmore City - Archery,68,15,0,
DA1049,both,YES,Antlerless Deer,Ashley Valley,Archery,75,56,13,22.6,6.4,Deer,"Antlerless Deer - South Slope, Ashley Valley - Archery",68,70,1,
DA1050,harvest_only,YES,CWMU Antlerless Deer,The Rose of Snowville,Any Legal Weapon,9,9,6,66.7,1.7,,,0,,,
EA1009,draw_only,NO,,,,,,,,,Elk,"Antlerless Elk - Cache, East - Any Legal Weapon",68,368,32,
EA1010,both,YES,Antlerless Elk,"Cache, Rich",Any Legal Weapon,18,18,3,14.3,8.1,Elk,"Antlerless Elk - Cache, Rich - Any Legal Weapon",68,44,4,
EA1011,both,YES,Antlerless Elk,"Cache, Richards Hollow",Any Legal Weapon,20,19,13,68.4,5,Elk,"Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",68,36,4,
EA1012,both,YES,Antlerless Elk,"Cache, Richmond Hyde Park",Any Legal Weapon,10,5,1,20,8.6,Elk,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",68,4,1,
EA1013,both,YES,Antlerless Elk,Central Manti,Any Legal Weapon,60,59,25,43.1,4.7,Elk,"Antlerless Elk - Central Mtns, Central Manti - Any Legal Weapon",68,36,4,
EA1015,both,YES,Antlerless Elk,Ferron Canyon,Any Legal Weapon,58,56,20,35.2,4.9,Elk,"Antlerless Elk - Central Mtns, Ferron Canyon - Any Legal Weapon",68,45,5,
EA1017,both,YES,Antlerless Elk,Gordon Creek-Price Canyon,Any Legal Weapon,69,64,27,42.3,8.7,Elk,"Antlerless Elk - Central Mtns, Gordon Creek-price Canyon - Any Legal Weapon",68,36,4,
EA1018,both,YES,Antlerless Elk,Horn Mtn,Any Legal Weapon,49,48,30,61.7,4.7,Elk,"Antlerless Elk - Central Mtns, Horn Mtn - Any Legal Weapon",68,36,4,
EA1020,both,YES,Antlerless Elk,Mohrland-Stump Flat,Any Legal Weapon,88,78,53,68.9,6.8,Elk,"Antlerless Elk - Central Mtns, Mohrland-stump Flat - Any Legal Weapon",68,72,8,
EA1021,both,YES,Antlerless Elk,Nebo,Any Legal Weapon,197,185,68,37.1,4.1,Elk,"Antlerless Elk - Central Mtns, Nebo - Any Legal Weapon",68,165,15,
EA1022,both,YES,Antlerless Elk,North Manti,Any Legal Weapon,271,258,71,27.4,4.3,Elk,"Antlerless Elk - Central Mtns, North Manti - Any Legal Weapon",68,225,21,
EA1023,both,YES,Antlerless Elk,South Manti,Any Legal Weapon,97,90,34,38.1,4.5,Elk,"Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon",68,63,6,
EA1024,both,YES,Antlerless Elk,South Manti,Any Legal Weapon,98,94,68,72.9,5.7,Elk,"Antlerless Elk - Central Mtns, South Manti - Any Legal Weapon",68,108,12,
EA1025,both,YES,Antlerless Elk,West Manti,Any Legal Weapon,109,87,42,48.6,8.3,Elk,"Antlerless Elk - Central Mtns, West Manti - Any Legal Weapon",68,90,10,
EA1026,both,YES,Antlerless Elk,Chalk Creek,Any Legal Weapon,340,245,71,28.8,6.8,Elk,Antlerless Elk - Chalk Creek - Any Legal Weapon,68,316,8,
EA1030,both,YES,Antlerless Elk,"Fillmore, Pahvant",Any Legal Weapon,49,45,15,33.3,4.4,Elk,"Antlerless Elk - Fillmore, Pahvant - Any Legal Weapon",68,27,3,
