source_file,source_row_number,rac_family,allocation_scope,hunt_code,hunt_codes_raw,hunt_name,permit_group,category,species,weapon,sex_type,season_dates_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2025_text,permits_2026_text,source_document,source_note,db_hunt_name,db_species,db_weapon,db_hunt_type,db_season,db_permits_2026_res,db_permits_2026_nr,db_permits_2026_total,comparison_status,comparison_detail,delta_res,delta_nr,delta_total,significant_difference
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,2,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1001,DA1001,"Box Elder, West Bear River","Box Elder, West Bear River",,Deer,"Archery, Muzzleloader, Shotgun",,Aug 18 2026 - Aug 30 2026,,,30,,,30,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Box Elder, West Bear River",Deer,"Archery, Muzzleloader, Shotgun",General Season,Aug 18 2026 - Aug 30 2026,,,30,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,3,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1002,DA1002,"Box Elder, West Bear River","Box Elder, West Bear River",,Deer,"Archery, Muzzleloader, Shotgun",,Nov 24 2026 - Nov 29 2026,,,30,,,30,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Box Elder, West Bear River",Deer,"Archery, Muzzleloader, Shotgun",General Season,Nov 24 2026 - Nov 29 2026,,,30,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,4,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1027,DA1027,"East Canyon, Davis-North Salt Lake","East Canyon, Davis-North Salt Lake",,Deer,Any Legal Weapon,,Aug 01 2026 - Sept 15 2026,,,30,,,30,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"East Canyon, Davis-North Salt Lake",Deer,Any Legal Weapon,General Season,Aug 01 2026 - Sept 15 2026,,,30,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,5,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1048,DA1048,Fillmore City,Fillmore City,,Deer,Archery,,Aug 01 2026 - Sept 04 2026,,,15,,,15,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,Fillmore City,Deer,Archery,General Season,Aug 01 2026 - Sept 04 2026,,,15,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,6,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1045,DA1045,"Fillmore, Oak City","Fillmore, Oak City",,Deer,Archery,,Aug 01 2026 - Sept 04 2026,,,20,,,20,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Fillmore, Oak City",Deer,Archery,General Season,Aug 01 2026 - Sept 04 2026,,,20,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,7,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1003,DA1003,"Monroe/Plateau, Sevier Valley","Monroe/Plateau, Sevier Valley",,Deer,"Archery, Muzzleloader, Shotgun",,Sept 01 2026 - Sept 30 2026,,,15,,,15,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Monroe/Plateau, Sevier Valley",Deer,"Archery, Muzzleloader, Shotgun",General Season,Sept 01 2026 - Sept 30 2026,,,15,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,8,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1041,DA1041,"Nine Mile, Green River Valley","Nine Mile, Green River Valley",,Deer,Any Legal Weapon,,Oct 03 2026 - Oct 25 2026,,,15,,,15,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Nine Mile, Green River Valley",Deer,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,,,15,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,9,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1030,DA1030,"Nine Mile, Price River Valley","Nine Mile, Price River Valley",,Deer,Archery,,Aug 15 2026 - Sept 11 2026,,,25,,,25,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Nine Mile, Price River Valley",Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,25,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,10,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1046,DA1046,"Nine Mile, Price River Valley","Nine Mile, Price River Valley",,Deer,"Archery, Muzzleloader, Shotgun",,Sept 12 2026 - Oct 09 2026,,,25,,,25,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Nine Mile, Price River Valley",Deer,"Archery, Muzzleloader, Shotgun",General Season,Sept 12 2026 - Oct 09 2026,,,25,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
pipeline\RAW\hunt_unit_database\2026\csv\2026_rac_antlerless_deer_permits.csv,11,antlerless_deer,HUNT_CODE_TOTAL_ONLY,DA1031,DA1031,"Oquirrh-Stansbury, Settlement Cyn","Oquirrh-Stansbury, Settlement Cyn",,Deer,Archery,,Aug 15 2026 - Sept 11 2026,,,20,,,20,,,2026-05-user-verified-table,User-provided antlerless deer comparison table for 2025 to 2026.,"Oquirrh-Stansbury, Settlement Cyn",Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,20,MATCH_TOTAL,RAC total-only value matches DATABASE.csv total.,,,0,NO
