hunt_code,hunt_name,species,OBJECTID,Boundary_Name,BoundaryID,OBJECTID
DB1200,Alton - Premium Buck CWMU | Alton,Deer,19739,5S Land and Livestock,878,19739,,,,
DB1201,Alton - Management Buck CWMU | Alton,Deer,19340,Allen Ranch,557,19340,,,,
DB1209,Blind Springs CWMU |Blind Spring,Deer,479,Alton,526,479,,,,
DB1238,Folley Ridge CWMU | Folley Ridge,Deer,16462,Antelope Creek,581,16462,,,,
DB1255,Johnson Mountain Ranch CWMU | Johnson Mtn Ranch,Deer,10725,Avintaquin Canyon,599,10725,,,,
DB1310,White's Valley CWMU | Whites Valley,Deer,19299,Bally Watts,559,19299,,,,
DB1330,Iron Spring CWMU | Iron Springs,Deer,19295,Bar J Ranch,527,19295,,,,
DB1333,5S CWMU | 5S Land and Livestock,Deer,138,Bear Mountain,582,138,,,,
DB1334,Alton - Cactus Buck CWMU | Alton,Deer,18069,Bear Springs,575,18069,,,,
DB1335,Big Piney Ranch CWMU | Big Piney Mountain Ranch,Deer,17665,Big Piney Mountain Ranch,892,17665,,,,
DB1337,Little Pole Canyon CWMU,Deer,21824,Blackhawk,808,21824,,,,
DB1349,Weber Florence Creek/Stillman Creek CWMU,Deer,19319,Blind Spring,Stillman Creek Ranch;Weber Florence Creek,524;593,,,Weber Florence Creek,524
EA1135,Folley Ridge CWMU | Folley Ridge,Elk,13205,Blue Creek,594,13205,,,,
EA1145,Johnson Mountain Ranch CWMU | Johnson Mtn Ranch,Elk,145,Blue Spring Hills,510,145,,,,
EA1158,Cactus Ranch LLC CWMU | Cactus Ranch,Elk,143,Bluebell,604,143,,,Riverview Ranch LLC,517
EA1256,Little Pole Canyon CWMU,Elk,146,Boobe Hole,529,146,,,,
EA1259,Diamond Mountain CWMU,Elk,148,Buckhorn Ranch,598,148,,,The Dirty Dozen,923
EA1263,Weber Florence Creek/Stillman Creek CWMU,Elk,19294,Castle Valley Outdoors,Stillman Creek Ranch;Weber Florence Creek,524;593,,,Weber Florence Creek,524
EB3520,Folley Ridge CWMU,Elk,137,Causey Spring,560,137,,,,
EB3531,Johnson Mountain Ranch CWMU,Elk,20130,Cedar Springs,830,20130,,,Johnson Mtn Ranch,531
EB3545,Cactus Ranch LLC CWMU,Elk,11150,Chimney Rock,732,11150,,,Riverview Ranch LLC,517
EB3613,Little Pole Canyon CWMU,Elk,9896,Circle E Ranch,549,9896,,,,
EB3619,Weber Florence Creek/Stillman Creek CWMU,Elk,11554,Clear Creek,Stillman Creek Ranch;Weber Florence Creek,524;593,,,Weber Florence Creek,524
MB6201,Beaver Hollow CWMU,Moose,18892,Coldwater Ranch,505,18892,,,Westlake,561
MB6265,Little Pole Canyon CWMU,Moose,8666,Conover-Jensen,544,8666,,,,
MB6266,Weber Florence Creek | Stillman Creek CWMU | Stillman Creek Ranch,Moose,22228,Cotton Thomas,640,22228,,,Weber Florence Creek,524
PB5339,Iron Spring CWMU | Iron Springs,Pronghorn,10719,Cottonwood Ridge,824,10719,,,,
,,,21365,Coyote Little Pole,556,21365
,,,5839,Deer Creek,686,5839
,,,19296,Deer Haven,606,19296
,,,19737,Deseret,568,19737
,,,19320,Dilly Ranch,733,19320
,,,21357,Double Cone,516,21357
,,,12372,Double R Ranch,554,12372
,,,19339,Dove Creek,512,19339
,,,20943,Dry Creek,908,20943
,,,19300,Durst Mountain,567,19300
,,,12368,East Fork Chalk Creek,520,12368
,,,20946,East Zion,807,20946
,,,19323,Engineer Springs,519,19323
,,,8687,Ensign Ranches,522,8687
,,,18488,Faust Valley,905,18488
,,,17265,First Light,890,17265
,,,19301,Folly Ridge,579,19301
,,,22229,Fort Ranch,514,22229
,,,2167,George Creek,806,2167
,,,19324,Golden Spike,497,19324
,,,19298,Grass Valley/Clark Canyon,525,19298
,,,171,Grazing Pasture,530,171
,,,18893,Green Canyon,489,18893
,,,19728,Green River Flat,918,19728
,,,6652,Guildersleeve,573,6652
,,,17667,Hardscrabble,577,17667
,,,19342,Heaston East,555,19342
,,,20952,Heist,201,20952
,,,8665,Hiawatha,550,8665
,,,19325,Indian Creek,495,19325
,,,17266,Indian Head,735,17266
,,,181,Ingham Peak,493,181
,,,16048,Iron Springs,876,16048
,,,19313,Jacob's Creek,580,19313
,,,2164,Johnson Mtn Ranch,531,2164
,,,8663,Jump Creek,734,8663
,,,21369,Junction Valley,589,21369
,,,19744,Kimberly,922,19744
,,,187,Little Red Creek,484,187
,,,20131,Middle Ridge,565,20131
,,,14422,Minnie Maud Ridge,551,14422
,,,23053,Moon Ranch,485,23053
,,,19326,Mountain Meadow,518,19326
,,,9908,Mountain Sky Ranch,858,9908
,,,19312,Mountain Top,572,19312
,,,21364,Mt Carmel,533,21364
,,,13211,Neil Creek,596,13211
,,,20948,North Peaks,492,20948
,,,19328,North Promontory,513,19328
,,,19329,Nucor West,503,19329
,,,199,Oak Ranch,534,199
,,,200,Old Woman Plateau,535,200
,,,21352,Pahvant Ensign,826,21352
,,,19330,Park Valley,603,19330
,,,20949,Park Valley Hereford,504,20949
,,,17268,Patmos Ridge,736,17268
,,,8671,Pine Canyon,592,8671
,,,20940,Pisgah Mountain,574,20940
,,,19332,Plymouth Peak,737,19332
,,,22628,Pocatello Valley,501,22628
,,,21826,Preston Nutter Ranch,542,21826
,,,23046,Prohibition Springs,919,23046
,,,7859,Promontory Point,502,7859
,,,206,Rabbit Creek,590,206
,,,20951,Raft River,875,20951
,,,22629,Rattlesnake Pass,496,22629
,,,19341,Red Iron,907,19341
,,,23038,Redd Ranches,548,23038
,,,19315,Riverview Ranch LLC,517,19315
,,,474,RLF Deep Creek,739,474
,,,16047,Roan Cliffs,543,16047
,,,11153,Rock House,827,11153
,,,19335,Rosette,856,19335
,,,5029,Royal Ivory Outfitters,828,5029
,,,20950,Salt Wells,906,20950
,,,477,Sand Creek,740,477
,,,16040,Scofield Canyons,539,16040
,,,16039,Scofield East,540,16039
,,,16038,Scofield West,541,16038
,,,20941,Sharp Mountain,490,20941
,,,9490,SJ Ranch,576,9490
,,,219,Skull Crack,578,219
,,,16864,Skull Valley South,585,16864
,,,5030,Snowville Flat,829,5030
,,,16046,Soldier Summit,552,16046
,,,448,South Canyon,491,448
,,,478,Spring Creek Acres,741,478
