"source_hunt_number","source_hunt_name","source_weapon","matched_code","code_family","matched_hunt_name","matched_weapon","matched_hunt_type","season_dates","boundary_id"
"LE0001","La Sal, La Sal Mtns","Archery","EL3045","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0001","La Sal, La Sal Mtns","Archery","EL3046","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0001","La Sal, La Sal Mtns","Archery","EL3183","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0001","La Sal, La Sal Mtns","Archery","LO1539","LO","La Sal, La Sal Mtns","Any Legal Weapon (Late)","General Season - Private Land Only",,
"LE0002","Manti","Any Legal Weapon","EL3038","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0002","Manti","Any Legal Weapon","EL3039","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0002","Manti","Any Legal Weapon","EL3126","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0003","Manti","Any Legal Weapon","EL3038","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0003","Manti","Any Legal Weapon","EL3039","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0003","Manti","Any Legal Weapon","EL3126","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0004","Manti","Any Legal Weapon","EL3038","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0004","Manti","Any Legal Weapon","EL3039","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0004","Manti","Any Legal Weapon","EL3126","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0005","Manti","Any Legal Weapon","EL3038","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0005","Manti","Any Legal Weapon","EL3039","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0005","Manti","Any Legal Weapon","EL3126","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0008","Wasatch Mtns","Any Legal Weapon","EL3072","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0008","Wasatch Mtns","Any Legal Weapon","EL3073","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0008","Wasatch Mtns","Any Legal Weapon","EL3127","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0009","Wasatch Mtns","Any Legal Weapon","EL3072","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0009","Wasatch Mtns","Any Legal Weapon","EL3073","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0009","Wasatch Mtns","Any Legal Weapon","EL3127","EL","Wasatch Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0011","Manti","Muzzleloader","EL3038","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0011","Manti","Muzzleloader","EL3039","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0011","Manti","Muzzleloader","EL3126","EL","Manti","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0013","Southwest Desert","Archery","LO1554","LO","Southwest Desert","Any Legal Weapon (Late)","General Season - Private Land Only",,
"LE0017","Nebo","Any Legal Weapon","LO1534","LO","Nebo","Any Legal Weapon (Late)","General Season - Private Land Only",,
"LE0018","La Sal, La Sal Mtns","Any Legal Weapon","EL3045","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0018","La Sal, La Sal Mtns","Any Legal Weapon","EL3046","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0018","La Sal, La Sal Mtns","Any Legal Weapon","EL3183","EL","La Sal La Sal Mtns","Any Legal Weapon","Limited Entry - Private Land Only",,
"LE0018","La Sal, La Sal Mtns","Any Legal Weapon","LO1539","LO","La Sal, La Sal Mtns","Any Legal Weapon (Late)","General Season - Private Land Only",,
