hunt_code,guidebook_page,guidebook_section,species_inferred,guidebook_hunt_name,guidebook_detail_text,guidebook_season_text,guidebook_county_text,guidebook_public_permits,raw_line,database_status,database_hunt_name,database_species,database_season,name_overlap_score,name_status,season_status,difference_severity,difference_reason
BI1000,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Bison,Bison Any legal weapon:,"Aug. 1, 2026-Jan. 31, 2027","Aug. 1, 2026-Jan. 31, 2027",,,"BI1000 Bison Any legal weapon: Aug. 1, 2026-Jan. 31, 2027",MATCHED,Bison - Statewide Permit,Bison,"Aug 1, 2026 - Jan 31, 2027",0.25,SPORTSMAN_STATEWIDE_LABEL_VARIANT,MATCH,OK,
BI6500,65,BISON_HUNT_TABLES,Bison,Antelope Island,Dec. 7-Dec. 9,Dec. 7-Dec. 9,,,Antelope Island BI6500 Dec. 7-Dec. 9,MATCHED,Antelope Island,Bison,Dec 07 2026 - Dec 09 2026,1.0,MATCH,MATCH,OK,
BI6503,65,BISON_HUNT_TABLES,Bison,Henry Mtns,Oct. 28-Nov. 8,Oct. 28-Nov. 8,,,Henry Mtns BI6503 Oct. 28-Nov. 8,MATCHED,Henry Mtns,Bison,Oct 28 2026 - Nov 8 2026,1.0,MATCH,MATCH,OK,
BI6504,65,BISON_HUNT_TABLES,Bison,Henry Mtns,Nov. 11-Nov. 22,Nov. 11-Nov. 22,,,Henry Mtns BI6504 Nov. 11-Nov. 22,MATCHED,Henry Mtns,Bison,Nov 11 2026 - Nov 22 2026,1.0,MATCH,MATCH,OK,
BI6505,65,BISON_HUNT_TABLES,Bison,Henry Mtns,Dec. 9-Dec. 20,Dec. 9-Dec. 20,,,Henry Mtns BI6505 Dec. 9-Dec. 20,MATCHED,Henry Mtns,Bison,Dec 9 2026 - Dec 20 2026,1.0,MATCH,MATCH,OK,
BI6506,65,BISON_HUNT_TABLES,Bison,Henry Mtns,"Dec. 23, 2026-Jan. 3, 2027","Dec. 23, 2026-Jan. 3, 2027",,,"Henry Mtns BI6506 Dec. 23, 2026-Jan. 3, 2027",MATCHED,Henry Mtns,Bison,"Dec 23, 2026 - Jan 3, 2027",1.0,MATCH,MATCH,OK,
BI6509,65,BISON_HUNT_TABLES,Bison,Henry Mtns,"Jan. 18-Jan. 31, 2027","Jan. 18-Jan. 31, 2027",,,"Henry Mtns BI6509 Jan. 18-Jan. 31, 2027",MATCHED,Henry Mtns,Bison,"Jan 18 - 31, 2027",1.0,MATCH,MATCH,OK,
BI6516,65,BISON_HUNT_TABLES,Bison,Henry Mtns,Nov. 25-Dec. 6,Nov. 25-Dec. 6,,,Henry Mtns BI6516 Nov. 25-Dec. 6,MATCHED,Henry Mtns,Bison,Nov 25 2026 - Dec 6 2026,1.0,MATCH,MATCH,OK,
BI6528,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Book Cliffs, Little Creek/South BI6528 Aug. 15-Sept. 11",MATCHED,"Book Cliffs, Little Creek/South",Bison,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
BI6529,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",Oct. 17-Oct. 27,Oct. 17-Oct. 27,,,"Book Cliffs, Little Creek/South BI6529 Oct. 17-Oct. 27",MATCHED,"Book Cliffs, Little Creek/South",Bison,Oct 17 2026 - Oct 27 2026,1.0,MATCH,MATCH,OK,
BI6531,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South",Sept. 21-Oct. 2,Sept. 21-Oct. 2,,,"Book Cliffs, Little Creek/South BI6531 Sept. 21-Oct. 2",MATCHED,"Book Cliffs, Little Creek/South",Bison,Sept 21 2026 - Oct 02 2026,1.0,MATCH,MATCH,OK,
BI6532,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,"Book Cliffs, Bitter Creek BI6532 Aug. 15-Sept. 11",MATCHED,"Book Cliffs, Bitter Creek",Bison,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
BI6534,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",Sept. 12-Sept. 20,Sept. 12-Sept. 20,,,"Book Cliffs, Bitter Creek BI6534 Sept. 12-Sept. 20",MATCHED,"Book Cliffs, Bitter Creek",Bison,Sept 12 2026 - Sept 20 2026,1.0,MATCH,MATCH,OK,
BI6535,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",Oct. 3-Oct. 15,Oct. 3-Oct. 15,,,"Book Cliffs, Bitter Creek BI6535 Oct. 3-Oct. 15",MATCHED,"Book Cliffs, Bitter Creek",Bison,Oct 03 2026 - Oct 15 2026,1.0,MATCH,MATCH,OK,
BI6536,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Bitter Creek",Nov. 14-Nov. 29,Nov. 14-Nov. 29,,,"Book Cliffs, Bitter Creek BI6536 Nov. 14-Nov. 29",MATCHED,"Book Cliffs, Bitter Creek",Bison,Nov 14 2026 - Nov 29 2026,1.0,MATCH,MATCH,OK,
BI6537,65,BISON_HUNT_TABLES,Bison,"Book Cliffs, Little Creek/South","Nov. 7, 2026-Jan. 31, 2027","Nov. 7, 2026-Jan. 31, 2027",,,"Book Cliffs, Little Creek/South BI6537 Nov. 7, 2026-Jan. 31, 2027",MATCHED,"Book Cliffs, Little Creek/South",Bison,Nov 07 2026 - Jan 31 2027,1.0,MATCH,MATCH,OK,
BI6539,65,BISON_HUNT_TABLES,Bison,Henry Mtns (new),Jan. 6-Jan. 17,Jan. 6-Jan. 17,,,Henry Mtns (new) BI6539 Jan. 6-Jan. 17,MATCHED,Henry Mtns,Bison,"Jan 6 - 17, 2027",1.0,MATCH,MATCH,OK,
BR1000,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Black Bear,Black bear,Black bear,Black bear,,,BR1000 Black bear,MATCHED,Black Bear - Statewide Permit,Black Bear,,0.5,SPORTSMAN_STATEWIDE_LABEL_VARIANT,NOT_COMPARABLE,OK,
DB0007,10,SPORTSMAN_AND_STATEWIDE_CONSERVATION_DATES,Deer,Buck deer,Buck deer,Buck deer,,,DB0007 Buck deer,MATCHED,Buck Deer - Statewide Permit,Deer,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",0.5,SPORTSMAN_STATEWIDE_LABEL_VARIANT,NOT_COMPARABLE,OK,
DB0008,44,BUCK_DEER_HUNT_TABLES,Deer,Deer extended archery only,See page 9,See page 9,,,Deer extended archery only DB0008 See page 9,MATCHED,Extended Archery Deer,Deer,"Sept 12-Oct 15, 2026 -OR- Sept 12-Nov 30, 2026 | See guidebook for units & dates",0.75,MATCH,REFERENCE_OR_COMPOSITE_SEASON,OK,
DB1000,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Henry Mtns DB1000 Aug. 15-Sept. 11,MATCHED,Henry Mtns Premium,Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1001,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,Aug. 15-Sept. 11,Aug. 15-Sept. 11,,,Paunsaugunt DB1001 Aug. 15-Sept. 11,MATCHED,Paunsaugunt Premium,Deer,Aug 15 2026 - Sept 11 2026,1.0,MATCH,MATCH,OK,
DB1002,49,BUCK_DEER_HUNT_TABLES,Deer,Antelope Island,Nov. 11-Nov. 18,Nov. 11-Nov. 18,,,Antelope Island DB1002 Nov. 11-Nov. 18,MATCHED,Antelope Island Premium,Deer,Nov 11 2026 - Nov 18 2026,1.0,MATCH,MATCH,OK,
DB1003,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,Oct. 17-Oct. 25,Oct. 17-Oct. 25,,,Henry Mtns DB1003 Oct. 17-Oct. 25,MATCHED,Henry Mtns Premium,Deer,Oct 17 2026 - Oct 25 2026,1.0,MATCH,MATCH,OK,
DB1004,49,BUCK_DEER_HUNT_TABLES,Deer,Paunsaugunt,Oct. 17-Oct. 31,Oct. 17-Oct. 31,,,Paunsaugunt DB1004 Oct. 17-Oct. 31,MATCHED,Paunsaugunt Premium,Deer,Oct 17 2026 - Oct 31 2026,1.0,MATCH,MATCH,OK,
DB1005,49,BUCK_DEER_HUNT_TABLES,Deer,Henry Mtns,Sept. 23-Oct. 1,Sept. 23-Oct. 1,,,Henry Mtns DB1005 Sept. 23-Oct. 1,MATCHED,Henry Mtns Premium,Deer,Sept 23 2026 - Oct 01 2026,1.0,MATCH,MATCH,OK,
