hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,youth_flag,eligibility_class,season,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_draw_source,permits_2025_source,avg_points_2025,hunters_2025,harvest_2025,success_percent_2025,avg_days_2025,satisfaction_2025,access_type,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_allocation_type,permit_source_authority,permit_note,has_harvest,has_bonus_draw,has_antlerless_draw,source_file,permit_overlay_source,source_authority,data_status,permits_2025_draw_res,permits_2025_draw_nr,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_total,huntCode,code,title,unitName,unitCode,boundaryId,boundary_id_numeric,boundary_token,resolvedBoundaryIds,permits_2026_source,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,NOTES,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6527,615,Nine Mile,Bison,General Season,General Season,O.T.C.,Any Legal Weapon,Hunters Choice,FALSE,STANDARD,"Aug 1, 2025 - Jan 31, 2026",,,,,,,15,0,0,9,3.6,Public,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,TRUE,FALSE,FALSE,bison bull.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,BI6527,BI6527,Nine Mile,Nine Mile,615,615,615,615,"[""615""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
BI6538,615,"Nine Mile, Private Lands Only",Bison,General Season,General Season,Allocation,Any Legal Weapon,Hunters Choice,FALSE,STANDARD,"Aug 1, 2025 - Jan 31, 2026",,,,,,,,,,,,Private,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,,,,bison bull.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,official_uploaded_source,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,BI6538,BI6538,"Nine Mile, Private Lands Only","Nine Mile, Private Lands Only",615,615,615,615,"[""615""]",DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,,,,,,,,
BI6505,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Female Only,FALSE,OIL,Dec 9 2026 - Dec 20 2026,25,3,28,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,28,22,78.6,4,4,Public,8,3,11,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,25,3,538,4,Bonus Point Draw Results,28,BI6505,BI6505,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6506,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Female Only,FALSE,OIL,"Dec 23, 2026 - Jan 3, 2027",30,0,30,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,29,27,93.1,5.5,4.3,Public,11,0,11,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,30,0,539,5,Bonus Point Draw Results,30,BI6506,BI6506,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6529,889,"Book Cliffs, Little Creek/South",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Female Only,FALSE,OIL,Oct 17 2026 - Oct 27 2026,8,0,8,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,5,4,80,1.8,4.8,Public,8,0,8,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,8,0,543,9,Bonus Point Draw Results,8,BI6529,BI6529,"Book Cliffs, Little Creek/South","Book Cliffs, Little Creek/South",889,889,889,889,"[""889""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6536,667,"Book Cliffs, Bitter Creek",Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Female Only,FALSE,OIL,Nov 14 2026 - Nov 29 2026,2,0,2,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,3,2,66.7,4.3,4.7,Public,15,0,15,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,2,0,548,14,Bonus Point Draw Results,2,BI6536,BI6536,"Book Cliffs, Bitter Creek","Book Cliffs, Bitter Creek",667,667,667,667,"[""667""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,15,0,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6539,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Female Only,FALSE,OIL,"Jan 6 - 17, 2027",,,,,,,,,,,,Public,11,0,11,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,,,,bison  cow.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,,,,,,,BI6539,BI6539,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6500,1,Antelope Island,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Dec 07 2026 - Dec 09 2026,2,0,2,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,2,2,100,1,5,Public,2,0,2,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,2,0,535,1,Bonus Point Draw Results,2,BI6500,BI6500,Antelope Island,Antelope Island,1,1,1,1,"[""1""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6503,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Oct 28 2026 - Nov 8 2026,4,2,6,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,15,14,93.3,2.4,4.6,Public,4,2,6,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,4,2,536,2,Bonus Point Draw Results,6,BI6503,BI6503,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,4,2,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6504,94,Henry Mtns,Bison,Once-in-a-lifetime,Once-in-a-lifetime,Limited Entry,Any Legal Weapon,Hunters Choice,FALSE,OIL,Nov 11 2026 - Nov 22 2026,5,2,7,canonical_2026_source_of_truth_draw_results,2025_DRAW_RESULTS_TABLES,,13,13,100,4.5,4.2,Public,5,2,7,FULL_SPLIT,FULL_SPLIT,2026 RAC current-year allotment,,TRUE,FALSE,FALSE,bison bull.xlsx,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,official_uploaded_source,RAC_CURRENT_YEAR_ALLOTMENT_VERIFIED,5,2,537,3,Bonus Point Draw Results,7,BI6504,BI6504,Henry Mtns,Henry Mtns,94,94,94,94,"[""94""]",2026_RAC_CURRENT_YEAR_ALLOTMENT,,,,,,,,,5,2,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
