historical_hunt_code,historical_unit,historical_hunt_name,species,sex_type,hunt_type,weapon,season,last_active_year,retired_for_2026,in_2026_database,in_2026_canonical,in_2026_boundary_index,historical_boundary_id_2024,current_hunt_code_candidate,current_boundary_id_candidate,mapping_status,note,source_pdf,source_page
EB3001,10,"Book Cliffs, Bitter Creek/South",Elk,Bull,Limited Entry,Archery,,2024,true,false,false,false,,,,NEEDS_HISTORICAL_MATCH,Historical code used in 2024 harvest report; missing from 2026 canonical chain by design until mapped.,2024 LIMITED ENTRY ELK HARVEST.pdf,1
EB3026,10,"Book Cliffs, Bitter Creek/South",Elk,Bull,Limited Entry,Any Legal Weapon,,2024,true,false,false,false,,,,NEEDS_HISTORICAL_MATCH,Historical code used in 2024 harvest report; missing from 2026 canonical chain by design until mapped.,2024 LIMITED ENTRY ELK HARVEST.pdf,3
EB3040,16A,Nebo,Elk,Bull,Limited Entry,Any Legal Weapon,,2024,true,false,false,false,,,,NEEDS_HISTORICAL_MATCH,Historical code used in 2024 harvest report; missing from 2026 canonical chain by design until mapped.,2024 LIMITED ENTRY ELK HARVEST.pdf,3
EB3078,10,"Book Cliffs, Bitter Creek/South",Elk,Bull,Limited Entry,Muzzleloader,,2024,true,false,false,false,,,,NEEDS_HISTORICAL_MATCH,Historical code used in 2024 harvest report; missing from 2026 canonical chain by design until mapped.,2024 LIMITED ENTRY ELK HARVEST.pdf,6
