hunt_code,hunt_name,species,reported_hunt_years,classification,active_2026_database,row_count
BI0001,Antelope Island,Bison,2022|2023|2025,HARVEST_ONLY_CODE,NO,3
BI1000,Bison - Statewide Permit,Bison,2022|2025,SPECIAL_PERMIT_OVERLAY,YES,2
BI6500,Antelope Island,Bison,2022|2023|2025,ACTIVE_2026_DATABASE_CODE,YES,3
BI6503,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6504,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6505,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6506,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6509,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6516,Henry Mtns,Bison,2021|2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,5
BI6517,Book Cliffs (hunter's choice),Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6519,"Book Cliffs, Little Creek Roadless (hunter's choice)",Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6520,Book Cliffs (cow only),Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6521,"Book Cliffs (archery, hunter's choice)",Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6523,"Book Cliffs, Bitter Creek/South (hunter's choice)",Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6524,"Book Cliffs, Little Creek Roadless (cow only)",Bison,2021,HARVEST_ONLY_CODE,NO,1
BI6527,Nine Mile,Bison,2021|2022|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6528,"Book Cliffs, Little Creek/South",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6529,"Book Cliffs, Little Creek/South",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6530,"Book Cliffs, Little Creek/South Hunter's choice",Bison,2022|2023|2024,HARVEST_ONLY_CODE,NO,3
BI6531,"Book Cliffs, Little Creek/South",Bison,2022|2023|2025,ACTIVE_2026_DATABASE_CODE,YES,3
BI6532,"Book Cliffs, Bitter Creek",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6533,"Book Cliffs, Little Creek/South",Bison,2022|2023,HARVEST_ONLY_CODE,NO,2
BI6534,"Book Cliffs, Bitter Creek",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6535,"Book Cliffs, Bitter Creek",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6536,"Book Cliffs, Bitter Creek",Bison,2022|2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,4
BI6537,"Book Cliffs, Little Creek/South",Bison,2023|2024|2025,ACTIVE_2026_DATABASE_CODE,YES,3
BI6538,"Nine Mile, Private Lands Only Hunter's choice",Bison,2024,ACTIVE_2026_DATABASE_CODE,YES,1
BR7000,Beaver,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7001,"Book Cliffs, Bitter Creek/South",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7003,"Manti, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7004,"Manti, South/San Rafael, North",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7005,Nebo,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7007,"Fillmore, Pahvant",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7008,La Sal,Black Bear,2021|2023|2024,HARVEST_ONLY_CODE,NO,3
BR7009,Mt Dutton,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7010,Panguitch Lake/Zion,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7011,Paunsaugunt,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7012,Boulder/Kaiparowits,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7013,Fishlake/Thousand Lakes,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7014,San Juan,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7015,Diamond Mtn/Vernal/Bonanza,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7016,"Wasatch Mtns, West-Central",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7017,Cache/Ogden,Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7018,"Kamas/North Slope, Summit",Black Bear,2021|2022|2023|2024,ACTIVE_2026_DATABASE_CODE,YES,4
BR7019,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,2022|2023|2024,HARVEST_ONLY_CODE,NO,3
