source_file,page_number,hunt_code,row_format,table_context,permits_res,permits_nr,permits_total,hunters,harvest,avg_days,success_percent,metric_4,metric_5,raw_line
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1500,total_5,days_success,,,75,340,309,8.2,24.3,8.2,24.3,22 DB1500 Beaver 75 340 309 8.2 24.3
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1518,total_5,days_success,,,90,355,338,7.0,26.5,7.0,26.5,25C/26 DB1518 Boulder/Kaiparowits 90 355 338 7.0 26.5
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1501,total_5,days_success,,,185,905,714,6.6,25.9,6.6,25.9,1 DB1501 Box Elder 185 905 714 6.6 25.9
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1502,total_5,days_success,,,75,732,623,7.5,12.0,7.5,12.0,2 DB1502 Cache 75 732 623 7.5 12.0
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1600,total_5,days_success,,,45,383,309,7.3,14.6,7.3,14.6,6 DB1600 Chalk Creek 45 383 309 7.3 14.6
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1604,total_5,days_success,,,50,320,238,6.6,21.1,6.6,21.1,5 DB1604 East Canyon 50 320 238 6.6 21.1
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1506,total_5,days_success,,,76,376,347,7.0,21.9,7.0,21.9,21 DB1506 Fillmore 76 376 347 7.0 21.9
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1519,total_5,days_success,,,46,222,198,7.8,23.1,7.8,23.1,25A DB1519 Fishlake 46 222 198 7.8 23.1
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1508,total_5,days_success,,,14,226,182,7.2,7.4,7.2,7.4,7 DB1508 Kamas 14 226 182 7.2 7.4
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1509,total_5,days_success,,,74,251,216,6.7,34.4,6.7,34.4,"13A DB1509 La Sal, La Sal Mtns 74 251 216 6.7 34.4"
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1503,total_5,days_success,,,256,1500,1305,7.1,19.6,7.1,19.6,16B/12 DB1503 Manti/San Rafael 256 1500 1305 7.1 19.6
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1510,total_5,days_success,,,42,180,158,7.1,26.4,7.1,26.4,23 DB1510 Monroe 42 180 158 7.1 26.4
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1608,total_5,days_success,,,26,274,203,7.6,12.9,7.6,12.9,4 DB1608 Morgan-South Rich 26 274 203 7.6 12.9
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1511,total_5,days_success,,,14,67,63,7.9,22.2,7.9,22.2,24 DB1511 Mt Dutton 14 67 63 7.9 22.2
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1504,total_5,days_success,,,89,807,711,8.1,12.6,8.1,12.6,16A DB1504 Nebo 89 807 711 8.1 12.6
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1512,total_5,days_success,,,56,230,198,6.7,28.1,6.7,28.1,11 DB1512 Nine Mile 56 230 198 6.7 28.1
C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\pdf\harvest_report\24_bg_report.pdf,16,DB1513,total_5,days_success,,,49,457,384,7.9,12.9,7.9,12.9,8 DB1513 North Slope 49 457 384 7.9 12.9
