hunt_code,hunt_name,composite_boundary_id,member_ids_count,member_ids_found,member_ids_missing,missing_member_ids,status,output_geojson_path
BI1000,Bison - Statewide Permit,5000,3,3,0,,BUILT,processed_data/boundaries/5000.geojson
BR1000,Black Bear - Statewide Permit,5001,30,30,0,,BUILT,processed_data/boundaries/5001.geojson
BR1001,Black Bear Harvest Objective Units,5002,21,21,0,,BUILT,processed_data/boundaries/5002.geojson
BR1007,Black Bear Pursuit - Resident,5003,22,22,0,,BUILT,processed_data/boundaries/5003.geojson
BR1018,Black Bear Pursuit - Nonresident,5013,19,19,0,,BUILT,processed_data/boundaries/5013.geojson
BR7123,Kamas/North Slope Summit,5053,2,2,0,,BUILT,processed_data/boundaries/5053.geojson
BR7229,Kamas/North Slope Summit,5079,2,2,0,,BUILT,processed_data/boundaries/5079.geojson
BR7321,Kamas/North Slope Summit,5101,2,2,0,,BUILT,processed_data/boundaries/5101.geojson
CG9999,Cougar - Statewide,5107,53,53,0,,BUILT,processed_data/boundaries/5107.geojson
DB0007,Buck Deer - Statewide Permit,5108,28,28,0,,BUILT,processed_data/boundaries/5108.geojson
DB0008,Extended Archery Deer,5109,10,10,0,,BUILT,processed_data/boundaries/5109.geojson
DS1000,Desert Bighorn Sheep - Statewide Permit,5110,12,12,0,,BUILT,processed_data/boundaries/5110.geojson
DS1003,"Kaiparowits, Escalante East/West",5141,2,2,0,,BUILT,processed_data/boundaries/5141.geojson
DS6625,Mineral Mtns,10003,0,0,0,,NO_MEMBER_IDS,
EA1180,La Sal (Conservation),5111,4,4,0,,BUILT,processed_data/boundaries/5111.geojson
EA1220,Manti (Expo),5112,10,10,0,,BUILT,processed_data/boundaries/5112.geojson
EA1221,Fishlake/Thousand Lake (Expo),5145,3,3,0,,BUILT,processed_data/boundaries/5145.geojson
EA1258,La Sal (Expo),5113,4,4,0,,BUILT,processed_data/boundaries/5113.geojson
EA1270,Fishlake (Conservation),5114,3,3,0,,BUILT,processed_data/boundaries/5114.geojson
EA1271,Manti (Conservation),5115,10,10,0,,BUILT,processed_data/boundaries/5115.geojson
EA2000,Antlerless Elk Control,5116,8,8,0,,BUILT,processed_data/boundaries/5116.geojson
EA2041,Cache (Conservation),5117,7,7,0,,BUILT,processed_data/boundaries/5117.geojson
EA2045,Wasatch Mtns (Conservation),5118,12,12,0,,BUILT,processed_data/boundaries/5118.geojson
EB1000,Elk - Statewide Permit,5119,27,27,0,,BUILT,processed_data/boundaries/5119.geojson
EB1001,Any Bull Elk Units,5120,29,29,0,,BUILT,processed_data/boundaries/5120.geojson
EB1002,Any Bull Elk Units,5121,29,29,0,,BUILT,processed_data/boundaries/5121.geojson
EB1003,Spike Only Units,5122,24,24,0,,BUILT,processed_data/boundaries/5122.geojson
EB1004,Spike Only Units,5123,24,24,0,,BUILT,processed_data/boundaries/5123.geojson
EB1005,Archery Hunters Choice Elk,5124,52,52,0,,BUILT,processed_data/boundaries/5124.geojson
EB1007,Draw-only Youth Any Bull/Hunters Choice Elk,5125,28,28,0,,BUILT,processed_data/boundaries/5125.geojson
EB1009,Spike Only Elk Units - Multiseason,5126,24,24,0,,BUILT,processed_data/boundaries/5126.geojson
EB1010,Any Bull Elk Units,5127,29,29,0,,BUILT,processed_data/boundaries/5127.geojson
EB1011,Youth General Season Bull Elk,5128,53,53,0,,BUILT,processed_data/boundaries/5128.geojson
EB3209,Box Elder Pilot Mtn,5129,2,2,0,,BUILT,processed_data/boundaries/5129.geojson
EX1000,Elk Extended Archery,5130,3,3,0,,BUILT,processed_data/boundaries/5130.geojson
GO1000,Mountain Goat - Statewide Permit,5131,14,14,0,,BUILT,processed_data/boundaries/5131.geojson
MB1000,Moose - Statewide Permit,5133,12,12,0,,BUILT,processed_data/boundaries/5133.geojson
PB1000,Pronghorn - Statewide Permit,5134,29,29,0,,BUILT,processed_data/boundaries/5134.geojson
RS0001,Rocky Mountain Bighorn Sheep - Statewide Permit,5135,10,10,0,,BUILT,processed_data/boundaries/5135.geojson
TK1001,Northern Region - Private land only,5136,6,6,0,,BUILT,processed_data/boundaries/5136.geojson
TK1019,Southeastern Region - Select areas only,5137,2,2,0,,BUILT,processed_data/boundaries/5137.geojson
TK1022,Southern Region - Select areas only,5138,4,4,0,,BUILT,processed_data/boundaries/5138.geojson
