hunt_code,residency,hunt_name,species,weapon,hunt_type,hunt_class,access_type,public_permits_2025,public_permits_2026,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,applicants_2025,projected_applicants_2026,max_point_permits_2026,random_permits_2026,guaranteed_at_2026,delta_gap,trend,coverage_status,coverage_reason,bg_odds_pdf_page_index,bg_odds_printed_page,bg_odds_hunt_title,has_bg_odds_page,rac_page,rac_section,source_pdf,harvest_hunters_2025,harvest_2025,harvest_success_percent_2025,harvest_average_days_2025,harvest_satisfaction_2025,source_file_2026,link_key,antlerless_odds_sheet,antlerless_odds_row_start,antlerless_odds_title,has_antlerless_odds_page,has_any_odds_source,permits_2026_source,permits_2026_draw_res,permits_2026_draw_nr,permits_2026_draw_total,permits_2026_draw_source,draw_2026_system_type,public_permits_2026_source,permit_status,permit_allocation_type,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,boundary_id,permits_2025_draw_res,permits_2025_draw_nr,permits_2025_draw_total,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_draw_source,permits_2025_source,draw_pool,permit_source,quota_source,truth_source_file,truth_source_status,data_quality_grade,reason_codes,hunt_category,draw_model_class,probability_model,availability_status,new_this_year,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6505,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Antlerless,Public,,8,25,3,28,8,3,11,,,4,4,17,-8,GREEN,MODELED,modeled_engine,538,4,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,28,22,78.6,4,4,bison  cow.xlsx,BI6505_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,25,3,28,538,4,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,8,3,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6506,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Antlerless,Public,,0,30,0,30,11,0,11,,,0,0,0,-1,GREEN,MODELED,modeled_engine,539,5,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,29,27,93.1,5.5,4.3,bison  cow.xlsx,BI6506_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,30,0,30,539,5,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6506,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Antlerless,Public,,11,30,0,30,11,0,11,,,5,6,16,-3,GREEN,MODELED,modeled_engine,539,5,Bison (cow Only) - Henr y Mtns - An y Legal Wea pon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,29,27,93.1,5.5,4.3,bison  cow.xlsx,BI6506_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,30,0,30,539,5,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6509,Nonresident,Henry Mtns,Bison,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Public,,0,4,0,4,5,0,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,540,6,Bison Archer y (hunter’s Choice ) - Henr y Mtns - Archer y,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,7,4.3,bison bull.xlsx,BI6509_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,4,0,4,540,6,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6509,Resident,Henry Mtns,Bison,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Public,,5,4,0,4,5,0,5,,,2,3,20,19,RED,MODELED,modeled_engine,540,6,Bison Archer y (hunter’s Choice ) - Henr y Mtns - Archer y,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,3,2,66.7,7,4.3,bison bull.xlsx,BI6509_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,4,0,4,540,6,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6516,Nonresident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Public,,0,5,0,5,6,0,6,,,0,0,0,-1,GREEN,MODELED,modeled_engine,541,7,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,3.5,4.5,bison bull.xlsx,BI6516_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,5,0,5,541,7,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6516,Resident,Henry Mtns,Bison,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Public,,6,5,0,5,6,0,6,,,3,3,26,-3,GREEN,MODELED,modeled_engine,541,7,Bison (hunter’s Choice ) - Henr y Mtns - Any Legal Weapon,TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,13,13,100,3.5,4.5,bison bull.xlsx,BI6516_RESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,5,0,5,541,7,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
BI6527,Nonresident,Nine Mile,Bison,Any Legal Weapon,General Season,General Season,Public,,,,,18,,,,,,,,,,,CONTEXT_ONLY,pending_public_permits_not_posted,,,,FALSE,,,,15,0,0,9,3.6,bison bull.xlsx,BI6527_NONRESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,
BI6527,Resident,Nine Mile,Bison,Any Legal Weapon,General Season,General Season,Public,,,,,18,,,,,,,,,,,CONTEXT_ONLY,pending_public_permits_not_posted,,,,FALSE,,,,15,0,0,9,3.6,bison bull.xlsx,BI6527_RESIDENT,,,,FALSE,FALSE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,,,,,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,,,,,,,,,,,,,,,,,standard,,,,,,,,,,,,,,,,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,
BI6528,Nonresident,"Book Cliffs, Little Creek/South",Bison,Archery,Once-in-a-lifetime,Once-in-a-lifetime,Public,,0,5,0,5,5,0,5,,,0,0,0,-1,GREEN,MODELED,modeled_engine,542,8,"Bison Archer y (hunter’s Choice ) - Book Cliffs , Little Creek/south - Archer y",TRUE,18,2026 ONCE-IN-A-LIFETIME BISON PERMITS,2026-04-rac-packet.pdf,5,5,100,2,5,bison bull.xlsx,BI6528_NONRESIDENT,,,,FALSE,TRUE,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,6,0,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,DATABASE_2026_DWR_APPROVED_PUBLISHED_PERMIT_ALLOCATIONS,FULL_SPLIT,FULL_SPLIT,Utah DWR published 2026 permit allocation,,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,COMPLETE,,,,,,,,,5,0,5,542,8,Bonus Point Draw Results,2025_DRAW_RESULTS_TABLES,2025_DRAW_RESULTS_TABLES,standard,,,,,,,,,,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
