check,status,details
reported_hunt_year_2021,COMPLETE,
reported_hunt_year_2022,COMPLETE,
reported_hunt_year_2023,COMPLETE,
reported_hunt_year_2024,COMPLETE,
reported_hunt_year_2025,COMPLETE,
model_target_year_2022,COMPLETE,
model_target_year_2023,COMPLETE,
model_target_year_2024,COMPLETE,
model_target_year_2025,COMPLETE,
model_target_year_2026,COMPLETE,
turkey_2023_24,COMPLETE,turkey_harvest_results_2023_24
turkey_2024_25,COMPLETE,turkey_harvest_results_2024_25
black_bear_2024_supplement,COMPLETE,black_bear_supplement
elk_average_age_2024_supplement,NEEDS_REVIEW,elk_age_supplement
oil_bison_sheep_goat_supplement,NEEDS_REVIEW,extra_oil_supplement
preliminary_2025_harvest,PRELIMINARY_SOURCE_ONLY,2025_for_2026
species_year:Antlerless Deer:2021,COMPLETE,27
species_year:Antlerless Deer:2022,COMPLETE,20
species_year:Antlerless Deer:2023,COMPLETE,17
species_year:Antlerless Deer:2024,COMPLETE,21
species_year:Antlerless Elk:2021,COMPLETE,186
species_year:Antlerless Elk:2022,COMPLETE,104
species_year:Antlerless Elk:2023,COMPLETE,113
species_year:Antlerless Elk:2024,COMPLETE,184
species_year:Antlerless Elk Control:2023,COMPLETE,1
species_year:Antlerless Moose:2022,COMPLETE,3
species_year:Antlerless Moose:2023,COMPLETE,3
species_year:Bison:2021,COMPLETE,13
species_year:Bison:2023,COMPLETE,18
species_year:Bison:2024,COMPLETE,17
species_year:Bison:2025,COMPLETE,18
species_year:Black Bear:2021,COMPLETE,91
species_year:Black Bear:2022,COMPLETE,87
species_year:Black Bear:2023,COMPLETE,87
species_year:Black Bear:2024,COMPLETE,87
species_year:CWMU Antlerless:2023,COMPLETE,3
species_year:CWMU Antlerless Deer:2022,COMPLETE,3
species_year:CWMU Antlerless Deer:2023,COMPLETE,4
species_year:CWMU Antlerless Elk:2022,COMPLETE,57
species_year:CWMU Antlerless Elk:2023,COMPLETE,60
species_year:CWMU Doe Pronghorn:2022,COMPLETE,9
species_year:CWMU Doe Pronghorn:2023,COMPLETE,8
species_year:Deer:2021,COMPLETE,306
species_year:Deer:2023,COMPLETE,328
species_year:Deer:2025,COMPLETE,418
species_year:Desert Bighorn Sheep:2021,COMPLETE,21
species_year:Desert Bighorn Sheep:2023,COMPLETE,24
species_year:Desert Bighorn Sheep:2024,COMPLETE,22
species_year:Desert Bighorn Sheep:2025,COMPLETE,25
species_year:Doe Pronghorn:2022,COMPLETE,16
species_year:Doe Pronghorn:2023,COMPLETE,12
species_year:Elk:2021,COMPLETE,172
species_year:Elk:2023,COMPLETE,211
species_year:Elk:2024,COMPLETE,215
species_year:Elk:2025,COMPLETE,455
species_year:Ewe Bighorn Sheep:2022,COMPLETE,1
species_year:Limited Entry Buck Deer:2022,COMPLETE,195
species_year:Limited Entry Buck Pronghorn:2022,COMPLETE,88
species_year:Limited Entry Bull Elk:2022,COMPLETE,193
species_year:Limited Entry Bull Moose:2022,COMPLETE,40
species_year:Moose:2021,COMPLETE,38
species_year:Moose:2023,COMPLETE,36
species_year:Moose:2024,COMPLETE,37
species_year:Moose:2025,COMPLETE,44
species_year:Mountain Goat:2021,COMPLETE,17
species_year:Mountain Goat:2023,COMPLETE,17
species_year:Mountain Goat:2024,COMPLETE,17
species_year:Mountain Goat:2025,COMPLETE,18
species_year:Mule Deer:2024,COMPLETE,334
species_year:Once-in-a-Lifetime Bison:2022,COMPLETE,19
species_year:Once-in-a-Lifetime Desert Bighorn Sheep:2022,COMPLETE,24
species_year:Once-in-a-Lifetime Mountain Goat:2022,COMPLETE,18
species_year:Once-in-a-Lifetime Rocky Mountain Bighorn Sheep:2022,COMPLETE,22
species_year:Private Lands Only Antlerless Elk:2023,COMPLETE,26
species_year:Private-Lands Only Antlerless Elk:2022,COMPLETE,25
species_year:Pronghorn:2021,COMPLETE,85
species_year:Pronghorn:2023,COMPLETE,88
species_year:Pronghorn:2024,COMPLETE,87
species_year:Pronghorn:2025,COMPLETE,121
species_year:Rocky Mountain Bighorn Sheep:2021,COMPLETE,18
species_year:Rocky Mountain Bighorn Sheep:2023,COMPLETE,22
species_year:Rocky Mountain Bighorn Sheep:2024,COMPLETE,20
species_year:Rocky Mountain Bighorn Sheep:2025,COMPLETE,21
species_year:Turkey:2024,COMPLETE,7
species_year:Wild Turkey:2025,COMPLETE,7
