conservation_area_id,conservation_species,conservation_area,primary_hunt_code,permits_2026_conservation,permit_source_area,permit_source_condition,bundle_conservation_hunt_codes,bundle_expo_hunt_codes,bundle_boundary_ids,bundle_boundary_id_count,included_hunt_codes,included_hunt_code_count,boundary_reference_hunt_codes,boundary_reference_hunt_code_count,classification_note,source_pdf,source_bundle,review_status
CONSERVATION_ANTLERLESS_ELK_MANTI_2026,Antlerless Elk,Manti,EA1271,4,Manti,Any Legal Weapon,EA1271,EA1220;EA1271,43;45;47;49;51;55;58;861;862;938,10,EA1013;EA1015;EA1017;EA1018;EA1020;EA1022;EA1023;EA1024;EA1025;EA1278;EA1279;EA2011,12,EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172,7,Conservation permit area covers the listed applicable hunt codes; mapping should use the major LE bull elk boundary family where antlerless subunit geometry is broader/nested.,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.csv,READY_FOR_OWNER_REVIEW
CONSERVATION_ANTLERLESS_ELK_FISHLAKE_2026,Antlerless Elk,Fishlake,EA1270,4,Fishlake,Any Legal Weapon,EA1270,EA1270,175;698;699,3,EA1078;EA1079;EA1080,3,EB3018;EB3063;EB3064;EB3065;EB3096;EB3120;EB3192,7,Conservation permit area covers the listed applicable hunt codes; mapping should use the major LE bull elk boundary family where antlerless subunit geometry is broader/nested.,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.csv,READY_FOR_OWNER_REVIEW
CONSERVATION_ANTLERLESS_ELK_WASATCH_MTNS_2026,Antlerless Elk,Wasatch Mtns,EA2045,4,Wasatch Mtns,Any Legal Weapon,EA2045,EA2045,222;224;225;227;234;238;240;480;817;845;920;921,12,EA1106;EA1110;EA1111;EA1112;EA1113;EA1114;EA1189;EA1217;EA1264;EA1265;EA1276;EA2012;EA2013;EA2014;EA2038,15,EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199,7,Conservation permit area covers the listed applicable hunt codes; mapping should use the major LE bull elk boundary family where antlerless subunit geometry is broader/nested.,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.csv,READY_FOR_OWNER_REVIEW
CONSERVATION_ANTLERLESS_ELK_LA_SAL_2026,Antlerless Elk,La Sal,EA1180,4,La Sal,Any Legal Weapon,EA1180,EA1180;EA1258,108;617;684;879,4,EA1037;EA1038;EA1039;EA1237;EA1280;EA2009,6,EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183,7,Conservation permit area covers the listed applicable hunt codes; mapping should use the major LE bull elk boundary family where antlerless subunit geometry is broader/nested.,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.csv,READY_FOR_OWNER_REVIEW
CONSERVATION_ANTLERLESS_ELK_CACHE_2026,Antlerless Elk,Cache,EA2041,4,Cache,Any Legal Weapon,EA2041,EA2041,29;33;38;39;40;302;303,7,EA1010;EA1011;EA1012;EA1193;EA1206;EA1267;EA2027,7,EB3003;EB3005;EB3032;EB3033;EB3036;EB3037;EB3081;EB3083;EB3105;EB3107;EB3132;EB3139;EB3168;EB3169;EB3170;EB3171,16,Conservation permit area covers the listed applicable hunt codes; mapping should use the major LE bull elk boundary family where antlerless subunit geometry is broader/nested.,pipeline/RAW/hunt_unit_database/2026/pdf/Conservation Permits/2025-27 Conservation Permits.pdf,processed_data/hard_data_exports/unit_specific_conservation_expo_bundles.csv,READY_FOR_OWNER_REVIEW
