"hunt_code","hunt_name","species","weapon","hunt_type"
"DA1011","George Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DA1012","Junction Valley CWMU","Deer","Any Legal Weapon","CWMU"
"DA1013","Mt Carmel CWMU","Deer","Any Legal Weapon","CWMU"
"DA1050","The Rose of Snowville CWMU","Deer","Any Legal Weapon","CWMU"
"DB1200","Alton - Premium Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1201","Alton - Management Buck CWMU","Deer","Any Legal Weapon","CWMU"
"DB1202","Antelope Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1203","Avintaquin Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1204","Bally Watts CWMU","Deer","Any Legal Weapon","CWMU"
"DB1205","Bar J Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1206","Bear Mountain CWMU","Deer","Any Legal Weapon","CWMU"
"DB1207","Bear Springs CWMU","Deer","Any Legal Weapon","CWMU"
"DB1208","Blackhawk CWMU","Deer","Any Legal Weapon","CWMU"
"DB1209","Blind Springs CWMU","Deer","Any Legal Weapon","CWMU"
"DB1211","Blue Spring Hills CWMU","Deer","Any Legal Weapon","CWMU"
"DB1212","Bluebell CWMU","Deer","Any Legal Weapon","CWMU"
"DB1213","Boobe Hole CWMU","Deer","Any Legal Weapon","CWMU"
"DB1215","Buckhorn Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1216","Castle Valley Outdoors CWMU","Deer","Any Legal Weapon","CWMU"
"DB1217","Causey Spring CWMU","Deer","Any Legal Weapon","CWMU"
"DB1219","Chimney Rock CWMU","Deer","Any Legal Weapon","CWMU"
"DB1222","Coldwater Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1224","Cotton Thomas CWMU","Deer","Any Legal Weapon","CWMU"
"DB1227","Deer Haven CWMU","Deer","Any Legal Weapon","CWMU"
"DB1228","Deseret CWMU","Deer","Any Legal Weapon","CWMU"
"DB1229","Dilly Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1230","Double R Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1231","Dove Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1232","Durst Mountain CWMU","Deer","Any Legal Weapon","CWMU"
"DB1233","East Fork Chalk Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1234","East Zion CWMU","Deer","Any Legal Weapon","CWMU"
"DB1236","Engineer Springs CWMU","Deer","Any Legal Weapon","CWMU"
"DB1237","Ensign Ranches CWMU","Deer","Any Legal Weapon","CWMU"
"DB1238","Folley Ridge CWMU","Deer","Any Legal Weapon","CWMU"
"DB1239","Fort Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1240","George Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1241","Golden Spike CWMU","Deer","Any Legal Weapon","CWMU"
"DB1242","Grass Valley/Clark Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1243","Grazing Pasture CWMU","Deer","Any Legal Weapon","CWMU"
"DB1244","Green Canyon CWMU","Deer","Any Legal Weapon","CWMU"
"DB1245","Guildersleeve CWMU","Deer","Any Legal Weapon","CWMU"
"DB1246","Hardscrabble CWMU","Deer","Any Legal Weapon","CWMU"
"DB1248","Heaston East CWMU","Deer","Any Legal Weapon","CWMU"
"DB1249","Hiawatha CWMU","Deer","Any Legal Weapon","CWMU"
"DB1250","Indian Creek CWMU","Deer","Any Legal Weapon","CWMU"
"DB1251","Indian Head CWMU","Deer","Any Legal Weapon","CWMU"
"DB1252","Ingham Peak CWMU","Deer","Any Legal Weapon","CWMU"
"DB1253","Circle E Ranch CWMU","Deer","Any Legal Weapon","CWMU"
"DB1255","Johnson Mountain Ranch CWMU","Deer","Any Legal Weapon","CWMU"
