hunt_code,hunt_name,species,weapon,hunt_type,season,permit_family,permits_2026_res_allotted,permits_2026_nr_allotted,permits_2026_total_allotted,current_rac_res,current_rac_nr,current_rac_total,current_runtime_res,current_runtime_nr,current_runtime_total,delta_rac_res,delta_rac_nr,delta_rac_total,delta_runtime_res,delta_runtime_nr,delta_runtime_total,comparison_status,significant_difference,notes
EA1023,"Manti, South",Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1024,"Manti, South",Elk,Any Legal Weapon,General Season,Nov 19 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1025,"Manti, West",Elk,Any Legal Weapon,General Season,Nov 19 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,108,12,120,108,12,120,108,12,120,0,0,0,0,0,0,MATCH,NO,
EA1026,Chalk Creek,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,315,35,350,315,35,350,315,35,350,0,0,0,0,0,0,MATCH,NO,
EA1030,"Fillmore, Pahvant",Elk,Any Legal Weapon,General Season,Nov 15 2025 - Dec 06 2025,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1031,"Fillmore, Pahvant",Elk,Any Legal Weapon,General Season,Dec 13 2025 - Jan 30 2026,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1033,Kamas,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 18 2026,STANDARD_ANTLERLESS_ELK,112,13,125,90,10,100,90,10,100,-22,-3,-25,-22,-3,-25,RUNTIME_DIFFERS_FROM_ALLOTTED,YES,
EA1035,"Kamas, Oakley",Elk,Any Legal Weapon,General Season,Nov 08 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,112,13,125,90,10,100,90,10,100,-22,-3,-25,-22,-3,-25,RUNTIME_DIFFERS_FROM_ALLOTTED,YES,
EA1037,"La Sal, Dolores Triangle",Elk,Any Legal Weapon,General Season,Dec 12 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1038,"La Sal, La Sal Mtns",Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,STANDARD_ANTLERLESS_ELK,180,20,200,180,20,200,180,20,200,0,0,0,0,0,0,MATCH,NO,
EA1039,"La Sal, La Sal Mtns",Elk,Any Legal Weapon,General Season,Nov 17 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,135,15,150,135,15,150,135,15,150,0,0,0,0,0,0,MATCH,NO,
EA1044,"Morgan-South Rich, South Rich",Elk,Any Legal Weapon,General Season,Dec 01 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,31,4,35,31,4,35,31,4,35,0,0,0,0,0,0,MATCH,NO,
EA1049,"Mt Dutton, Deep Creek",Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 07 2025,DATABASE_ONLY_OR_CWMU,67,8,75,,,,67,8,75,,,,0,0,0,NO_RAC_TRUTH_ROW_RUNTIME_ONLY,NO,No normalized RAC row was found; current value comes from runtime/database surfaces.
EA1054,"Nine Mile, West Anthro",Elk,Any Legal Weapon,General Season,Dec 13 2025 - Dec 30 2025,STANDARD_ANTLERLESS_ELK,45,5,50,90,10,100,90,10,100,45,5,50,45,5,50,RUNTIME_DIFFERS_FROM_ALLOTTED,YES,
EA1056,"North Slope, Greendale",Elk,Any Legal Weapon,General Season,Nov 17 2025 - Nov 30 2025,STANDARD_ANTLERLESS_ELK,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,NO,
EA1058,"North Slope, Henry's Fork-Burnt Fork",Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1060,"North Slope, West Daggett",Elk,Muzzleloader,General Season,Oct 29 2025 - Nov 06 2025,STANDARD_ANTLERLESS_ELK,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,NO,
EA1061,"North Slope, West Daggett",Elk,Muzzleloader,General Season,Sep 24 2025 - Oct 02 2025,STANDARD_ANTLERLESS_ELK,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,NO,
EA1063,Ogden,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 26 2025,STANDARD_ANTLERLESS_ELK,67,8,75,90,10,100,90,10,100,23,2,25,23,2,25,RUNTIME_DIFFERS_FROM_ALLOTTED,YES,
EA1064,Ogden,Elk,Any Legal Weapon,General Season,Nov 08 2025 - Nov 30 2025,STANDARD_ANTLERLESS_ELK,67,8,75,67,8,75,67,8,75,0,0,0,0,0,0,MATCH,NO,
EA1069,Panguitch Lake,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Nov 30 2025,STANDARD_ANTLERLESS_ELK,31,4,35,22,3,25,22,3,25,-9,-1,-10,-9,-1,-10,RUNTIME_DIFFERS_FROM_ALLOTTED,YES,
EA1073,Paunsaugunt,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 30 2025,STANDARD_ANTLERLESS_ELK,18,2,20,18,2,20,18,2,20,0,0,0,0,0,0,MATCH,NO,
EA1075,Boulder East,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1076,Boulder West,Elk,Any Legal Weapon,General Season,Nov 21 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1077,Boulder-Circle Cliffs,Elk,Any Legal Weapon,General Season,Oct 07 2025 - Jan 10 2026,STANDARD_ANTLERLESS_ELK,27,3,30,27,3,30,27,3,30,0,0,0,0,0,0,MATCH,NO,
EA1078,Fishlake/Thousand Lakes,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,STANDARD_ANTLERLESS_ELK,243,27,270,243,27,270,243,27,270,0,0,0,0,0,0,MATCH,NO,
EA1079,Fishlake/Thousand Lakes East,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,58,7,65,58,7,65,58,7,65,0,0,0,0,0,0,MATCH,NO,
EA1080,Fishlake/Thousand Lakes West,Elk,Any Legal Weapon,General Season,Nov 22 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,54,6,60,54,6,60,54,6,60,0,0,0,0,0,0,MATCH,NO,
EA1081,San Juan,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 16 2025,STANDARD_ANTLERLESS_ELK,112,13,125,112,13,125,112,13,125,0,0,0,0,0,0,MATCH,NO,
EA1082,San Juan,Elk,Any Legal Weapon,General Season,Nov 19 2025 - Dec 31 2025,STANDARD_ANTLERLESS_ELK,112,13,125,112,13,125,112,13,125,0,0,0,0,0,0,MATCH,NO,
EA1084,"San Rafael, North",Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 31 2026,STANDARD_ANTLERLESS_ELK,4,1,5,4,1,5,4,1,5,0,0,0,0,0,0,MATCH,NO,
EA1085,Vernal/Bonanza,Elk,Archery,General Season,Aug 16 2025 - Sep 17 2025,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1087,Bonanza/Vernal,Elk,Any Legal Weapon,General Season,Oct 04 2025 - Oct 17 2025,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1089,Diamond Mtn,Elk,Any Legal Weapon,General Season,Nov 01 2025 - Nov 09 2025,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1090,Diamond Mtn,Elk,Any Legal Weapon,General Season,Nov 15 2025 - Nov 23 2025,STANDARD_ANTLERLESS_ELK,45,5,50,45,5,50,45,5,50,0,0,0,0,0,0,MATCH,NO,
EA1094,"Vernal, Mosby Mtn",Elk,Any Legal Weapon,General Season,Nov 08 2025 - Jan 04 2026,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
EA1101,Southwest Desert,Elk,Any Legal Weapon,General Season,Nov 20 2025 - Jan 11 2026,STANDARD_ANTLERLESS_ELK,90,10,100,90,10,100,90,10,100,0,0,0,0,0,0,MATCH,NO,
