species_raw,species,hunt_family,conservation_rows,conservation_2026_permits,conservation_permit_year_instances_2025_2027,distinct_areas
Antlerless Elk,Elk,Antlerless Elk,20,20.0,60.0,Cache|Fishlake|La Sal|Manti|Wasatch Mtns
Bear,Black Bear,Bear,44,44.0,132.0,"Beaver|Book Cliffs, Bitter Creek/South|Book Cliffs, Little Creek Roadless|Boulder/Kaiparowits|Chalk Creek/East Canyon/Morgan-South Rich|Diamond Mtn/Vernal/Bonanza|Fishlake/Thousand Lakes|Kamas/North Slope, Summit|La Sal|Manti-North|Manti-South/San Rafael, North|Nebo|Nine Mile|Panguitch Lake/Zion|Paunsaugunt|San Juan|Statewide|Wasatch Mtns, Avintaquin/Currant Creek|Wasatch Mtns, West-Central|Yellowstone"
Bison,Bison,Bison,6,6.0,18.0,"Book Cliffs, Bitter Creek, Hunter's Choice|Book Cliffs, Little Creek/South, Hunter's Choice|Henry Mtns, Cow Only (late)|Henry Mtns, Hunter's Choice (early)|Henry Mtns, Hunter's Choice (late)|Statewide"
Deer,Deer,Deer,39,39.0,117.0,"Book Cliffs|Diamond Mtn|Fillmore, Oak Creek LE|Henry Mtns|La Sal, Dolores Triangle|Paunsaugunt|San Juan, Elk Ridge|Statewide|West Desert, Vernon"
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,8,8.0,24.0,"Kaiparowits, East|Kaiparowits, Escalante|Kaiparowits, West|La Sal, Potash/South Cisco|Pine Valley, Beaver Dam|San Rafael, Dirty Devil|San Rafael, South|Statewide"
Elk,Elk,Elk,91,91.0,273.0,"Beaver, East|Book Cliffs, Bitter Creek/East|Boulder|Box Elder, Grouse Creek|Box Elder, Pilot Mtn|Cache, Meadowville|Cache, South|Diamond Mtn|Fillmore, Pahvant|Fishlake/Thousand Lakes|La Sal, La Sal Mtns|Manti|Monroe|Mt Dutton|Nebo/San Pitch Mtns|North Slope, Three Corners|Panguitch Lake|San Juan Bull Elk|Southwest Desert, South|Statewide|Wasatch Mtns"
Moose,Moose,Moose,5,5.0,15.0,"Cache|North Slope, Summit|Statewide|Wasatch Mtns/Central Mtns"
Mountain Goat,Mountain Goat,Mountain Goat,7,7.0,21.0,"Beaver (early)|High Uintas West|La Sal, La Sal Mtns|Nebo|Statewide|Wasatch Mtns, Timpanogos"
Pronghorn,Pronghorn,Pronghorn,69,69.0,207.0,"Beaver|Book Cliffs, Bitter Creek|Book Cliffs, South|Box Elder, Promontory|Box Elder, Puddle Valley|Box Elder, Snowville|Box Elder, West|Fillmore, Oak Creek South|La Sal, Potash/South Cisco|Mt Dutton/Paunsaugunt|Nine Mile, Anthro-Myton Bench|Nine Mile, Range Creek|North Slope, Summit|North Slope, Three Corners/West Daggett|Panguitch Lake/Zion, North|Parker Mtn|Pine Valley|San Rafael, North|Southwest Desert|Statewide|Vernal|West Desert, Riverbed|West Desert, Rush Valley|West Desert, Snake Valley"
Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,6,6.0,18.0,"Book Cliffs, South|Box Elder, Newfoundland Mtns (early)|Box Elder, Newfoundland Mtns (late)|Fillmore, Oak Creek (late)|Nine Mile, Gray Canyon|Statewide"
Turkey,Turkey,Turkey,41,41.0,123.0,Central Area|Northeastern Area|Northern Area|Southeastern Area|Southern Area|Statewide
