source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,selected_hunt_code,possible_hunt_codes,match_method,match_confidence,match_notes,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_count_2025,permit_count_2026,permit_count_2027,permit_year_instances_2025_2027,interpretation
315,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Northern Area,Multiseason,519.79,WCF,1.0,2025-27 Conservation Permits.xlsx,,TK1005|TK1014,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
316,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Northern Area,Multiseason,519.79,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1005|TK1014,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
317,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Northern Area,Multiseason,519.79,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1005|TK1014,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
318,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Northern Area,Multiseason,519.79,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1005|TK1014,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
319,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Northern Area,Multiseason,519.79,NWTF,1.0,2025-27 Conservation Permits.xlsx,,TK1005|TK1014,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
320,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,NWTF,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
321,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,NWTF,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
322,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
323,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
324,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
325,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
326,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,SFW,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
327,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southeastern Area,Multiseason,1037.5,NWTF,1.0,2025-27 Conservation Permits.xlsx,,TK1006|TK1015,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=70; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
328,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,UHA,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
329,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,MDF,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
330,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,SFW,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
331,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,SFW,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
332,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,SFW,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
333,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,NWTF,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
334,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,NWTF,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
335,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Southern Area,Multiseason,597.92,SFW,1.0,2025-27 Conservation Permits.xlsx,TK1007,TK1007,AREA_CONDITION_SELECTED,HIGH,"Selected by species, area, and condition score=78.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
336,conservation,2025-2027,2026,Turkey,Turkey,Turkey,Statewide,,2450.0,SFW,1.0,2025-27 Conservation Permits.xlsx,TK0001,TK0001,statewide_boundary_equivalent_to_sportsman_tag,HIGH,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class.",2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027"
