hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,hunt_class,season,NOTES,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_source,permits_2026_draw_source,draw_2026_system_type,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,percent_harvest_success_previous_hunting_season,current_age_3yr_average,average_harvest_age,average_harvest_age_reported_hunt_year,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source
BI6500,1,Antelope Island,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,,535,1,Bonus Point Draw Results,2,0,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,,,,
DB0009,1,Antelope Island - Conservation/Expo,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,,,,,,,,,,,,,,,100,,,,,,,,,,
DB1002,1,Antelope Island Premium,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Premium Limited Entry,Nov 11 2026 - Nov 18 2026,,4,19,Bonus Point Draw Results,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_PLE_BIG_GAME,1,0,1,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,100,,,,,,,,,,
DB1121,1,Antelope Island Management,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Management,"Nov 16 2026 - Nov 20, 2026",,,,,,,,,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Buck,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
RS1000,1,Antelope Island Conservation,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,Nov 9 2026 - Nov 16 2026,,,,,,,,,Utah DWR Hunt Planner,,,,,,Utah DWR Hunt Planner,Utah DWR Hunt Planner,NO_QUOTA_PUBLISHED,,,,,,,,,,,
RS6700,1,Antelope Island,Ram,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,"Nov 09, 2026 - Nov 16, 2026",,588,588,Bonus Point Draw Results,1,0,1,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BONUS_OIL_BIG_GAME,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Rocky+Mountain+Bighorn+Sheep&gender=Male+Only,LIVE_DWR_RES_NR_SPLIT,0,,,,,,,125,150,,
DA1041,6,"Nine Mile, Green River Valley",Antlerless,Deer,Any Legal Weapon,General Season,Antlerless,Oct 03 2026 - Oct 25 2026,,,,,14,1,15,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,,,,,15,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Deer&gender=Antlerless,LIVE_DWR_TOTAL_ONLY,37.5,,,,,,,8500 (entire Nine Mile unit),5700 (entire Nine Mile unit),,
BR1008,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,,"July 5 - 16, 2026",,,,,26,2,28,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
BR1011,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,,"July 18 - July 31, 2026",,4,,2024 Draw Odds PDF Model Target 2025,26,0,26,2024_DRAW_ODDS_PDF_VALUES_MODEL_TARGET_2025,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,26,2,28,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
BR1015,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,,"March 28 - May 25, 2026",,,,,0,2,2,2025_DRAW_RESULTS_TABLES,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,BEAR_DRAW,0,2,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Black+Bear&gender=Either+Sex,LIVE_DWR_RES_NR_SPLIT,,,,,,,,,,,
