hunt_code,hunt_type,hunt_kind,draw_pool,residency,prediction_year,quota_residency,reserved_quota,random_quota,quota_source_status,reserved_fraction,applicant_rollover_source_year,retention_rate_raw,retention_rate_smoothed,rolled_forward_total_applicants,rolled_forward_unsuccessful_applicants,lower_point_additions,points_modeled,expected_cutoff_points,iterations
EB3107,Limited Entry,LE,standard,Resident,2026,1,0,1,official,0.0,2025,0.736011,0.775907,189,169,55,33,,600
EB3108,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.829485,0.836665,118,103,29,33,25.0,600
EB3108,Limited Entry,LE,standard,Resident,2026,18,9,9,official,0.5,2025,0.913509,0.891281,587,539,107,33,24.0,600
EB3110,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.726575,0.769773,161,140,51,33,28.0,600
EB3111,Limited Entry,LE,standard,Resident,2026,5,3,2,official,0.6,2025,0.845238,0.846905,90,74,24,33,21.0,600
EB3112,Limited Entry,LE,standard,Resident,2026,2,1,1,official,0.5,2025,0.849188,0.849472,278,246,72,33,31.0,600
EB3113,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.894569,0.87897,128,105,33,33,27.0,600
EB3115,Limited Entry,LE,standard,Resident,2026,1,0,1,official,0.0,2025,0.759259,0.791019,72,66,17,33,,600
EB3117,Limited Entry,LE,standard,Resident,2026,2,1,1,official,0.5,2025,0.897959,0.881173,246,216,55,33,29.0,600
EB3120,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.832272,0.838477,94,78,27,33,,600
EB3120,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.928671,0.901136,232,194,54,33,23.0,600
EB3121,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.839823,0.843385,333,312,67,33,30.0,600
EB3122,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.790419,0.811272,97,81,30,33,18.0,600
EB3124,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.774713,0.801063,95,78,33,33,22.0,600
EB3124,Limited Entry,LE,standard,Resident,2026,15,8,7,official,0.5333,2025,0.831501,0.837975,615,567,141,33,22.0,600
EB3126,Limited Entry,LE,standard,Nonresident,2026,20,10,10,official,0.5,2025,1.188761,1.070195,475,355,96,34,20.0,600
EB3126,Limited Entry,LE,standard,Resident,2026,175,88,87,official,0.5029,2025,0.964743,0.924583,1723,1433,398,34,11.0,600
EB3127,Limited Entry,LE,standard,Nonresident,2026,17,9,8,official,0.5294,2025,0.961089,0.922208,385,280,126,33,19.0,600
EB3127,Limited Entry,LE,standard,Resident,2026,155,78,77,official,0.5032,2025,0.946814,0.912929,1667,1370,416,33,11.0,600
EB3130,Limited Entry,LE,standard,Resident,2026,2,1,1,official,0.5,2025,0.696203,0.750032,21,18,7,33,9.0,600
EB3132,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.415873,0.567817,70,56,37,33,15.0,600
EB3132,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.97669,0.932348,190,151,49,33,9.0,600
EB3135,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.735192,0.775375,90,72,34,33,,600
EB3135,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.783333,0.806667,59,41,27,33,9.0,600
EB3136,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.863813,0.858979,99,79,32,33,19.0,600
EB3136,Limited Entry,LE,standard,Resident,2026,21,11,10,official,0.5238,2025,1.071429,0.993929,104,77,27,33,8.0,600
EB3137,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.784672,0.807536,81,64,29,33,17.0,600
EB3137,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,1.04902,0.979363,127,87,40,33,10.0,600
EB3139,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.414365,0.566837,16,16,7,33,14.0,600
EB3139,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.839196,0.842977,107,85,36,33,8.0,600
EB3142,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.652893,0.72188,24,21,9,33,,600
EB3142,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.916667,0.893333,46,32,16,33,9.0,600
EB3143,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.644444,0.716389,13,11,5,33,14.0,600
EB3143,Limited Entry,LE,standard,Resident,2026,21,11,10,official,0.5238,2025,0.934911,0.905192,79,61,24,33,7.0,600
EB3144,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.555556,0.658611,42,30,19,33,16.0,600
EB3144,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.909091,0.888409,114,83,40,33,9.0,600
EB3145,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.93155,0.903007,358,345,47,33,25.0,600
EB3145,Limited Entry,LE,standard,Resident,2026,31,16,15,official,0.5161,2025,1.00736,0.952284,385,334,65,33,15.0,600
EB3146,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.895592,0.879635,140,116,37,33,24.0,600
EB3146,Limited Entry,LE,standard,Resident,2026,39,20,19,official,0.5128,2025,1.122596,1.027187,241,180,56,33,8.0,600
EB3147,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.757475,0.789859,72,58,25,33,,600
EB3147,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.810555,0.824361,217,189,63,33,18.0,600
EB3148,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.735036,0.775273,668,651,163,33,,600
EB3148,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.936637,0.906314,1231,1166,175,33,27.0,600
EB3149,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.840342,0.843722,275,270,48,33,27.0,600
EB3149,Limited Entry,LE,standard,Resident,2026,16,8,8,official,0.5,2025,0.839882,0.843423,879,850,159,33,23.0,600
EB3150,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.784314,0.807304,37,30,10,33,,600
EB3150,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,0.847305,0.848249,168,126,61,33,12.0,600
EB3151,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.746365,0.782637,139,124,41,33,25.0,600
EB3151,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,1.018307,0.959399,291,247,54,33,17.0,600
EB3152,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.545351,0.651978,109,99,43,33,22.0,600
EB3152,Limited Entry,LE,standard,Resident,2026,26,13,13,official,0.5,2025,0.879968,0.869479,456,380,126,33,13.0,600
EB3153,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.609091,0.693409,20,15,9,33,,600
EB3153,Limited Entry,LE,standard,Resident,2026,2,1,1,official,0.5,2025,0.634615,0.71,16,14,7,33,19.0,600
EB3154,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.860082,0.856553,238,212,56,33,28.0,600
EB3154,Limited Entry,LE,standard,Resident,2026,19,10,9,official,0.5263,2025,1.027972,0.965682,320,280,48,33,24.0,600
EB3155,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.7375,0.776875,96,81,31,33,27.0,600
EB3155,Limited Entry,LE,standard,Resident,2026,23,12,11,official,0.5217,2025,1.005941,0.951361,150,127,28,33,15.0,600
EB3156,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.931925,0.903251,355,300,84,33,29.0,600
EB3157,Limited Entry,LE,standard,Resident,2026,5,3,2,official,0.6,2025,0.869835,0.862893,168,146,43,33,23.0,600
EB3158,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.45,0.59,64,45,38,33,17.0,600
EB3158,Limited Entry,LE,standard,Resident,2026,18,9,9,official,0.5,2025,0.556701,0.659356,125,76,74,33,9.0,600
EB3159,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.426559,0.574764,231,235,97,33,29.0,600
EB3159,Limited Entry,LE,standard,Resident,2026,27,14,13,official,0.5185,2025,0.470643,0.603418,653,579,304,33,24.0,600
EB3160,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.447761,0.588545,101,98,44,33,19.0,600
EB3160,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.463576,0.598825,191,160,94,33,9.0,600
EB3161,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,6,4,5,33,,600
EB3161,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.588235,0.679853,16,10,9,33,6.0,600
EB3162,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.423313,0.572653,219,226,89,33,,600
EB3162,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.478544,0.608553,951,843,437,33,22.0,600
EB3163,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.486957,0.614022,67,60,30,33,23.0,600
EB3163,Limited Entry,LE,standard,Resident,2026,14,7,7,official,0.5,2025,0.445498,0.587073,221,207,98,33,15.0,600
EB3164,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.360465,0.531802,84,77,40,33,23.0,600
EB3164,Limited Entry,LE,standard,Resident,2026,25,13,12,official,0.52,2025,0.447109,0.588121,415,372,195,33,16.0,600
EB3165,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.388235,0.549853,98,108,36,33,23.0,600
EB3166,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.339623,0.518255,39,39,13,33,,600
EB3166,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.470414,0.603269,188,172,85,33,16.0,600
EB3167,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.478632,0.608611,87,68,46,33,,600
EB3167,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.503876,0.625019,107,82,54,33,18.0,600
EB3168,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2024,0.85,0.85,1,1,0,32,,600
EB3168,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2024,0.85,0.85,0,0,0,32,,600
EB3169,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.263158,0.468553,13,9,10,33,,600
EB3169,Limited Entry,LE,standard,Resident,2026,11,6,5,official,0.5455,2025,0.404762,0.560595,57,43,33,33,6.0,600
EB3170,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.166667,0.405833,8,5,6,33,,600
EB3170,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.181818,0.415682,7,3,6,33,6.0,600
EB3171,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.388235,0.549853,75,56,43,33,,600
EB3171,Limited Entry,LE,standard,Resident,2026,11,6,5,official,0.5455,2025,0.401478,0.558461,363,374,154,33,18.0,600
EB3172,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,4,3,4,33,,600
EB3172,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.459459,0.596149,38,22,24,33,6.0,600
EB3173,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.37234,0.539521,55,48,29,33,21.0,600
EB3173,Limited Entry,LE,standard,Resident,2026,29,15,14,official,0.5172,2025,0.466837,0.600944,225,199,105,33,10.0,600
EB3174,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.0,0.2975,4,2,3,33,3.0,600
EB3174,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.736842,0.776447,20,10,12,33,4.0,600
EB3175,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.434211,0.579737,82,76,37,33,,600
EB3175,Limited Entry,LE,standard,Resident,2026,12,6,6,official,0.5,2025,0.44061,0.583896,702,655,320,33,21.0,600
EB3176,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.407407,0.562315,41,38,19,33,13.0,600
EB3176,Limited Entry,LE,standard,Resident,2026,20,10,10,official,0.5,2025,0.414747,0.567085,198,198,86,33,14.0,600
EB3177,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.38835,0.549927,57,51,29,33,24.0,600
EB3177,Limited Entry,LE,standard,Resident,2026,34,17,17,official,0.5,2025,0.473164,0.605056,438,381,209,33,13.0,600
EB3178,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.402778,0.559306,102,100,46,33,25.0,600
EB3179,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.390625,0.551406,36,30,14,33,23.0,600
EB3179,Limited Entry,LE,standard,Resident,2026,17,9,8,official,0.5294,2025,0.496032,0.619921,152,129,69,33,15.0,600
EB3180,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.4375,0.581875,10,7,6,33,11.0,600
EB3180,Limited Entry,LE,standard,Resident,2026,18,9,9,official,0.5,2025,0.333333,0.514167,12,3,10,33,1.0,600
EB3181,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.441718,0.584617,79,75,33,33,24.0,600
EB3181,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.476103,0.606967,312,276,145,33,17.0,600
EB3182,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,6,4,5,33,,600
EB3182,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.25,0.46,6,0,6,33,2.0,600
EB3183,Limited Entry,LE,standard,Nonresident,2026,5,3,2,official,0.6,2025,0.432749,0.578787,98,89,48,33,20.0,600
EB3183,Limited Entry,LE,standard,Resident,2026,42,21,21,official,0.5,2025,0.427184,0.57517,265,240,126,33,7.0,600
EB3184,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.2,0.4275,16,11,12,33,,600
EB3184,Limited Entry,LE,standard,Resident,2026,7,4,3,official,0.5714,2025,0.434783,0.580109,18,12,11,33,7.0,600
EB3185,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.495441,0.619536,217,181,102,33,28.0,600
EB3185,Limited Entry,LE,standard,Resident,2026,18,9,9,official,0.5,2025,0.480856,0.610056,487,451,211,33,25.0,600
EB3186,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.407407,0.562315,20,14,10,33,18.0,600
EB3186,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.2,0.4275,22,11,18,33,4.0,600
EB3187,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.484043,0.612128,130,106,64,33,26.0,600
EB3187,Limited Entry,LE,standard,Resident,2026,22,11,11,official,0.5,2025,0.455224,0.593396,287,266,130,33,19.0,600
EB3188,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.454545,0.592955,19,16,8,33,13.0,600
EB3188,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.5,0.6225,24,18,14,33,4.0,600
EB3189,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.312121,0.500379,96,116,32,33,27.0,600
EB3189,Limited Entry,LE,standard,Resident,2026,20,10,10,official,0.5,2025,0.440994,0.584146,531,495,241,33,21.0,600
EB3190,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.266667,0.470833,11,9,10,33,,600
EB3190,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.64,0.7135,29,17,16,33,7.0,600
EB3191,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.462121,0.597879,214,200,94,33,26.0,600
EB3191,Limited Entry,LE,standard,Resident,2026,37,19,18,official,0.5135,2025,0.441362,0.584385,418,393,189,33,20.0,600
EB3192,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.4,0.5575,10,6,6,33,5.0,600
EB3192,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.666667,0.730833,6,0,6,33,0.0,600
EB3193,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.305556,0.496111,17,18,13,33,,600
EB3193,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.636364,0.711136,19,7,14,33,3.0,600
EB3194,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.450281,0.590183,243,248,97,33,26.0,600
EB3194,Limited Entry,LE,standard,Resident,2026,33,17,16,official,0.5152,2025,0.40819,0.562824,321,334,132,33,20.0,600
EB3195,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.333333,0.514167,2,1,1,33,,600
EB3195,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.636364,0.711136,10,5,7,33,4.0,600
EB3196,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.264706,0.469559,24,25,15,33,21.0,600
EB3196,Limited Entry,LE,standard,Resident,2026,17,9,8,official,0.5294,2025,0.468927,0.602302,127,99,68,33,11.0,600
EB3197,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.133333,0.384167,9,8,7,33,8.0,600
EB3197,Limited Entry,LE,standard,Resident,2026,18,9,9,official,0.5,2025,0.866667,0.860833,14,6,8,33,2.0,600
EB3198,Limited Entry,LE,standard,Nonresident,2026,5,3,2,official,0.6,2025,0.497835,0.621093,144,124,68,33,24.0,600
EB3198,Limited Entry,LE,standard,Resident,2026,46,23,23,official,0.5,2025,0.494845,0.619149,431,359,208,33,15.0,600
EB3199,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.133333,0.384167,9,8,7,33,,600
EB3199,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.214286,0.436786,28,19,20,33,4.0,600
EB3205,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,1,2,0,33,,600
EB3205,Limited Entry,LE,standard,Resident,2026,7,4,3,official,0.5714,2025,0.0,0.2975,1,3,0,33,3.0,600
EB3208,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,2,11,0,33,,600
EB3208,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.0,0.2975,36,122,0,33,7.0,600
EB3210,Limited Entry,LE,standard,Resident,2026,5,3,2,official,0.6,2025,0.0,0.2975,83,283,0,33,17.0,600
GO6800,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,1.057324,0.98476,3219,3029,233,33,27.0,600
GO6800,Once-in-a-lifetime,OIL,standard,Resident,2026,7,4,3,official,0.5714,2025,0.71685,0.763452,1346,1348,318,33,26.0,600
GO6801,Once-in-a-lifetime,OIL,standard,Resident,2026,9,5,4,official,0.5556,2025,0.956073,0.918948,1116,995,199,33,24.0,600
GO6803,Once-in-a-lifetime,OIL,standard,Nonresident,2026,3,2,1,official,0.6667,2025,1.139783,1.038359,2188,1747,375,33,25.0,600
GO6803,Once-in-a-lifetime,OIL,standard,Resident,2026,21,11,10,official,0.5238,2025,0.943581,0.910827,1044,876,244,33,21.0,600
GO6804,Once-in-a-lifetime,OIL,standard,Resident,2026,1,0,1,official,0.0,2025,0.689884,0.745925,233,217,73,33,,600
GO6805,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,0.792176,0.812414,287,283,58,33,20.0,600
GO6806,Once-in-a-lifetime,OIL,standard,Resident,2026,3,2,1,official,0.6667,2025,0.779097,0.803913,132,120,35,33,20.0,600
GO6807,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.853012,0.851958,136,125,28,33,23.0,600
GO6808,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,1.122277,1.02698,2398,1592,764,33,25.0,600
GO6808,Once-in-a-lifetime,OIL,standard,Resident,2026,9,5,4,official,0.5556,2025,0.869845,0.862899,538,537,75,33,21.0,600
GO6810,Once-in-a-lifetime,OIL,standard,Resident,2026,1,0,1,official,0.0,2025,0.7598,0.79137,856,942,110,33,,600
GO6813,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,0.877778,0.868056,188,174,36,33,21.0,600
GO6814,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.873563,0.865316,222,188,59,33,24.0,600
GO6817,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,1.19036,1.071234,1880,1632,132,33,26.0,600
GO6817,Once-in-a-lifetime,OIL,standard,Resident,2026,10,5,5,official,0.5,2025,0.789969,0.81098,532,436,180,33,21.0,600
GO6818,Once-in-a-lifetime,OIL,standard,Resident,2026,3,2,1,official,0.6667,2025,0.798969,0.81683,129,110,39,33,21.0,600
GO6819,Once-in-a-lifetime,OIL,standard,Resident,2026,1,0,1,official,0.0,2025,0.778043,0.803228,126,114,35,33,,600
GO6820,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.85,0.85,2018,1090,1092,33,25.0,600
GO6820,Once-in-a-lifetime,OIL,standard,Resident,2026,8,4,4,official,0.5,2025,0.940092,0.90856,736,597,193,33,20.0,600
GO6821,Once-in-a-lifetime,OIL,standard,Resident,2026,12,6,6,official,0.5,2025,0.892665,0.877733,424,357,111,33,17.0,600
GO6822,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.440443,0.583788,158,168,60,33,22.0,600
MA1005,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.209125,0.433432,64,155,0,20,,600
MA1005,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.311453,0.499945,591,1191,0,20,18.0,600
MA1007,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.0,0.2975,96,326,0,20,17.0,600
MA1008,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.0,0.2975,88,288,0,20,,600
MA1008,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.0,0.2975,837,2814,0,21,20.0,600
MB6000,Once-in-a-lifetime,OIL,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.85917,0.85596,3392,2720,1063,33,29.0,600
MB6000,Once-in-a-lifetime,OIL,standard,Resident,2026,14,7,7,official,0.5,2025,1.010136,0.954088,3350,3174,322,35,29.0,600
MB6001,Once-in-a-lifetime,OIL,standard,Resident,2026,4,2,2,official,0.5,2025,0.875937,0.866859,942,851,202,33,28.0,600
MB6002,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,0.883608,0.871845,738,707,123,33,27.0,600
MB6003,Once-in-a-lifetime,OIL,standard,Resident,2026,5,3,2,official,0.6,2025,0.743764,0.780947,257,242,68,33,27.0,600
MB6004,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,0.846076,0.847449,1116,1031,244,33,28.0,600
MB6005,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,1.042237,0.974954,587,447,145,33,28.0,600
MB6006,Once-in-a-lifetime,OIL,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.933849,0.904502,3136,2914,500,33,28.0,600
MB6006,Once-in-a-lifetime,OIL,standard,Resident,2026,20,10,10,official,0.5,2025,0.988258,0.939868,3631,3320,508,37,29.0,600
MB6007,Once-in-a-lifetime,OIL,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.928815,0.90123,1444,1236,332,33,26.0,600
MB6007,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,1.011482,0.954963,1158,1068,135,33,28.0,600
MB6008,Once-in-a-lifetime,OIL,standard,Resident,2026,7,4,3,official,0.5714,2025,1.037866,0.972113,1630,1495,176,33,28.0,600
MB6009,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.770239,0.798155,437,394,123,33,28.0,600
MB6010,Once-in-a-lifetime,OIL,standard,Resident,2026,6,3,3,official,0.5,2025,0.869735,0.862827,1226,1081,294,33,28.0,600
MB6011,Once-in-a-lifetime,OIL,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.639939,0.713461,2873,2891,808,33,28.0,600
MB6011,Once-in-a-lifetime,OIL,standard,Resident,2026,19,10,9,official,0.5263,2025,1.010844,0.954549,8304,7796,863,36,28.0,600
MB6012,Once-in-a-lifetime,OIL,standard,Resident,2026,2,1,1,official,0.5,2025,0.0,0.2975,99,337,0,33,28.0,600
PB5000,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.325581,0.509128,20,20,8,33,,600
PB5000,Limited Entry,LE,standard,Resident,2026,11,6,5,official,0.5455,2025,1.022727,0.962273,34,19,15,33,3.0,600
PB5001,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.791667,0.812083,50,31,24,33,,600
PB5001,Limited Entry,LE,standard,Resident,2026,13,7,6,official,0.5385,2025,0.777778,0.803056,27,10,19,33,1.0,600
PB5002,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.842105,0.844868,55,48,14,33,,600
PB5002,Limited Entry,LE,standard,Resident,2026,8,4,4,official,0.5,2025,0.833333,0.839167,36,17,22,33,3.0,600
PB5003,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.85,0.85,3,0,3,33,0.0,600
PB5004,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.54902,0.654363,8,5,5,33,,600
PB5004,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.73913,0.777935,18,13,7,33,4.0,600
PB5005,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.571429,0.668929,5,3,2,33,,600
PB5005,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,0.461538,0.5975,6,0,6,33,0.0,600
PB5006,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.333333,0.514167,4,3,2,33,,600
PB5006,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.619048,0.699881,9,2,8,33,0.0,600
PB5008,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.688679,0.745142,41,29,20,33,12.0,600
PB5008,Limited Entry,LE,standard,Resident,2026,15,8,7,official,0.5333,2025,0.780822,0.805034,61,38,31,33,4.0,600
PB5009,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.810811,0.824527,27,18,13,33,3.0,600
PB5011,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.705882,0.756324,61,44,24,33,17.0,600
PB5011,Limited Entry,LE,standard,Resident,2026,30,15,15,official,0.5,2025,1.012658,0.955728,63,31,34,33,2.0,600
PB5012,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.585106,0.677819,10,8,2,33,,600
