hunt_code,hunt_type,hunt_kind,draw_pool,residency,prediction_year,quota_residency,reserved_quota,random_quota,quota_source_status,reserved_fraction,applicant_rollover_source_year,retention_rate_raw,retention_rate_smoothed,rolled_forward_total_applicants,rolled_forward_unsuccessful_applicants,lower_point_additions,points_modeled,expected_cutoff_points,iterations
EB3003,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,1.0,0.9475,15,3,12,33,1.0,600
EB3005,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.384375,0.547344,37,35,17,33,,600
EB3005,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.820276,0.83068,157,161,23,33,10.0,600
EB3006,Limited Entry,LE,standard,Nonresident,2026,17,9,8,official,0.5294,2025,0.853134,0.852037,441,409,92,33,19.0,600
EB3006,Limited Entry,LE,standard,Resident,2026,148,74,74,official,0.5,2025,0.943095,0.910512,866,769,167,33,8.0,600
EB3008,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.862534,0.858147,202,164,62,33,24.0,600
EB3008,Limited Entry,LE,standard,Resident,2026,19,10,9,official,0.5263,2025,0.846975,0.848034,150,131,37,33,10.0,600
EB3009,Limited Entry,LE,standard,Nonresident,2026,4,2,2,official,0.5,2025,0.887681,0.874493,149,127,38,33,16.0,600
EB3009,Limited Entry,LE,standard,Resident,2026,36,18,18,official,0.5,2025,0.952596,0.916687,169,135,46,33,5.0,600
EB3010,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.881905,0.870738,200,209,18,33,,600
EB3010,Limited Entry,LE,standard,Resident,2026,10,5,5,official,0.5,2025,0.960459,0.921798,302,254,66,33,16.0,600
EB3011,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.950673,0.915437,134,117,26,33,23.0,600
EB3011,Limited Entry,LE,standard,Resident,2026,19,10,9,official,0.5263,2025,0.981818,0.935682,202,162,51,33,12.0,600
EB3013,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.953191,0.917074,88,70,23,33,,600
EB3013,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.810277,0.82418,83,73,24,33,10.0,600
EB3015,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.886878,0.873971,249,233,47,33,26.0,600
EB3015,Limited Entry,LE,standard,Resident,2026,17,9,8,official,0.5294,2025,0.946545,0.912754,351,286,89,33,16.0,600
EB3018,Limited Entry,LE,standard,Nonresident,2026,9,5,4,official,0.5556,2025,0.93578,0.905757,271,221,70,33,20.0,600
EB3018,Limited Entry,LE,standard,Resident,2026,84,42,42,official,0.5,2025,1.001044,0.948178,447,341,125,33,7.0,600
EB3019,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,1.046358,0.977632,974,845,147,33,25.0,600
EB3019,Limited Entry,LE,standard,Resident,2026,29,15,14,official,0.5172,2025,0.765157,0.794852,289,268,79,33,16.0,600
EB3020,Limited Entry,LE,standard,Nonresident,2026,3,2,1,official,0.6667,2025,0.815668,0.827684,65,51,23,33,15.0,600
EB3020,Limited Entry,LE,standard,Resident,2026,25,13,12,official,0.52,2025,0.89769,0.880998,77,69,16,33,6.0,600
EB3022,Limited Entry,LE,standard,Nonresident,2026,15,8,7,official,0.5333,2025,0.732636,0.773714,268,257,69,33,15.0,600
EB3022,Limited Entry,LE,standard,Resident,2026,130,65,65,official,0.5,2025,0.899362,0.882085,1024,858,267,33,7.0,600
EB3024,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.894194,0.878726,1576,1387,357,33,,600
EB3024,Limited Entry,LE,standard,Resident,2026,9,5,4,official,0.5556,2025,1.044905,0.976688,1987,1706,318,33,29.0,600
EB3025,Limited Entry,LE,standard,Nonresident,2026,2,1,1,official,0.5,2025,0.80077,0.818,281,240,86,33,28.0,600
EB3025,Limited Entry,LE,standard,Resident,2026,15,8,7,official,0.5333,2025,1.006284,0.951585,520,420,120,33,23.0,600
EB3028,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.84542,0.847023,196,172,48,33,26.0,600
EB3031,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.707778,0.757556,137,135,31,33,,600
EB3031,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.978995,0.933847,395,346,70,33,21.0,600
EB3032,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.690909,0.746591,52,42,21,33,,600
EB3032,Limited Entry,LE,standard,Resident,2026,3,2,1,official,0.6667,2025,0.785714,0.808214,131,109,40,33,13.0,600
EB3033,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.454545,0.592955,16,11,9,33,,600
EB3033,Limited Entry,LE,standard,Resident,2026,6,3,3,official,0.5,2025,0.678261,0.73837,31,24,14,33,4.0,600
EB3036,Limited Entry,LE,standard,Resident,2026,4,2,2,official,0.5,2025,0.70047,0.752805,593,622,124,33,22.0,600
EB3037,Limited Entry,LE,standard,Nonresident,2026,1,0,1,official,0.0,2025,0.257426,0.464827,31,31,21,33,,600
