hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,permit_validation_notes,notes
BI1000,5000,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,Any Legal Weapon,Public,"Aug 1, 2026 - Jan 31, 2027",,,,NO_QUOTA_PUBLISHED,,
BI6500,1,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 07 2026 - Dec 09 2026,2,0,2,OK,,
BI6503,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 28 2026 - Nov 8 2026,4,2,6,OK,,
BI6504,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 11 2026 - Nov 22 2026,5,2,7,OK,,
BI6505,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 9 2026 - Dec 20 2026,8,3,11,OK,,
BI6506,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Dec 23, 2026 - Jan 3, 2027",11,0,11,OK,,
BI6509,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,"Jan 18 - 31, 2027",5,0,5,OK,,
BI6516,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 25 2026 - Dec 6 2026,6,0,6,OK,,
BI6527,615,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,,
BI6528,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,Aug 15 2026 - Sept 11 2026,6,0,6,OK,,
BI6529,889,"Book Cliffs, Little Creek/South",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 17 2026 - Oct 27 2026,8,0,8,OK,,
BI6531,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Sept 21 2026 - Oct 02 2026,10,0,10,OK,,
BI6532,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,Aug 15 2026 - Sept 11 2026,6,0,6,OK,,
BI6534,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Sept 12 2026 - Sept 20 2026,10,0,10,OK,,
BI6535,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 03 2026 - Oct 15 2026,8,0,8,OK,,
BI6536,667,"Book Cliffs, Bitter Creek",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 14 2026 - Nov 29 2026,15,0,15,OK,,
BI6537,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 07 2026 - Jan 31 2027,8,7,15,OK,,
BI6538,615,"Nine Mile, Private Lands Only",Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,,
BI6539,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Jan 6 - 17, 2027",11,0,11,OK,,
