hunt_code,boundary_id,hunt_name,species,sex_type,hunt_type,weapon,hunt_class,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_status,source_file_2026,link_key
BI1000,5000,Bison - Statewide Permit,Bison,Hunters Choice,Statewide,Any Legal Weapon,Public,"Aug 1, 2026 - Jan 31, 2027",,,,NO_QUOTA_PUBLISHED,bison bull.xlsx,BI1000_RESIDENT
BI6500,1,Antelope Island,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 07 2026 - Dec 09 2026,2,0,2,OK,bison bull.xlsx,BI6500_RESIDENT
BI6503,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 28 2026 - Nov 8 2026,4,2,6,OK,bison bull.xlsx,BI6503_RESIDENT
BI6504,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 11 2026 - Nov 22 2026,5,2,7,OK,bison bull.xlsx,BI6504_RESIDENT
BI6505,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Dec 9 2026 - Dec 20 2026,8,3,11,OK,bison  cow.xlsx,BI6505_RESIDENT
BI6506,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Dec 23, 2026 - Jan 3, 2027",11,0,11,OK,bison  cow.xlsx,BI6506_RESIDENT
BI6509,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,"Jan 18 - 31, 2027",5,0,5,OK,bison bull.xlsx,BI6509_RESIDENT
BI6516,94,Henry Mtns,Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 25 2026 - Dec 6 2026,6,0,6,OK,bison bull.xlsx,BI6516_RESIDENT
BI6527,615,Nine Mile,Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,bison bull.xlsx,BI6527_RESIDENT
BI6528,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,Aug 15 2026 - Sept 11 2026,6,0,6,OK,bison bull.xlsx,BI6528_RESIDENT
BI6529,889,"Book Cliffs, Little Creek/South",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 17 2026 - Oct 27 2026,8,0,8,OK,bison  cow.xlsx,BI6529_RESIDENT
BI6531,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Sept 21 2026 - Oct 02 2026,10,0,10,OK,bison bull.xlsx,BI6531_RESIDENT
BI6532,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Archery,Public,Aug 15 2026 - Sept 11 2026,6,0,6,OK,bison bull.xlsx,BI6532_RESIDENT
BI6534,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Sept 12 2026 - Sept 20 2026,10,0,10,OK,bison bull.xlsx,BI6534_RESIDENT
BI6535,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Oct 03 2026 - Oct 15 2026,8,0,8,OK,bison bull.xlsx,BI6535_RESIDENT
BI6536,667,"Book Cliffs, Bitter Creek",Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 14 2026 - Nov 29 2026,15,0,15,OK,bison  cow.xlsx,BI6536_RESIDENT
BI6537,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Once-in-a-lifetime,Any Legal Weapon,Public,Nov 07 2026 - Jan 31 2027,8,7,15,OK,bison bull.xlsx,BI6537_RESIDENT
BI6538,615,"Nine Mile, Private Lands Only",Bison,Hunters Choice,General Season,Any Legal Weapon,Public,"Aug 1, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,bison bull.xlsx,BI6538_RESIDENT
BI6539,94,Henry Mtns,Bison,Cow Only,Once-in-a-lifetime,Any Legal Weapon,Public,"Jan 6 - 17, 2027",11,0,11,OK,bison  cow.xlsx,BI6539_RESIDENT
BR1000,5001,Black Bear - Statewide Permit,Black Bear,Either Sex,Statewide,Any Legal Weapon,Public,,,,,NO_QUOTA_PUBLISHED,black bear.xlsx,BR1000_RESIDENT
BR1001,5002,Black Bear Harvest Objective Units,Black Bear,Either Sex,Harvest Objective,Any Legal Weapon,Public,,,,,NO_QUOTA_PUBLISHED,DATABASE.csv,BR1001_RESIDENT
BR1007,5003,Black Bear Pursuit - Resident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_QUOTA_PUBLISHED,black bear.xlsx,BR1007_RESIDENT
BR1008,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",26,2,28,OK,DATABASE.csv,BR1008_RESIDENT
BR1009,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",14,1,15,OK,DATABASE.csv,BR1009_RESIDENT
BR1010,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Summer,Pursuit Only,Public,"July 5 - 16, 2026",14,1,15,OK,DATABASE.csv,BR1010_RESIDENT
BR1011,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",26,2,28,OK,DATABASE.csv,BR1011_RESIDENT
BR1012,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",14,1,15,OK,DATABASE.csv,BR1012_RESIDENT
BR1013,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Late Summer,Pursuit Only,Public,"July 18 - July 31, 2026",14,1,15,OK,DATABASE.csv,BR1013_RESIDENT
BR1015,7,Book Cliffs,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,DATABASE.csv,BR1015_RESIDENT
BR1016,710,San Juan,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,DATABASE.csv,BR1016_RESIDENT
BR1017,684,La Sal,Black Bear,Either Sex,Restricted Pursuit - Spring,Pursuit Only,Public,"March 28 - May 25, 2026",0,2,2,OK,DATABASE.csv,BR1017_RESIDENT
BR1018,5013,Black Bear Pursuit - Nonresident,Black Bear,Either Sex,Pursuit,Pursuit Only,Public,"Spring: Mar 28-May 25, 2026 | Summer: July 5-July 31, 2026 | Fall: Nov 2-8, 2026",,,,NO_QUOTA_PUBLISHED,DATABASE.csv,BR1018_RESIDENT
BR7000,628,Beaver,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",9,1,10,OK,DATABASE.csv,BR7000_RESIDENT
BR7001,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",49,5,54,OK,DATABASE.csv,BR7001_RESIDENT
BR7003,52,Manti North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",17,2,19,OK,DATABASE.csv,BR7003_RESIDENT
BR7004,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",18,0,18,OK,DATABASE.csv,BR7004_RESIDENT
BR7005,616,Nebo,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,DATABASE.csv,BR7005_RESIDENT
BR7007,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,0,1,OK,DATABASE.csv,BR7007_RESIDENT
BR7009,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",4,0,4,OK,DATABASE.csv,BR7009_RESIDENT
BR7010,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",9,0,9,OK,DATABASE.csv,BR7010_RESIDENT
BR7011,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",4,0,4,OK,DATABASE.csv,BR7011_RESIDENT
BR7012,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",20,2,22,OK,DATABASE.csv,BR7012_RESIDENT
BR7013,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,DATABASE.csv,BR7013_RESIDENT
BR7014,710,San Juan,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",35,3,38,OK,DATABASE.csv,BR7014_RESIDENT
BR7015,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",7,0,7,OK,DATABASE.csv,BR7015_RESIDENT
BR7016,845,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",36,4,40,OK,DATABASE.csv,BR7016_RESIDENT
BR7017,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",2,0,2,OK,DATABASE.csv,BR7017_RESIDENT
BR7018,251,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",5,0,5,OK,DATABASE.csv,BR7018_RESIDENT
BR7020,629,Monroe,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",1,0,1,OK,DATABASE.csv,BR7020_RESIDENT
BR7021,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",2,0,2,OK,DATABASE.csv,BR7021_RESIDENT
BR7022,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",40,3,43,OK,DATABASE.csv,BR7022_RESIDENT
BR7100,628,Beaver,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",9,1,10,OK,DATABASE.csv,BR7100_RESIDENT
BR7101,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",14,1,15,OK,DATABASE.csv,BR7101_RESIDENT
BR7102,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,DATABASE.csv,BR7102_RESIDENT
BR7104,52,Manti North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",17,1,18,OK,DATABASE.csv,BR7104_RESIDENT
BR7105,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",18,2,20,OK,DATABASE.csv,BR7105_RESIDENT
BR7106,616,Nebo,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",8,0,8,OK,DATABASE.csv,BR7106_RESIDENT
BR7109,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",3,0,3,OK,DATABASE.csv,BR7109_RESIDENT
BR7110,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",18,2,20,OK,DATABASE.csv,BR7110_RESIDENT
BR7111,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,0,1,OK,DATABASE.csv,BR7111_RESIDENT
BR7112,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,DATABASE.csv,BR7112_RESIDENT
BR7113,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",3,0,3,OK,DATABASE.csv,BR7113_RESIDENT
BR7114,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",13,1,14,OK,DATABASE.csv,BR7114_RESIDENT
BR7115,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",7,0,7,OK,DATABASE.csv,BR7115_RESIDENT
BR7116,710,San Juan,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",22,2,24,OK,DATABASE.csv,BR7116_RESIDENT
BR7117,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,DATABASE.csv,BR7117_RESIDENT
BR7118,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,DATABASE.csv,BR7118_RESIDENT
BR7119,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",5,0,5,OK,DATABASE.csv,BR7119_RESIDENT
BR7120,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",22,1,23,OK,DATABASE.csv,BR7120_RESIDENT
BR7121,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",4,0,4,OK,DATABASE.csv,BR7121_RESIDENT
BR7122,93,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",7,0,7,OK,DATABASE.csv,BR7122_RESIDENT
BR7123,5053,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",6,0,6,OK,DATABASE.csv,BR7123_RESIDENT
BR7124,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",2,0,2,OK,DATABASE.csv,BR7124_RESIDENT
BR7125,629,Monroe,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",1,0,1,OK,DATABASE.csv,BR7125_RESIDENT
BR7126,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",6,0,6,OK,DATABASE.csv,BR7126_RESIDENT
BR7127,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Summer,Any Legal Weapon,Public,"May 25 - June 28, 2026",25,2,27,OK,DATABASE.csv,BR7127_RESIDENT
BR7200,628,Beaver,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,OK,DATABASE.csv,BR7200_RESIDENT
BR7201,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 14, 2026 & Oct. 2 - Nov. 8, 2026",18,2,20,OK,DATABASE.csv,BR7201_RESIDENT
BR7203,52,Manti North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",10,1,11,OK,DATABASE.csv,BR7203_RESIDENT
BR7204,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,OK,DATABASE.csv,BR7204_RESIDENT
BR7205,616,Nebo,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7205_RESIDENT
BR7207,88,Fillmore Pahvant,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,DATABASE.csv,BR7207_RESIDENT
BR7210,630,Mt Dutton,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",3,0,3,OK,DATABASE.csv,BR7210_RESIDENT
BR7211,615,Nine Mile,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",26,3,29,OK,DATABASE.csv,BR7211_RESIDENT
BR7212,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,OK,DATABASE.csv,BR7212_RESIDENT
BR7213,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,OK,DATABASE.csv,BR7213_RESIDENT
BR7214,163,Paunsaugunt,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,DATABASE.csv,BR7214_RESIDENT
BR7215,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,1,10,OK,DATABASE.csv,BR7215_RESIDENT
BR7216,175,Fishlake/Thousand Lakes,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7216_RESIDENT
BR7217,710,San Juan,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,OK,DATABASE.csv,BR7217_RESIDENT
BR7218,444,Diamond Mtn/Vernal/Bonanza,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",7,0,7,OK,DATABASE.csv,BR7218_RESIDENT
BR7219,613,Yellowstone,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,DATABASE.csv,BR7219_RESIDENT
BR7220,463,Wasatch Mtns Avintaquin/Currant Creek,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",9,0,9,OK,DATABASE.csv,BR7220_RESIDENT
BR7221,448,Wasatch Mtns West-Central,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",18,2,20,OK,DATABASE.csv,BR7221_RESIDENT
BR7224,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Spring,Any Legal Weapon,Public,"March 28 - May 25, 2026",14,1,15,OK,DATABASE.csv,BR7224_RESIDENT
BR7225,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Spot and Stalk,Any Legal Weapon,Public,"Sept. 1 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7225_RESIDENT
BR7228,92,Cache/Ogden,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,DATABASE.csv,BR7228_RESIDENT
BR7229,5079,Kamas/North Slope Summit,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",4,0,4,OK,DATABASE.csv,BR7229_RESIDENT
BR7237,629,Monroe,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",1,0,1,OK,DATABASE.csv,BR7237_RESIDENT
BR7238,108,Dolores Triangle,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",2,0,2,OK,DATABASE.csv,BR7238_RESIDENT
BR7239,617,La Sal Mtns,Black Bear,Either Sex,Limited Entry - Fall,Any Legal Weapon,Public,"Aug. 1 - Aug. 31, 2026 & Nov 2 - Nov. 8, 2026",6,0,6,OK,DATABASE.csv,BR7239_RESIDENT
BR7300,449,Book Cliffs Bitter Creek/South,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 14 & Aug. 15 - Oct. 1 & Oct. 2 - Nov. 8, 2026",9,1,10,OK,DATABASE.csv,BR7300_RESIDENT
BR7301,12,Book Cliffs Little Creek Roadless,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7301_RESIDENT
BR7303,52,Manti North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",13,1,14,OK,DATABASE.csv,BR7303_RESIDENT
BR7304,744,Manti South/San Rafael North,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",18,2,20,OK,DATABASE.csv,BR7304_RESIDENT
BR7305,616,Nebo,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",5,0,5,OK,DATABASE.csv,BR7305_RESIDENT
BR7307,684,La Sal,Black Bear,Either Sex,Multiseason - Conservation,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",,,,NO_QUOTA_PUBLISHED,DATABASE.csv,BR7307_RESIDENT
BR7308,289,North Slope Three Corners/West Daggett,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",1,0,1,OK,DATABASE.csv,BR7308_RESIDENT
BR7309,462,Panguitch Lake/Zion,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",4,0,4,OK,DATABASE.csv,BR7309_RESIDENT
BR7310,455,Boulder/Kaiparowits,Black Bear,Either Sex,Limited Entry - Multiseason,Multiseason,Public,"Mar. 28 - May 25 & May 25 - June 28 & July 5 - 31 & Aug. 1 - Aug. 31 & Sept. 1 - Oct. 25 & Nov 2 - Nov. 8, 2026",10,1,11,OK,DATABASE.csv,BR7310_RESIDENT
