metric,value,notes
v3_row_count,78162,
v2_row_count,91588,
columns_added_vs_v2,"draw_pool,actual_applicants_2025,actual_bonus_permits_2025,actual_regular_permits_2025,actual_total_permits_2025,odds_2025_actual,projected_applicants_2026,projected_nonwinners_2025,projected_points_2026,max_pool_projection_2026,ladder_status,source_file,source_sha256,validation_status,validation_notes",15
columns_missing_vs_v2,"season,public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook,permits_2026_source,permit_status,permit_allocation_type,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,permits_year_res,permits_year_nr,permits_year_total",38
columns_added_vs_processed_data_current,"hunt_name,species,sex_type,hunt_type,hunt_class,weapon,draw_pool,actual_applicants_2025,actual_bonus_permits_2025,actual_regular_permits_2025,actual_total_permits_2025,odds_2025_actual,projected_applicants_2026,projected_nonwinners_2025,projected_points_2026,max_pool_projection_2026,ladder_status,source_file,source_sha256,validation_status,validation_notes",21
columns_missing_vs_processed_data_current,"public_permits_2025,public_permits_2026,public_permits_2026_source,max_point_permits_2025,max_point_permits_2026,random_permits_2025,random_permits_2026,guaranteed_at_2025,guaranteed_at_2026,permit_delta_2025_to_2026,projected_applicants_2026_source,guaranteed_delta_2025_to_2026,applicants_above,applicants_at_level,random_draw_odds_2026,gap,delta_gap,status,trend,draw_outlook,permits_2026_source,permit_status,permit_allocation_type,permit_source_authority,permit_note,permit_overlay_source,data_status,permits_2026_conservation,permits_2026_expo,permits_2026_sportsman,special_permit_area_id,special_permit_category,special_permit_note,special_permit_overlay_source,permits_year_res,permits_year_nr,permits_year_total",37
v3_keys_not_in_v2_placeholder_compare,21728,v2 lacks draw_pool; compared against placeholder standard
