reported_hunt_year,model_target_year,source_file,source_sha256,source_kind,source_page,source_section,hunt_code,species,unit_or_prefix,hunt_name,metric_tokens,metrics_json,raw_line,harvest_total,permits,hunters_afield,average_days,percent_success,harvest_male_or_buck_or_bull_or_ram,harvest_female_or_cow_or_doe,harvest_young,parse_confidence,parse_notes,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,data_quality_flags
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5332,Pronghorn,24/27,Mt Dutton/Paunsaugunt,4|10|10|7.5|40.0,"[4, 10, 10, 7.5, 40.0]",24/27 PB5332 Mt Dutton/Paunsaugunt 4 10 10 7.5 40.0,4.0,10,10.0,7.5,40.0,4.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5011,Pronghorn,11,"Nine Mile, Anthro-Myton Bench",17|18|17|3.1|100.0,"[17, 18, 17, 3.1, 100.0]","11 PB5011 Nine Mile, Anthro-Myton Bench 17 18 17 3.1 100.0",17.0,18,17.0,3.1,100.0,17.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5053,Pronghorn,11,"Nine Mile, Range Creek",1|2|2|3.5|50.0,"[1, 2, 2, 3.5, 50.0]","11 PB5053 Nine Mile, Range Creek 1 2 2 3.5 50.0",1.0,2,2.0,3.5,50.0,1.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5012,Pronghorn,8,"North Slope, Three Corners/West Daggett",6|8|8|3.3|75.0,"[6, 8, 8, 3.3, 75.0]","8 PB5012 North Slope, Three Corners/West Daggett 6 8 8 3.3 75.0",6.0,8,8.0,3.3,75.0,6.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5054,Pronghorn,28/29,"Panguitch Lake/Zion, North",7|7|7|6.2|100.0,"[7, 7, 7, 6.2, 100.0]","28/29 PB5054 Panguitch Lake/Zion, North 7 7 7 6.2 100.0",7.0,7,7.0,6.2,100.0,7.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5013,Pronghorn,30,Pine Valley,1|9|8|8.7|14.3,"[1, 9, 8, 8.7, 14.3]",30 PB5013 Pine Valley 1 9 8 8.7 14.3,1.0,9,8.0,8.7,14.3,1.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5064,Pronghorn,25,"Plateau, Highlands",4|6|6|5.0|60.0,"[4, 6, 6, 5.0, 60.0]","25 PB5064 Plateau, Highlands 4 6 6 5.0 60.0",4.0,6,6.0,5.0,60.0,4.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5058,Pronghorn,14,"San Juan, Hatch Point",0|1|1|3.0|0.0,"[0, 1, 1, 3.0, 0.0]","14 PB5058 San Juan, Hatch Point 0 1 1 3.0 0.0",0.0,1,1.0,3.0,0.0,0.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5055,Pronghorn,12,"San Rafael, Desert",2|3|2|2.0|100.0,"[2, 3, 2, 2.0, 100.0]","12 PB5055 San Rafael, Desert 2 3 2 2.0 100.0",2.0,3,2.0,2.0,100.0,2.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
2021,2022,21_bg_report.pdf,1553c2f74659f718c8ed0a5c943bed9e29495fb4de6e71794474e9bf03453458,big_game_annual_report,132,"Limited-entry archery buck pronghorn harvest, Utah 2021.",PB5015,Pronghorn,12,"San Rafael, North",14|23|22|8.0|63.6,"[14, 23, 22, 8.0, 63.6]","12 PB5015 San Rafael, North 14 23 22 8.0 63.6",14.0,23,22.0,8.0,63.6,14.0,,,MEDIUM,,True,True,True,HUNT_CODE_ROW_EXTRACTED|REQUIRES_SPOT_CHECK_FOR_COMPLEX_PDF_TABLES
