source_file,species,rows,hunt_code_rows,unique_hunt_codes,harvest_total_sum
21_bg_report.pdf,Antlerless Deer,27,27,27,444.0
21_bg_report.pdf,Antlerless Elk,186,186,186,4725.0
21_bg_report.pdf,Bison,13,13,13,110.0
21_bg_report.pdf,Deer,344,344,306,24349.0
21_bg_report.pdf,Desert Bighorn Sheep,21,21,21,74.0
21_bg_report.pdf,Elk,172,172,172,2646.0
21_bg_report.pdf,Moose,38,38,38,175.0
21_bg_report.pdf,Mountain Goat,17,17,17,108.0
21_bg_report.pdf,Pronghorn,85,85,85,1110.0
21_bg_report.pdf,Rocky Mountain Bighorn Sheep,18,18,18,66.0
21_black_bear_report.pdf,Black Bear,126,91,91,1335.0
