Unit,Hunt number,Hunt name,Bull harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),Sex type,Hunt type,Weapon,Season,Hunt class,HUNT BOUNDARY,Page title,Source page,Source file,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
22,EB3000,"Beaver, East",21,15,21,10.7,70.0,Bull,Limited Entry,Archery,Archery,Limited Entry,685.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3000,1,Beaver East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3160,"Book Cliffs, Bitter Creek/East",21,8,21,10.9,40.0,Bull,Limited Entry,Archery,Archery,Limited Entry,899.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3160,1,Book Cliffs Bitter Creek/East,existing_hunt_number_column,mapped_to_2026_codes
10,EB3001,"Book Cliffs, Bitter Creek/South",2,1,2,9.5,50.0,Bull,Limited Entry,Archery,Archery,Limited Entry,,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,,0,,existing_hunt_number_column,historical_only
10,EB3002,"Book Cliffs, Little Creek Roadless",1,1,1,5.0,100.0,Bull,Limited Entry,Archery,Archery,Limited Entry,12.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3002,1,Book Cliffs Little Creek Roadless,existing_hunt_number_column,mapped_to_2026_codes
25C/26,EB3145,Boulder,32,21,32,13.3,64.3,Bull,Limited Entry,Archery,Archery,Limited Entry,172.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3145,1,Boulder,existing_hunt_number_column,mapped_to_2026_codes
1,EB3130,"Box Elder, Pilot Mtn",4,0,4,14.0,0.0,Bull,Limited Entry,Archery,Archery,Limited Entry,682.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3130,1,Box Elder Pilot Mtn,existing_hunt_number_column,mapped_to_2026_codes
2,EB3003,"Cache, Meadowville",11,3,9,5.2,33.3,Bull,Limited Entry,Archery,Archery,Limited Entry,33.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3003,1,Cache Meadowville,existing_hunt_number_column,mapped_to_2026_codes
2,EB3005,"Cache, South",9,3,9,12.4,33.3,Bull,Limited Entry,Archery,Archery,Limited Entry,41.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3005,1,Cache South,existing_hunt_number_column,mapped_to_2026_codes
9C,EB3020,Diamond Mtn,25,8,24,12.4,35.0,Bull,Limited Entry,Archery,Archery,Limited Entry,206.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3020,1,Diamond Mtn,existing_hunt_number_column,mapped_to_2026_codes
21,EB3008,"Fillmore, Pahvant",19,9,19,12.6,47.1,Bull,Limited Entry,Archery,Archery,Limited Entry,88.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3008,1,Fillmore Pahvant,existing_hunt_number_column,mapped_to_2026_codes
25AB,EB3018,Fishlake/Thousand Lakes,87,28,86,13.8,32.1,Bull,Limited Entry,Archery,Archery,Limited Entry,175.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3018,1,Fishlake/Thousand Lakes,existing_hunt_number_column,mapped_to_2026_codes
13A,EB3009,"La Sal, La Sal Mtns",41,11,38,12.7,28.6,Bull,Limited Entry,Archery,Archery,Limited Entry,617.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3009,1,La Sal Mtns,existing_hunt_number_column,mapped_to_2026_codes
16B,EB3006,Manti,170,46,168,12.6,27.2,Bull,Limited Entry,Archery,Archery,Limited Entry,51.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3006,1,Manti,existing_hunt_number_column,mapped_to_2026_codes
23,EB3010,Monroe,19,11,19,11.8,57.9,Bull,Limited Entry,Archery,Archery,Limited Entry,629.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3010,1,Monroe,existing_hunt_number_column,mapped_to_2026_codes
24,EB3011,Mt Dutton,18,8,18,11.8,47.1,Bull,Limited Entry,Archery,Archery,Limited Entry,630.0,"Limited-entry archery bull elk harvest, Utah 2024.",1,2024 LIMITED ENTRY ELK HARVEST.pdf,EB3011,1,Mt Dutton,existing_hunt_number_column,mapped_to_2026_codes
