reported_hunt_year,model_target_year,species,hunt_code_rows,unique_hunt_codes,total_permits,total_hunters_afield,total_harvest,weighted_success_percent_by_hunters,mean_percent_success_unweighted,mean_average_days_unweighted,mean_hunter_satisfaction_unweighted,quota_use_status,draw_probability_use_status
2023,2024,Bison,18,18,181.0,174.0,123.0,70.69,69.439,5.317,3.717,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Deer,192,192,3061.0,2994.0,2143.0,71.576,68.569,4.98,3.827,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Desert Bighorn Sheep,16,16,74.0,74.0,67.0,90.541,88.7,7.5,4.475,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Elk,211,211,4481.0,4426.0,2722.0,61.5,66.492,6.841,3.872,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Moose,36,36,171.0,170.0,162.0,95.294,96.434,5.321,4.609,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Mountain Goat,17,17,99.0,99.0,85.0,85.859,83.794,4.294,4.229,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Pronghorn,88,88,1538.0,1478.0,1232.0,83.356,78.197,2.98,3.921,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
2023,2024,Rocky Mountain Bighorn Sheep,14,14,53.0,53.0,53.0,100.0,100.0,6.386,4.85,DO_NOT_USE_FOR_PERMIT_QUOTA,DO_NOT_USE_DIRECTLY_FOR_P_DRAW
