report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,year,permits_sold,total_hunters,total_harvest,percent_success,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,2010,2010,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2010,10118,8301,1363,16.4,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2011,2011,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2011,6528,5662,1136,20.1,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2012,2012,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2012,5275,4506,953,21.1,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2013,2013,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2013,6588,5788,1241,21.4,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2014,2014,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2014,7812,6734,1759,26.1,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2015,2015,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2015,8514,7314,2017,27.6,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2016,2016,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2016,8586,7522,1978,26.3,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2017,2017,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2017,8542,7075,1686,23.8,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2018,2018,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2018,9654,8157,2027,24.8,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2019,2019,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2019,9969,8619,2209,25.6,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2020,2020,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2020,12443,10589,2955,27.9,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2021,2021,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2021,11668,9539,2035,21.3,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2022,2022,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2022,10310,8493,1923,22.6,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2023,2023,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2023,10067,8249,1881,22.8,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2024,2024,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2024,11192,9321,2632,28.2,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_statewide_history,Spring general-season,2025,11789,10678,3296,30.9,2024-25 turkey.pdf,9,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
