report_cycle,reported_hunt_year,season_year,model_target_year,species,source_family,season,region,county,row_type,n,hunters_afield,total_harvest,mean_public_days_afield,mean_private_days_afield,percent_success,hunt_code,hunt_name,source_file,source_page,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_status,source_url_or_citation,source_data_level,applicant_pool_use
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Box Elder,county,69,322,51,2.9,1.6,15.9,,Box Elder,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Cache,county,143,668,168,3.6,1.1,25.2,,Cache,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Davis,county,54,252,28,4.1,0.7,11.1,,Davis,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Morgan,county,60,280,98,1.9,1.5,35.0,,Morgan,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Rich,county,1,5,0,2.0,0.0,0.0,,Rich,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Summit,county,29,135,56,1.5,1.2,41.4,,Summit,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Weber,county,149,696,149,3.8,0.7,21.5,,Weber,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Northern,Northern Region total,regional_total,505,2358,550,3.3,1.1,23.3,,Northern Region total,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Juab,county,86,402,56,3.8,0.5,14.0,,Juab,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
2024-25,2025,2025,2026,Wild Turkey,spring_general_season_by_region_county,Spring general-season,Central,Salt Lake,county,48,224,42,3.2,0.4,18.8,,Salt Lake,2024-25 turkey.pdf,8,True,True,True,final,uploaded file: 2024-25 turkey.pdf,public_harvest_report,quality_history_only
