Unit,Unit name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,hunt_codes_2026_elk,hunt_code_count_2026,matched_hunt_names_2026,match_basis,mapping_status
22,Beaver,188,449,252,388,338,182,153,65,62,97,EA1222;EA1223;EA2021,3,"Beaver, East | Beaver, East | Beaver, East",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
10,Book Cliffs,109,117,97,101,81,104,142,206,187,183,EA1224;EA1225,2,"Book Cliffs, Bitter Creek/South | Book Cliffs, Bitter Creek/South",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
25C/26,Boulder/Kaiparowits,401,173,147,194,129,93,88,106,86,82,EA1075;EA1076;EA1077,3,Boulder East | Boulder West | Boulder-Circle Cliffs,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
1,Box Elder,97,118,72,124,85,103,114,93,76,93,EA1203;EA1204;EA1266;EA1276;EA2026;EA2046,6,"Box Elder, Pilot Mtn | Box Elder, Pilot Mtn | Box Elder, Hansel Mtn | Wasatch Mtns, Box Elder Peak | Box Elder, Hansel Mtn | Box Elder, Sawtooth",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
2,Cache,304,446,347,468,294,350,334,393,256,220,EA1010;EA1011;EA1012;EA1193;EA1206;EA1267;EA2027,7,"Cache, Rich | Cache, Richards Hollow | Cache, Richmond Hyde Park | Cache, Rich | Cache, Richmond Hyde Park | Cache | Cache",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
6,Chalk Creek,654,782,376,513,536,366,642,799,387,559,EA1026;EA2004,2,Chalk Creek | Chalk Creek,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
9C,Diamond Mtn,197,113,129,116,158,149,160,192,221,136,EA1089;EA1090;EA2030,3,Diamond Mtn | Diamond Mtn | Diamond Mtn,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
5,East Canyon,516,651,241,476,288,227,344,420,160,219,EA1236;EA1272;EA2003,3,"East Canyon | East Canyon, East | East Canyon",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
21,Fillmore,99,187,118,207,134,119,140,168,149,166,EA1030;EA1031;EA1209;EA2039,4,"Fillmore, Pahvant | Fillmore, Pahvant | Fillmore, Oak Creek LE | Fillmore, Pahvant",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
25AB,Fishlake/Thousand Lakes,489,199,155,204,185,216,319,380,225,250,EA1078;EA1079;EA1080,3,Fishlake/Thousand Lakes | Fishlake/Thousand Lakes East | Fishlake/Thousand Lakes West,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
15,Henry Mtns,0,0,0,0,0,0,0,0,0,0,,0,,species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,historical_only
7,Kamas,157,155,168,117,67,58,88,112,87,96,EA1033;EA1035;EA2033;EA2040,4,"Kamas | Kamas, Oakley | Kamas | Kamas",species=Elk;sex=Antlerless;exclude=CWMU+Conservation+Expo;unit_name_contains,mapped_to_2026_codes
