reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_sold,hunters_afield,harvest_total,percent_permits_filled,bears_per_hunter,percent_female,depredation_other_mortality,total_harvest_mortality,pursuit_permits,raw_line,source_sha256
1967,1968,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,15,,,,12,27,,1967 — — 15 — — — 12 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1968,1969,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,12,,,,9,21,,1968 — — 12 — — — 9 21 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1969,1970,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,43.0,31.0,25,58.0,0.8,,27,52,,1969 43 31 25 58 0.8 — 27 52 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1970,1971,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,155.0,119.0,9,6.0,0.1,,18,27,,1970 155 119 9 6 0.1 — 18 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1971,1972,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,59.0,48.0,17,29.0,0.4,,16,33,,1971 59 48 17 29 0.4 — 16 33 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1972,1973,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,96.0,77.0,19,20.0,0.3,,7,26,,1972 96 77 19 20 0.3 — 7 26 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1973,1974,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,125.0,114.0,25,20.0,0.2,,0,25,,1973 125 114 25 20 0.2 — 0 25 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1974,1975,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,134.0,117.0,29,22.0,0.3,,9,38,,1974 134 117 29 22 0.3 — 9 38 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1975,1976,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,161.0,144.0,22,14.0,0.2,41.0,2,24,161.0,1975 161 144 22 14 0.2 41 2 24 161,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1976,1977,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,107.0,96.0,10,9.0,0.1,42.0,7,17,48.0,1976 107 96 10 9 0.1 42 7 17 48,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1977,1978,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,149.0,127.0,26,17.0,0.2,33.0,6,32,77.0,1977 149 127 26 17 0.2 33 6 32 77,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1978,1979,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,222.0,185.0,40,18.0,0.2,33.0,10,50,114.0,1978 222 185 40 18 0.2 33 10 50 114,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1979,1980,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,240.0,196.0,26,11.0,0.1,19.0,5,31,91.0,1979 240 196 26 11 0.1 19 5 31 91,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1980,1981,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,217.0,177.0,26,12.0,0.2,28.0,6,32,95.0,1980 217 177 26 12 0.2 28 6 32 95,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1981,1982,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,263.0,227.0,39,15.0,0.2,30.0,4,43,95.0,1981 263 227 39 15 0.2 30 4 43 95,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1982,1983,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,229.0,188.0,38,17.0,0.2,39.0,6,44,93.0,1982 229 188 38 17 0.2 39 6 44 93,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1983,1984,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,219.0,176.0,18,8.0,0.1,44.0,9,27,98.0,1983 219 176 18 8 0.1 44 9 27 98,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1984,1985,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,217.0,184.0,26,12.0,0.1,31.0,6,32,33.0,1984 217 184 26 12 0.1 31 6 32 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1985,1986,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,269.0,230.0,29,11.0,0.1,27.0,10,39,86.0,1985 269 230 29 11 0.1 27 10 39 86,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1986,1987,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,332.0,302.0,72,22.0,0.2,45.0,6,78,90.0,1986 332 302 72 22 0.2 45 6 78 90,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1987,1988,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,326.0,262.0,44,13.0,0.2,35.0,25,69,156.0,1987 326 262 44 13 0.2 35 25 69 156,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1988,1989,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,491.0,394.0,69,14.0,0.2,35.0,28,97,173.0,1988 491 394 69 14 0.2 35 28 97 173,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1989,1990,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,687.0,556.0,97,14.0,0.2,30.0,10,107,187.0,1989 687 556 97 14 0.2 30 10 107 187,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1990,1991,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,119.0,22,15.0,0.2,18.0,16,38,355.0,1990 142 119 22 15 0.2 18 16 38 355,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1991,1992,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,119.0,35,25.0,0.3,23.0,15,50,364.0,1991 142 119 35 25 0.3 23 15 50 364,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1992,1993,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,124.0,32,23.0,0.3,19.0,25,57,524.0,1992 142 124 32 23 0.3 19 25 57 524,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1993,1994,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,162.0,136.0,35,22.0,0.3,51.0,12,47,570.0,1993 162 136 35 22 0.3 51 12 47 570,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1994,1995,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,168.0,153.0,42,25.0,0.3,40.0,20,62,552.0,1994 168 153 42 25 0.3 40 20 62 552,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1995,1996,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,175.0,156.0,53,30.0,0.3,34.0,34,87,627.0,1995 175 156 53 30 0.3 34 34 87 627,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1996,1997,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,181.0,174.0,68,38.0,0.4,43.0,35,103,630.0,1996 181 174 68 38 0.4 43 35 103 630,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1997,1998,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,192.0,176.0,50,26.0,0.3,44.0,31,81,638.0,1997 192 176 50 26 0.3 44 31 81 638,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1998,1999,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,202.0,181.0,46,23.0,0.3,42.0,42,88,635.0,1998 202 181 46 23 0.3 42 42 88 635,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
1999,2000,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,220.0,199.0,57,26.0,0.3,30.0,35,92,264.0,1999 220 199 57 26 0.3 30 35 92 264,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2000,2001,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,214.0,194.0,75,35.0,0.4,35.0,72,147,285.0,2000 214 194 75 35 0.4 35 72 147 285,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
