reported_hunt_year,model_target_year,source_file,source_page,source_family,species,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,raw_line,source_sha256
2002,2003,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,359,88,318,0.5,7.5,,,,2002 359 88 318 0.5 7.5 — — —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2003,2004,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,378,91,291,0.5,8.7,228.0,0.5,6.2,2003 378 91 291 0.5 8.7 228 0.5 6.2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2004,2005,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,373,73,309,0.4,5.0,212.0,0.5,5.9,2004 373 73 309 0.4 5.0 212 0.5 5.9,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2005,2006,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,414,103,256,0.4,5.0,436.0,0.3,2.7,2005 414 103 256 0.4 5.0 436 0.3 2.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2006,2007,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,353,78,328,0.3,3.7,,,,2006 353 78 328 0.3 3.7 — — —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2007,2008,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,363,120,329,0.5,6.5,157.0,0.6,4.3,2007 363 120 329 0.5 6.5 157 0.6 4.3,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2008,2009,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,391,96,313,0.6,7.8,238.0,0.9,5.4,2008 391 96 313 0.6 7.8 238 0.9 5.4,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2009,2010,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,424,90,359,0.4,5.1,287.0,0.5,4.9,2009 424 90 359 0.4 5.1 287 0.5 4.9,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2010,2011,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,460,172,326,0.4,4.9,164.0,0.3,2.6,2010 460 172 326 0.4 4.9 164 0.3 2.6,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2011,2012,24_black_bear_report.pdf,9,black_bear_statewide_pursuit_2002_2024,Black Bear,504,102,308,0.4,5.3,172.0,0.5,3.0,2011 504 102 308 0.4 5.3 172 0.5 3.0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
