reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_sold,hunters_afield,harvest_total,percent_permits_filled,bears_per_hunter,percent_female,depredation_other_mortality,total_harvest_mortality,pursuit_permits,raw_line,source_sha256,percent_success,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,parse_notes,section_title,hunt_name,hunt_code,permits_issued,harvest_male,harvest_female,harvest_unknown,percent_adult_male,mean_age,depredation_male,depredation_female,depredation_unknown,average_age,unit_context,permits_or_quota,percent_permits_or_quota_filled,depredation_mortality,permits,season,hunt_type,quota,percent_quota_filled,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,pursuit_type,pursuers_afield,bears_per_pursuit_day,bears_per_pursuer,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,unit_code,table_year_start,table_year_end
2024,2025,24_black_bear_mortality_report.pdf,19,black_bear_unit_mortality_history,Black Bear,,,23.0,26.0,,30.0,,26.0,,2024 90 16 7 23 26 30 43 5.7 3 0 26,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,26.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,90.0,16.0,7.0,,43.0,5.7,3.0,0.0,,5.7,Nine Mile,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1990.0,2024.0
1998,1999,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,0.0,,1998 4 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,0.0,0.0,,,,0.0,0.0,,,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
1999,2000,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,1.0,25.0,,0.0,,1.0,,1999 4 1 0 1 25 0 — 1.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,25.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,1.0,0.0,,,1.0,0.0,0.0,,1.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2000,2001,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,2.0,,2000 4 0 0 0 0 — — — 2 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,0.0,0.0,,,,2.0,0.0,,,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2001,2002,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,1.0,,2001 4 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,0.0,0.0,,,,1.0,0.0,,,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2002,2003,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,4.0,,2002 4 0 0 0 0 — — — 2 2 4,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,0.0,0.0,,,,2.0,2.0,,,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2003,2004,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,1.0,25.0,,0.0,,1.0,,2003 4 1 0 1 25 0 — 7.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,25.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,1.0,0.0,,,7.0,0.0,0.0,,7.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2004,2005,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,0.0,0.0,,,,1.0,,2004 4 0 0 0 0 — — — 1 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,0.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,0.0,0.0,,,,1.0,0.0,,,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2005,2006,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,2.0,50.0,,50.0,,2.0,,2005 4 1 1 2 50 50 — 6.0 0 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,50.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,4.0,1.0,1.0,,,6.0,0.0,0.0,,6.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2006,2007,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,1.0,20.0,,0.0,,1.0,,2006 5 1 0 1 20 0 — 4.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,20.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,5.0,1.0,0.0,,,4.0,0.0,0.0,,4.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2007,2008,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,2.0,40.0,,50.0,,2.0,,2007 5 1 1 2 40 50 — 2.0 0 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,40.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,5.0,1.0,1.0,,,2.0,0.0,0.0,,2.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2008,2009,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,2.0,29.0,,50.0,,2.0,,2008 7 1 1 2 29 50 — 5.0 0 0 2,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,29.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,7.0,1.0,1.0,,,5.0,0.0,0.0,,5.0,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
2009,2010,24_black_bear_mortality_report.pdf,20,black_bear_unit_mortality_history,Black Bear,,,3.0,43.0,,0.0,,3.0,,2009 7 3 0 3 43 0 0 3.7 0 0 3,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5,43.0,24_black_bear_mortality_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_unit_mortality_history,,,7.0,3.0,0.0,,0.0,3.7,0.0,0.0,,3.7,"North Slope, Three Corners/West Daggett",,,,,,,,,,,,,,,,,,,,,,,,,,,8bc,1998.0,2024.0
