reported_hunt_year,model_target_year,source_file,source_page,source_family,species,permits_sold,hunters_afield,harvest_total,percent_permits_filled,bears_per_hunter,percent_female,depredation_other_mortality,total_harvest_mortality,pursuit_permits,raw_line,source_sha256,percent_success,source_path,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,parse_notes,section_title,hunt_name,hunt_code,permits_issued,harvest_male,harvest_female,harvest_unknown,percent_adult_male,mean_age,depredation_male,depredation_female,depredation_unknown,average_age,unit_context,permits_or_quota,percent_permits_or_quota_filled,depredation_mortality,permits,season,hunt_type,quota,percent_quota_filled,pursuit_permits_sold,sample_n,spring_pursuers,spring_bears_per_pursuit_day,spring_bears_per_pursuer,summer_fall_pursuers,summer_fall_bears_per_pursuit_day,summer_fall_bears_per_pursuer,pursuit_type,pursuers_afield,bears_per_pursuit_day,bears_per_pursuer,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,unit_code,table_year_start,table_year_end
1967,1968,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,15.0,,,,12.0,27.0,,1967 — — 15 — — — 12 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,1969,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,,,12.0,,,,9.0,21.0,,1968 — — 12 — — — 9 21 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1970,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,43.0,31.0,25.0,58.0,0.8,,27.0,52.0,,1969 43 31 25 58 0.8 — 27 52 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,58.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1971,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,155.0,119.0,9.0,6.0,0.1,,18.0,27.0,,1970 155 119 9 6 0.1 — 18 27 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,6.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,1972,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,59.0,48.0,17.0,29.0,0.4,,16.0,33.0,,1971 59 48 17 29 0.4 — 16 33 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,29.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,1973,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,96.0,77.0,19.0,20.0,0.3,,7.0,26.0,,1972 96 77 19 20 0.3 — 7 26 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,20.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,1974,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,125.0,114.0,25.0,20.0,0.2,,0.0,25.0,,1973 125 114 25 20 0.2 — 0 25 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,20.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,1975,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,134.0,117.0,29.0,22.0,0.3,,9.0,38.0,,1974 134 117 29 22 0.3 — 9 38 —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,22.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,1976,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,161.0,144.0,22.0,14.0,0.2,41.0,2.0,24.0,161.0,1975 161 144 22 14 0.2 41 2 24 161,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,14.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,1977,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,107.0,96.0,10.0,9.0,0.1,42.0,7.0,17.0,48.0,1976 107 96 10 9 0.1 42 7 17 48,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,9.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1978,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,149.0,127.0,26.0,17.0,0.2,33.0,6.0,32.0,77.0,1977 149 127 26 17 0.2 33 6 32 77,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,17.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,1979,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,222.0,185.0,40.0,18.0,0.2,33.0,10.0,50.0,114.0,1978 222 185 40 18 0.2 33 10 50 114,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,18.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1980,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,240.0,196.0,26.0,11.0,0.1,19.0,5.0,31.0,91.0,1979 240 196 26 11 0.1 19 5 31 91,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,11.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1981,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,217.0,177.0,26.0,12.0,0.2,28.0,6.0,32.0,95.0,1980 217 177 26 12 0.2 28 6 32 95,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,12.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1982,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,263.0,227.0,39.0,15.0,0.2,30.0,4.0,43.0,95.0,1981 263 227 39 15 0.2 30 4 43 95,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,15.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1983,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,229.0,188.0,38.0,17.0,0.2,39.0,6.0,44.0,93.0,1982 229 188 38 17 0.2 39 6 44 93,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,17.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1984,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,219.0,176.0,18.0,8.0,0.1,44.0,9.0,27.0,98.0,1983 219 176 18 8 0.1 44 9 27 98,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,8.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,1985,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,217.0,184.0,26.0,12.0,0.1,31.0,6.0,32.0,33.0,1984 217 184 26 12 0.1 31 6 32 33,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,12.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1986,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,269.0,230.0,29.0,11.0,0.1,27.0,10.0,39.0,86.0,1985 269 230 29 11 0.1 27 10 39 86,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,11.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,1987,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,332.0,302.0,72.0,22.0,0.2,45.0,6.0,78.0,90.0,1986 332 302 72 22 0.2 45 6 78 90,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,22.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1988,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,326.0,262.0,44.0,13.0,0.2,35.0,25.0,69.0,156.0,1987 326 262 44 13 0.2 35 25 69 156,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,13.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,1989,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,491.0,394.0,69.0,14.0,0.2,35.0,28.0,97.0,173.0,1988 491 394 69 14 0.2 35 28 97 173,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,14.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,1990,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,687.0,556.0,97.0,14.0,0.2,30.0,10.0,107.0,187.0,1989 687 556 97 14 0.2 30 10 107 187,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,14.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1991,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,119.0,22.0,15.0,0.2,18.0,16.0,38.0,355.0,1990 142 119 22 15 0.2 18 16 38 355,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,15.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,1992,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,119.0,35.0,25.0,0.3,23.0,15.0,50.0,364.0,1991 142 119 35 25 0.3 23 15 50 364,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,25.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,1993,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,142.0,124.0,32.0,23.0,0.3,19.0,25.0,57.0,524.0,1992 142 124 32 23 0.3 19 25 57 524,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,23.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,1994,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,162.0,136.0,35.0,22.0,0.3,51.0,12.0,47.0,570.0,1993 162 136 35 22 0.3 51 12 47 570,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,22.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,1995,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,168.0,153.0,42.0,25.0,0.3,40.0,20.0,62.0,552.0,1994 168 153 42 25 0.3 40 20 62 552,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,25.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,1996,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,175.0,156.0,53.0,30.0,0.3,34.0,34.0,87.0,627.0,1995 175 156 53 30 0.3 34 34 87 627,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,30.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,1997,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,181.0,174.0,68.0,38.0,0.4,43.0,35.0,103.0,630.0,1996 181 174 68 38 0.4 43 35 103 630,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,38.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1998,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,192.0,176.0,50.0,26.0,0.3,44.0,31.0,81.0,638.0,1997 192 176 50 26 0.3 44 31 81 638,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,26.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1999,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,202.0,181.0,46.0,23.0,0.3,42.0,42.0,88.0,635.0,1998 202 181 46 23 0.3 42 42 88 635,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,23.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2000,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,220.0,199.0,57.0,26.0,0.3,30.0,35.0,92.0,264.0,1999 220 199 57 26 0.3 30 35 92 264,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,26.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2001,24_black_bear_report.pdf,1,black_bear_statewide_history_1967_2000,Black Bear,214.0,194.0,75.0,35.0,0.4,35.0,72.0,147.0,285.0,2000 214 194 75 35 0.4 35 72 147 285,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,35.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_history_1967_2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2002,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,68.0,32.0,,37.0,,129.0,,2001 214 41 25 2 68 32 37 — 6.9 39 21 1 129,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,32.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,214.0,41.0,25.0,2.0,,6.9,39.0,21.0,1.0,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2003,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,83.0,36.0,,33.0,,161.0,,2002 232 53 27 3 83 36 33 — 6.8 43 27 8 161,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,36.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,232.0,53.0,27.0,3.0,,6.8,43.0,27.0,8.0,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,2004,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,86.0,38.0,,31.0,,119.0,,2003 226 59 27 0 86 38 31 — 7.4 22 8 3 119,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,38.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,226.0,59.0,27.0,0.0,,7.4,22.0,8.0,3.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,2005,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,105.0,44.0,,21.0,,166.0,,2004 240 83 22 0 105 44 21 — 6.6 34 23 4 166,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,44.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,240.0,83.0,22.0,0.0,,6.6,34.0,23.0,4.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,80.0,32.0,,24.0,,117.0,,2005 252 61 19 0 80 32 24 — 6.6 16 17 4 117,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,32.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,252.0,61.0,19.0,0.0,,6.6,16.0,17.0,4.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2007,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,86.0,36.0,,33.0,,129.0,,2006 242 58 28 0 86 36 33 — 6.6 20 16 7 129,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,36.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,242.0,58.0,28.0,0.0,,6.6,20.0,16.0,7.0,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,2008,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,127.0,48.0,,28.0,,207.0,,2007 262 91 36 0 127 48 28 — 5.8 48 24 8 207,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,48.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,262.0,91.0,36.0,0.0,,5.8,48.0,24.0,8.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2009,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,139.0,44.0,,29.0,,172.0,,2008 318 96 41 2 139 44 29 — 6.3 18 8 7 172,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,44.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,318.0,96.0,41.0,2.0,,6.3,18.0,8.0,7.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,2010,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,150.0,44.0,,31.0,,213.0,,2009 338 104 46 0 150 44 31 — 6.4 39 22 2 213,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,44.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,338.0,104.0,46.0,0.0,,6.4,39.0,22.0,2.0,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,2011,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,165.0,44.0,,33.0,,223.0,,2010 372 110 55 0 165 44 33 — 6.0 36 20 2 223,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,44.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,372.0,110.0,55.0,0.0,,6.0,36.0,20.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2012,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,174.0,39.0,,24.0,,224.0,,2011 444 132 42 0 174 39 24 41 5.5 30 20 0 224,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,39.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,444.0,132.0,42.0,0.0,41.0,5.5,30.0,20.0,0.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,2013,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,235.0,42.0,,36.0,,289.0,,2012 558 151 84 0 235 42 36 32 5.8 33 19 2 289,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,42.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,558.0,151.0,84.0,0.0,32.0,5.8,33.0,19.0,2.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,2014,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,242.0,42.0,,32.0,,288.0,,2013 570 165 77 0 242 42 32 34 6.0 30 16 0 288,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,42.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,570.0,165.0,77.0,0.0,34.0,6.0,30.0,16.0,0.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2015,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,283.0,50.0,,30.0,,378.0,,2014 570 198 85 0 283 50 30 32 5.3 57 36 2 378,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,50.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,570.0,198.0,85.0,0.0,32.0,5.3,57.0,36.0,2.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,2016,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,329.0,48.0,,36.0,,376.0,,2015 692 211 118 0 329 48 36 29 5.3 29 16 2 376,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,48.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,692.0,211.0,118.0,0.0,29.0,5.3,29.0,16.0,2.0,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2017,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,314.0,44.0,,30.0,,372.0,,2016 712 219 95 0 314 44 30 36 5.5 32 24 2 372,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,44.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,712.0,219.0,95.0,0.0,36.0,5.5,32.0,24.0,2.0,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2018,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,380.0,50.0,,29.0,,457.0,,2017 760 269 111 0 380 50 29 39 5.8 48 29 0 457,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,50.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,760.0,269.0,111.0,0.0,39.0,5.8,48.0,29.0,0.0,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2019,24_black_bear_report.pdf,2,black_bear_statewide_harvest_mortality_2001_2024,Black Bear,,,365.0,42.0,,38.0,,406.0,,2018 859 228 137 0 365 42 38 28 5.9 26 15 0 406,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7,42.0,24_black_bear_report.pdf,True,True,True,black_bear_supplement_extracted_from_2024_report,black_bear_statewide_harvest_mortality_2001_2024,,,859.0,228.0,137.0,0.0,28.0,5.9,26.0,15.0,0.0,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
