reported_hunt_year,model_target_year,source_file,source_page,source_family,species,unit_context,unit_code,table_year_start,table_year_end,permits_issued,harvest_male,harvest_female,harvest_total,percent_permits_filled,percent_female,percent_adult_male,mean_age,depredation_male,depredation_female,total_harvest_mortality,raw_line,source_sha256
1990,1991,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1990 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1991,1992,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1991 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1992,1993,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1992 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1993,1994,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1993 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1994,1995,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1994 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1995,1996,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,1.0,0.0,1.0,100.0,0.0,,,0,0,1,1995 1 1 0 1 100 0 — — 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1996,1997,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1996 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1997,1998,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1997 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1998,1999,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1998 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
1999,2000,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,1999 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2000,2001,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,0.0,0.0,0.0,0.0,,,,0,0,0,2000 1 0 0 0 0 — — — 0 0 0,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
2001,2002,24_black_bear_mortality_report.pdf,1,black_bear_unit_mortality_history,Black Bear,Beaver,22,1990,2024,1.0,1.0,0.0,1.0,100.0,0.0,,5.0,0,0,1,2001 1 1 0 1 100 0 — 5.0 0 0 1,03c4ca343be9588fd3cdf7fd61ccd57401b1f4b4a2c7c25586b062d7368674d5
