reported_hunt_year,model_target_year,source_file,source_page,source_family,species,hunt_code,hunt_name,unit_context,season,hunt_type,permits,harvest_male,harvest_female,harvest_total,percent_permits_filled,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7200,Beaver,Beaver,fall,limited_entry_fall,8,1,2,3,38,BR7200 Beaver 8 1 2 3 38,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7201,"Book Cliffs, Bitter Creek/South","Book Cliffs, Bitter Creek/South",fall,limited_entry_fall,20,4,0,4,20,"BR7201 Book Cliffs, Bitter Creek/South 20 4 0 4 20",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7225,"Book Cliffs, Little Creek Roadless**","Book Cliffs, Little Creek Roadless**",fall,limited_entry_fall,7,0,0,0,0,"BR7225 Book Cliffs, Little Creek Roadless** 7 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7215,Boulder/Kaiparowits,Boulder/Kaiparowits,fall,limited_entry_fall,12,2,1,3,25,BR7215 Boulder/Kaiparowits 12 2 1 3 25,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7228,Cache/Ogden,Cache/Ogden,fall,limited_entry_fall,1,0,0,0,0,BR7228 Cache/Ogden 1 0 0 0 0,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7218,Diamond Mtn/Vernal/Bonanza,Diamond Mtn/Vernal/Bonanza,fall,limited_entry_fall,7,1,0,1,14,BR7218 Diamond Mtn/Vernal/Bonanza 7 1 0 1 14,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7207,"Fillmore, Pahvant","Fillmore, Pahvant",fall,limited_entry_fall,1,0,0,0,0,"BR7207 Fillmore, Pahvant 1 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7216,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,fall,limited_entry_fall,4,2,1,3,75,BR7216 Fishlake/Thousand Lakes 4 2 1 3 75,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7229,"Kamas/North Slope, Summit","Kamas/North Slope, Summit",fall,limited_entry_fall,4,0,0,0,0,"BR7229 Kamas/North Slope, Summit 4 0 0 0 0",950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,6,black_bear_hunt_code_harvest_2024,Black Bear,BR7208,La Sal,La Sal,fall,limited_entry_fall,6,2,2,4,67,BR7208 La Sal 6 2 2 4 67,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
