reported_hunt_year,model_target_year,species,unit_context,permits_or_quota_2024,harvest_male,harvest_female,harvest_unknown,harvest_total_unit_summary_2024,percent_permits_or_quota_filled_2024,percent_female,percent_adult_male,depredation_mortality_unit_summary_2024,unit_code,permits_issued,harvest_total,percent_permits_filled,percent_female_mortality_history,percent_adult_male_mortality_history,mean_age,depredation_male,depredation_female,total_harvest_mortality,bears_per_pursuer_general_spring,bears_per_pursuer_general_summer,bears_per_pursuit_day_general_spring,bears_per_pursuit_day_general_summer,bears_treed_total_general_spring,bears_treed_total_general_summer,pursuers_afield_general_spring,pursuers_afield_general_summer,pursuit_days_afield_general_spring,pursuit_days_afield_general_summer,source_family,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw
2024,2025,Black Bear,Beaver,34,11,8,0,19,56,42,17,0,22,34.0,19.0,56.0,42.0,17.0,5.8,0.0,0.0,19.0,1.5,1.3,0.2,0.2,26.0,16.0,17.0,12.0,111.0,76.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Book Cliffs, Bitter Creek/South",91,24,1,0,25,27,4,48,0,,,,,,,,,,,3.1,,0.2,,126.0,,41.0,,542.0,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Book Cliffs, Little Creek Roadless",24,2,0,0,2,8,0,50,0,10c,24.0,2.0,8.0,0.0,50.0,4.5,0.0,0.0,2.0,2.0,,0.3,,16.0,,8.0,,60.0,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Boulder/Kaiparowits,80,11,8,0,19,24,42,18,0,25c/26,80.0,19.0,24.0,42.0,18.0,6.2,0.0,0.0,19.0,2.3,6.8,0.3,0.5,18.0,27.0,8.0,4.0,68.0,52.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Cache/Ogden,9,2,4,0,6,67,67,33,9,2/3,9.0,6.0,67.0,67.0,33.0,6.2,7.0,2.0,15.0,1.0,2.0,0.1,0.3,4.0,8.0,4.0,4.0,43.0,25.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,23,7,3,0,10,43,30,10,6,,,,,,,,,,,0.7,0.7,0.0,0.0,4.0,4.0,6.0,6.0,95.0,97.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Diamond Mtn/Vernal/Bonanza,41,6,5,0,11,27,45,0,7,9bcd,41.0,11.0,27.0,45.0,0.0,4.2,5.0,1.0,18.0,0.7,0.5,0.1,0.1,4.0,2.0,6.0,4.0,52.0,14.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Fillmore, Pahvant",3,1,0,0,1,33,0,0,0,21b,3.0,1.0,33.0,0.0,0.0,3.0,0.0,0.0,1.0,,,,,,,0.0,0.0,,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Fishlake/Thousand Lakes,20,8,4,0,12,60,33,18,0,25ab,20.0,12.0,60.0,33.0,18.0,3.5,0.0,0.0,12.0,3.6,5.0,0.2,0.5,68.0,70.0,19.0,14.0,289.0,138.0,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Kamas/North Slope, Summit",22,4,3,0,7,32,43,14,1,7/8a,22.0,7.0,32.0,43.0,14.0,4.3,1.0,0.0,8.0,2.5,,0.2,,93.0,,37.0,0.0,437.0,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,La Sal,104,35,23,0,58,56,40,18,0,13,104.0,58.0,56.0,40.0,18.0,4.7,0.0,0.0,58.0,,,,,,,0.0,,,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Manti, North",69,17,9,0,26,38,35,8,6,16b,69.0,26.0,38.0,35.0,8.0,4.1,5.0,1.0,32.0,,,,,,,,,,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,"Manti, South/San Rafael, North",70,24,12,0,36,51,38,12,6,16c/12a,70.0,36.0,51.0,33.0,12.0,3.7,2.0,4.0,42.0,,,,,,,,,,,black_bear_quality_features_2024_for_2025,True,True,True
2024,2025,Black Bear,Monroe,2,1,0,0,1,50,0,0,0,23,2.0,1.0,50.0,0.0,0.0,3.0,0.0,0.0,1.0,1.5,,0.4,,6.0,,4.0,0.0,17.0,,black_bear_quality_features_2024_for_2025,True,True,True
