species,all_long_rows,hunt_code_rows,unique_hunt_codes,rows_with_harvest_total,rows_with_percent_success,rows_with_hunter_satisfaction
Elk,860,860,215,860,860,0
Antlerless Elk,825,825,184,825,825,0
Mule Deer,668,668,334,668,668,0
Pronghorn,174,174,87,174,174,0
Black Bear,87,87,87,87,87,0
Antlerless Deer,42,42,21,42,42,42
Moose,37,37,37,37,37,0
Desert Bighorn Sheep,21,21,21,21,21,0
Rocky Mountain Bighorn Sheep,20,20,20,20,20,0
Mountain Goat,17,17,17,17,17,0
Bison,16,16,16,16,16,0
