source_file,source_path,sha256,pages_detected,bytes
24_black_bear_report.pdf,/mnt/data/24_black_bear_report.pdf,8028bc816eca8821b836ef24d50b36fb6fba8ad46264b690b9a0bb10dce94374,51,1204818
24_bg_report.pdf,/mnt/data/24_bg_report.pdf,f7007f8ee43ea126cee833219bc5982bc54ba239a95b994800d378c70b7633bf,191,4106845
Pronghorn data.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/Pronghorn/Pronghorn data.pdf,8b02c1c3c594c73c03dbd436984c4f6c803c3b861b983aafa9206b98bc4d78b7,30,683352
2024 ELK ANTLERLESS BY UNIT 2015-2024.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK ANTLERLESS BY UNIT 2015-2024.pdf,5182cae2db597d7aaa951c22a7aa838aabc919668f02bb3cecb51397367e4042,3,92453
2024 ELK ANTLERLESS GENERAL SEASON.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK ANTLERLESS GENERAL SEASON.pdf,633e388b9ca96b90c07e25e2757288a729d7cb8d7b630ecd8dac2360f9f4c4df,4,161825
2024 ELK AVERAGE AGE HARVEST.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK AVERAGE AGE HARVEST.pdf,462cbcfcbebede94166744db317876b63baa612cd50182a38f2ef61b7ec745d9,2,82531
2024 ELK BULL BY UNIT.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK BULL BY UNIT.pdf,36282c6569d1878dc18d6937d42a127a2b0c6dc335f621adfad8d6a9fb88bc53,3,111537
2024 ELK BY UNIT 2024.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK BY UNIT 2024.pdf,072c9df50bebc094fe418809e46205f12647446f5e78ee5a7a381f84501334a0,24,504578
2024 ELK BY UNIT HISTORICAL 2015–2024.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK BY UNIT HISTORICAL 2015–2024.pdf,6c85ee63b88aa5bb3469f0db9b0f7f73acd5b17f37cf7bc44f74e1f65a64afef,3,90507
2024 ELK CWMU bull elk harvest.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK CWMU bull elk harvest.pdf,9d20070d2a53baf1841196c4a02aaf36931b7d4bf2f5a9c5a370228956f2b63e,3,141060
2024 ELK GENERAL EXTENDED ARCHERY HARVEST.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK GENERAL EXTENDED ARCHERY HARVEST.pdf,7a38e20199731cef967983eb7e1461845de1fe05145e8067ec1a15ec9b4fd916,2,70857
2024 ELK GENERAL SEASON.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK GENERAL SEASON.pdf,1ea8e732ab0213731414b9dd0760dc05017c476eb9a845aeed5c503dc1bcfc5f,7,232398
2024 ELK LIMITED ANTLERLESS.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK LIMITED ANTLERLESS.pdf,f0498b59f497eca438157040d3304fc1f68a232279672432a6922aba0fc33327,11,336249
2024 ELK LIMITED ENTRY youth any bull hunters choice elk harvest.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK LIMITED ENTRY youth any bull hunters choice elk harvest.pdf,60941ba99f26f4368702b816c4c6491f157a6d3304951469354e70a2e8fee685,3,182361
2024 ELK STATEWIDE STATS.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK STATEWIDE STATS.pdf,f63459bb1f4fe5243ab2ca7c6c106524ff2e8c44c67cf6e5683d9b135f5e0b7d,4,84592
2024 ELK WINTER TREND.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 ELK WINTER TREND.pdf,da72148cebda627273bf093175e762c07dfa38c8d6e5135a40a6f5bc9337cb98,21,224939
2024 LIMITED ENTRY ELK HARVEST.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/2024 LIMITED ENTRY ELK HARVEST.pdf,fd8fdb0edcf22fa8d7492e63b67ef434a1e1cdec5112b155393e0419044046f9,9,315670
24_elk_bg_report.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/24_elk_bg_report.pdf,79e8b558d9b71081b3c7b0951e30e61d95c705ee94e081127dbc73bd83977121,57,2761086
ELK 2024 WINTER POPULATION.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/ELK 2024 WINTER POPULATION.pdf,ca633ed4f07c5819628cfbd9c425c60951e0def007694e56d43731048544a136,2,83070
PRESEASON CALF ELK PER 100 COWS 2015–2024.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/ELK/PRESEASON CALF ELK PER 100 COWS 2015–2024.pdf,f21515ba7124357d1a141e77fac7de516fdcca74bb8c9db6ef184e3dfa19a5ae,2,2148126
2024 DEER HARVEST HISTORY.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/Mule Deer/2024 DEER HARVEST HISTORY.pdf,b775b531dc50da634819c11511aad0513868ad3148a50027d1dbe7bfd2e09ffe,4,2146887
2024 mule deer.pdf,/mnt/data/harvest_2024_processing_work2/unzipped/Mule Deer/2024 mule deer.pdf,1013878399cca2c016c491c2baec81852336320293d3f2dda6d4e281f20f2789,54,2744313
"Total antlerless deer harvest by management unit, Utah 2015–2024..pdf","/mnt/data/harvest_2024_processing_work2/unzipped/Mule Deer/Total antlerless deer harvest by management unit, Utah 2015–2024..pdf",9fa9282916d299fe2a80858f92857f12b8e47e3791e8b1c726f014b45f218568,3,2161152
"Total buck deer harvest by management unit, Utah 2015–2024..pdf","/mnt/data/harvest_2024_processing_work2/unzipped/Mule Deer/Total buck deer harvest by management unit, Utah 2015–2024..pdf",9f9f82ffcf47b44c0f2af7bdff85f4902ed948c779eaab4d0431d735c3997785,3,96986
"Total deer harvest by management unit, Utah 2024..pdf","/mnt/data/harvest_2024_processing_work2/unzipped/Mule Deer/Total deer harvest by management unit, Utah 2024..pdf",c907e7afdd686253124ab7849bfcdac28a6783a9ddad115c7982a94edf098a36,2,101110
