record_id,record_type,public_visible,prediction_engine_source,year_start,year_end,title,species,category,organization,group,area,condition,file_path,source_pdf,source_page,source_repo_path,data_status,notes,database_hunt_code,database_hunt_name,database_sex_type,database_species,database_weapon,database_hunt_type,database_season,database_permits_2026_res,database_permits_2026_nr,database_permits_2026_total,database_permits_2026_source,database_permit_allotment_2026_res,database_permit_allotment_2026_nr,database_permit_allotment_2026_total,database_permit_allotment_2026_source,database_permit_allotment_2026_source_file,database_permit_allotment_2026_status,database_match_status,document_file_status,reconciliation_issue
doc_2025_big_game_field_regulations,document,True,True,2025,2025,2025 Big Game Field Regulations,Big Game,Field Regulations,,,,,/hard-copy/pdfs/2025-big-game-field-regulations.pdf,2025-big-game-field-regulations.pdf,,public/hard-copy/pdfs/2025-big-game-field-regulations.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2025_big_game_harvest_results,document,True,True,2025,2025,2025 Big Game Harvest Results,Big Game,Harvest Results,,,,,/hard-copy/pdfs/2025-big-game-harvest-results.pdf,2025-big-game-harvest-results.pdf,,public/hard-copy/pdfs/2025-big-game-harvest-results.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2025_big_game_permit_draw_results,document,True,True,2025,2025,2025 Big Game Permit Draw Results,Big Game,Draw Results,,,,,/hard-copy/pdfs/2025-big-game-draw-results.pdf,2025-big-game-draw-results.pdf,,public/hard-copy/pdfs/2025-big-game-draw-results.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2026_big_game_application_guidebook,document,True,True,2026,2026,2026 Big Game Application Guidebook,Big Game,Application Guidebook,,,,,/hard-copy/pdfs/2026-big-game-application-guidebook.pdf,2026-big-game-application-guidebook.pdf,,public/hard-copy/pdfs/2026-big-game-application-guidebook.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2025_bear_draw_results,document,True,True,2025,2025,2025 Bear Draw Results,Bear,Draw Results,,,,,/hard-copy/pdfs/2025-black-bear-draw-odds.pdf,2025-black-bear-draw-odds.pdf,,public/hard-copy/pdfs/2025-black-bear-draw-odds.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,Public document row is not present in public/hard-copy/data/documents.json
doc_2026_bear_application_guidebook,document,True,True,2026,2026,2026 Bear Application Guidebook,Bear,Application Guidebook,,,,,/hard-copy/pdfs/2026-bear-application-guidebook.pdf,2026-bear-application-guidebook.pdf,,public/hard-copy/pdfs/2026-bear-application-guidebook.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2025_turkey_draw_results,document,True,True,2025,2025,2025 Turkey Draw Results,Turkey,Draw Results,,,,,/hard-copy/pdfs/2025-turkey-draw-results.pdf,2025-turkey-draw-results.pdf,,public/hard-copy/pdfs/2025-turkey-draw-results.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2025_26_upland_game_turkey_guidebook,document,True,True,2025,2026,2025–26 Upland Game Turkey Guidebook,Turkey,Field Regulations,,,,,/hard-copy/pdfs/2025-26-upland-game-turkey-guidebook.pdf,2025-26-upland-game-turkey-guidebook.pdf,,public/hard-copy/pdfs/2025-26-upland-game-turkey-guidebook.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2026_expo_draw_results,document,True,True,2026,2026,2026 Expo Draw Results,Expo Draw,Draw Results,,,,,/hard-copy/pdfs/2026-expo-draw-results.pdf,2026-expo-draw-results.pdf,,public/hard-copy/pdfs/2026-expo-draw-results.pdf,public_card_confirmed,Main public hard-copy library card.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,FOUND,
doc_2022_2024_conservation_permits,document,False,True,2022,2024,2022–2024 Conservation Permits,Multi-Species,Conservation Permits,,,,,,2022-24_conservation_permits.pdf,,TBD: copy source PDF into public/hard-copy/source_pdfs/regulations/2022-2024/,extracted_from_uploaded_pdf,Source PDF extracted into individual permit allocation records.,,,,,,,,,,,,,,,,,,DOCUMENT_ROW_NOT_HUNT_CODED,MISSING_SOURCE_PATH,
