hunt_code,species_category,hunt_name_draw,draw_res_permits,draw_nr_permits,draw_total_permits,harvest_permits,harvest_source_file,comparison_status
DA1001,Antlerless Deer,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",24,0,24,,,missing_in_harvest_extracts
DA1002,Antlerless Deer,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",24,0,24,,,missing_in_harvest_extracts
DA1003,Antlerless Deer,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",11,1,12,,,missing_in_harvest_extracts
DA1009,Antlerless Deer,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",18,2,20,,,missing_in_harvest_extracts
DA1011,Antlerless Deer,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
DA1012,Antlerless Deer,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,12,0,12,,,missing_in_harvest_extracts
DA1013,Antlerless Deer,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,4,0,4,,,missing_in_harvest_extracts
DA1018,Antlerless Deer,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",14,2,16,,,missing_in_harvest_extracts
DA1027,Antlerless Deer,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",24,0,24,,,missing_in_harvest_extracts
DA1030,Antlerless Deer,"Antlerless Deer - Nine Mile, Price River Valley - Archery",23,0,23,,,missing_in_harvest_extracts
DA1031,Antlerless Deer,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",15,1,16,,,missing_in_harvest_extracts
DA1033,Antlerless Deer,"Antlerless Deer - San Juan, Monticello - Archery",4,0,4,,,missing_in_harvest_extracts
DA1041,Antlerless Deer,"Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",11,1,12,,,missing_in_harvest_extracts
DA1042,Antlerless Deer,"Antlerless Deer - San Juan, Monticello - Archery",4,0,4,,,missing_in_harvest_extracts
DA1044,Antlerless Deer,Two Doe Antlerless Deer - Myton - Any Legal Weapon,39,1,40,,,missing_in_harvest_extracts
DA1045,Antlerless Deer,"Antlerless Deer - Fillmore, Oak City - Archery",12,0,12,,,missing_in_harvest_extracts
DA1046,Antlerless Deer,"Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",20,0,20,,,missing_in_harvest_extracts
DA1047,Antlerless Deer,Two Doe Antlerless Deer - Vernal-ouray Valley - Any Legal Weapon,39,1,40,,,missing_in_harvest_extracts
DA1048,Antlerless Deer,Antlerless Deer - Fillmore City - Archery,11,1,12,,,missing_in_harvest_extracts
DA1049,Antlerless Deer,Antlerless Deer - Ashley Valley - Archery,64,2,66,,,missing_in_harvest_extracts
DA1050,Antlerless Deer,Cwmu Antlerless Deer - The Rose Of Snowville - Any Legal Weapon,7,0,7,,,missing_in_harvest_extracts
EA1010,Antlerless Elk,"Antlerless Elk - Cache, Rich - Any Legal Weapon",15,2,17,,,missing_in_harvest_extracts
EA1011,Antlerless Elk,"Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",15,2,17,,,missing_in_harvest_extracts
EA1012,Antlerless Elk,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",8,1,9,,,missing_in_harvest_extracts
EA1013,Antlerless Elk,Antlerless Elk - Central Manti - Any Legal Weapon,44,5,49,,,missing_in_harvest_extracts
EA1015,Antlerless Elk,Antlerless Elk - Ferron Canyon - Any Legal Weapon,44,5,49,,,missing_in_harvest_extracts
EA1017,Antlerless Elk,Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,51,6,57,,,missing_in_harvest_extracts
EA1018,Antlerless Elk,Antlerless Elk - Horn Mtn - Any Legal Weapon,36,4,40,,,missing_in_harvest_extracts
EA1020,Antlerless Elk,Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,65,8,73,,,missing_in_harvest_extracts
EA1021,Antlerless Elk,Antlerless Elk - Nebo - Any Legal Weapon,144,16,160,,,missing_in_harvest_extracts
EA1022,Antlerless Elk,Antlerless Elk - North Manti - Any Legal Weapon,202,23,225,,,missing_in_harvest_extracts
EA1023,Antlerless Elk,Antlerless Elk - South Manti - Any Legal Weapon,72,8,80,,,missing_in_harvest_extracts
EA1024,Antlerless Elk,Antlerless Elk - South Manti - Any Legal Weapon,72,8,80,,,missing_in_harvest_extracts
EA1025,Antlerless Elk,Antlerless Elk - West Manti - Any Legal Weapon,80,9,89,,,missing_in_harvest_extracts
EA1026,Antlerless Elk,Antlerless Elk - Chalk Creek - Any Legal Weapon,277,10,287,,,missing_in_harvest_extracts
