hunt_code,hunt_name,dataset_family,res_total_permits,nr_total_permits,total_permits,source_file,source_page,integrity_note
BI6503,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 2,big_game_master,9,2464,2473,24_bg-odds.pdf,486,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6504,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 3,big_game_master,9,1151,1160,24_bg-odds.pdf,487,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6509,Bison Archery (hunter’s Choice) - Henry Mtns - Archery Page 6,big_game_master,4,581,585,24_bg-odds.pdf,490,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6516,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 7,big_game_master,6,1030,1036,24_bg-odds.pdf,491,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6528,"Bison Archery (hunter’s Choice) - Book Cliffs, Little Creek/south - Archery Page 8",big_game_master,4,269,273,24_bg-odds.pdf,492,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6530,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon Page 10",big_game_master,3,293,296,24_bg-odds.pdf,494,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6531,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon Page 11",big_game_master,4,205,209,24_bg-odds.pdf,495,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6532,"Bison Archery (hunter’s Choice) - Book Cliffs, Bitter Creek - Archery Page 12",big_game_master,4,362,366,24_bg-odds.pdf,496,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6534,"Bison (hunter’s Choice) - Book Cliffs, Bitter Creek - Any Legal Weapon Page 13",big_game_master,4,745,749,24_bg-odds.pdf,497,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6535,"Bison (hunter’s Choice) - Book Cliffs, Bitter Creek - Any Legal Weapon Page 14",big_game_master,4,511,515,24_bg-odds.pdf,498,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
BI6537,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon Page 16",big_game_master,9,385,394,24_bg-odds.pdf,500,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery Page 17,big_game_master,9,786,795,24_bg-odds.pdf,1,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery Page 18,big_game_master,23,884,907,24_bg-odds.pdf,2,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1003,Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon Page 20,big_game_master,24,3956,3980,24_bg-odds.pdf,4,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 21,big_game_master,67,3566,3633,24_bg-odds.pdf,5,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1005,Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader Page 22,big_game_master,9,523,532,24_bg-odds.pdf,6,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader Page 23,big_game_master,23,383,406,24_bg-odds.pdf,7,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 26,big_game_master,17,205,222,24_bg-odds.pdf,10,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1011,Limited-entry Archery Buck Deer - Book Cliffs - Archery Page 27,big_game_master,39,256,295,24_bg-odds.pdf,11,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1014,"Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery Page 30",big_game_master,13,338,351,24_bg-odds.pdf,14,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1017,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon Page 33",big_game_master,86,719,805,24_bg-odds.pdf,17,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1018,"Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon Page 34",big_game_master,21,271,292,24_bg-odds.pdf,18,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1019,"Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon Page 35",big_game_master,23,1353,1376,24_bg-odds.pdf,19,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1020,"Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon Page 36",big_game_master,11,533,544,24_bg-odds.pdf,20,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1022,"Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon Page 37",big_game_master,37,641,678,24_bg-odds.pdf,21,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1023,Limited-entry Alw (rifle) Buck Deer - Diamond Mtn - Any Legal Weapon Page 38,big_game_master,57,317,374,24_bg-odds.pdf,22,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DB1024,"Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon Page 39",big_game_master,104,559,663,24_bg-odds.pdf,23,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DS6601,"Desert Bighorn Sheep - Kaiparowits, East - Any Legal Weapon Page 205",big_game_master,7,2998,3005,24_bg-odds.pdf,503,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DS6602,"Desert Bighorn Sheep - Kaiparowits, Escalante - Any Legal Weapon Page 206",big_game_master,7,2000,2007,24_bg-odds.pdf,504,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
DS6603,"Desert Bighorn Sheep - Kaiparowits, West - Any Legal Weapon Page 207",big_game_master,5,3785,3790,24_bg-odds.pdf,505,"nr_total_permits appears to be parsed from odds/applicant totals, not permit quota"
