source_file,source_page,hunt_code,hunt_name,species_or_category,res_total_permits,nr_total_permits,total_permits_comp,totals_numbers,raw_hunt_line,raw_totals_line,parse_style,dataset_family,source_dataset,total_permits_master,status
24_bg-odds.pdf,485,BI6500,Bison (hunter’s Choice) - Antelope Island - Any Legal Weapon Page 1,,2,0,2,3089;1;1;2;1544;5;0;0;0;0,,Totals 3089 1 1 2 in 1544.5 Totals 0 0 0 0 N/A,res_nr_split,big_game_master,24_bg-odds.pdf,2,match
24_bg-odds.pdf,486,BI6503,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 2,,9,2464,2473,4858;5;4;9;1;539;8;2464;0;1;1;2464;0,,Totals 4858 5 4 9 1 in 539.8 Totals 2464 0 1 1 in 2464.0,res_nr_split,big_game_master,24_bg-odds.pdf,2473,match
24_bg-odds.pdf,487,BI6504,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 3,,9,1151,1160,1702;5;4;9;1;189;1;1151;0;1;1;1151;0,,Totals 1702 5 4 9 1 in 189.1 Totals 1151 0 1 1 in 1151.0,res_nr_split,big_game_master,24_bg-odds.pdf,1160,match
24_bg-odds.pdf,488,BI6505,Bison (cow Only) - Henry Mtns - Any Legal Weapon Page 4,,4,133,137,360;2;2;4;1;90;0;133;0;1;1;1;133;0,,Totals 360 2 2 4 1 in 90.0 Totals 133 0 1 1 1 in 133.0,res_nr_split,big_game_master,24_bg-odds.pdf,137,match
24_bg-odds.pdf,489,BI6506,Bison (cow Only) - Henry Mtns - Any Legal Weapon Page 5,,6,144,150,292;3;3;6;1;48;7;144;0;1;1;1;144;0,,Totals 292 3 3 6 1 in 48.7 Totals 144 0 1 1 1 in 144.0,res_nr_split,big_game_master,24_bg-odds.pdf,150,match
24_bg-odds.pdf,490,BI6509,Bison Archery (hunter’s Choice) - Henry Mtns - Archery Page 6,,4,581,585,352;2;2;4;1;88;0;581;0;1;1;1;581;0,,Totals 352 2 2 4 1 in 88.0 Totals 581 0 1 1 1 in 581.0,res_nr_split,big_game_master,24_bg-odds.pdf,585,match
24_bg-odds.pdf,491,BI6516,Bison (hunter’s Choice) - Henry Mtns - Any Legal Weapon Page 7,,6,1030,1036,988;3;3;6;1;164;7;1030;0;1;1;1030;0,,Totals 988 3 3 6 1 in 164.7 Totals 1030 0 1 1 in 1030.0,res_nr_split,big_game_master,24_bg-odds.pdf,1036,match
24_bg-odds.pdf,492,BI6528,"Bison Archery (hunter’s Choice) - Book Cliffs, Little Creek/south - Archery Page 8",,4,269,273,146;2;2;4;1;36;5;269;0;1;1;1;269;0,,Totals 146 2 2 4 1 in 36.5 Totals 269 0 1 1 1 in 269.0,res_nr_split,big_game_master,24_bg-odds.pdf,273,match
24_bg-odds.pdf,493,BI6529,"Bison (cow Only) - Book Cliffs, Little Creek/south - Any Legal Weapon Page 9",,4,79,83,118;2;2;4;1;29;5;79;0;1;1;1;79;0,,Totals 118 2 2 4 1 in 29.5 Totals 79 0 1 1 1 in 79.0,res_nr_split,big_game_master,24_bg-odds.pdf,83,match
24_bg-odds.pdf,494,BI6530,"Bison (hunter’s Choice) - Book Cliffs, Little Creek/south - Any Legal Weapon Page 10",,3,293,296,270;2;1;3;1;90;0;293;0;1;1;1;293;0,,Totals 270 2 1 3 1 in 90.0 Totals 293 0 1 1 1 in 293.0,res_nr_split,big_game_master,24_bg-odds.pdf,296,match
