hunt_code,harvest_rows,example_source_file,example_hunt_name,example_species
EB3000;EB3024;EB3025;EB3077;EB3102;EB3158;EB3159,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3001,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,"Book Cliffs, Bitter Creek/South",
EB3002;EB3028;EB3079;EB3104;EB3167,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3003;EB3032;EB3033;EB3081;EB3105;EB3168;EB3169,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3005;EB3036;EB3037;EB3083;EB3107;EB3170;EB3171,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3006;EB3038;EB3039;EB3084;EB3108;EB3126;EB3172,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3008;EB3042;EB3043;EB3086;EB3110;EB3180;EB3181,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3009;EB3045;EB3046;EB3087;EB3111;EB3182;EB3183,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3010;EB3047;EB3048;EB3088;EB3112;EB3184;EB3185,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3011;EB3049;EB3050;EB3089;EB3113;EB3186;EB3187,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3013;EB3053;EB3091;EB3115;EB3210,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3015;EB3056;EB3057;EB3093;EB3117;EB3188;EB3189,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3018;EB3063;EB3064;EB3065;EB3096;EB3120;EB3192,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3019;EB3066;EB3067;EB3097;EB3121;EB3193;EB3194,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3020;EB3068;EB3069;EB3098;EB3122;EB3195;EB3196,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3022;EB3072;EB3073;EB3100;EB3124;EB3127;EB3199,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3026,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,"Book Cliffs, Bitter Creek/South",
EB3031;EB3130,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3040,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Nebo,
EB3078,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,"Book Cliffs, Bitter Creek/South",
EB3109,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Nebo,
EB3132;EB3139,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3135;EB3142,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3136;EB3143,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3137;EB3144,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3145;EB3148;EB3151;EB3154;EB3156;EB3190;EB3191,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3146;EB3149;EB3152;EB3155;EB3157;EB3197;EB3198,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3147;EB3150;EB3153,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3160;EB3161;EB3162;EB3163;EB3164;EB3165;EB3166,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3173;EB3174;EB3175;EB3176;EB3177;EB3178;EB3179,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_average_age_2024_extract\ELK_AVERAGE_AGE_HARVEST_2024.csv,,
EB3563,1,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\elk_cwmu_bull_harvest_2024_extract\ELK_CWMU_BULL_HARVEST_2024.csv,,
LE0001,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,"La Sal, La Sal Mtns",
LE0002,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Manti,
LE0003,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Manti,
LE0004,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Manti,
LE0005,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Manti,
LE0006,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,San Juan,
LE0007,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,San Juan,
LE0008,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Wasatch Mtns,
LE0009,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Wasatch Mtns,
LE0011,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Manti,
LE0013,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Southwest Desert,
LE0014,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Beaver,
LE0015,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Book Cliffs,
LE0016,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Cache,
LE0017,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Nebo,
LE0018,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,"La Sal, La Sal Mtns",
LE0029,2,C:\Users\tyler\Desktop\GitHub\HUNTS\pipeline\RAW\hunt_unit_database\2025\formatted_tables\limited_entry_elk_harvest_2024_extract\LIMITED_ENTRY_ELK_HARVEST_2024_BOUNDARY_RESOLUTION.csv,Cache,
