Section,Unit,Hunt number,Hunt name,Cow harvest,Calf harvest,Total harvest,Permits,Hunters afield,Mean days hunted,Success rate (%),source_page
Limited-entry archery antlerless elk harvest,11A,EA2034,"Nine Mile, Anthro",0,1,1,37,24,7.7,4.3,1
Limited-entry archery antlerless elk harvest,8A,EA1268,"North Slope, Summit",9,0,9,183,151,8.9,6.0,1
Limited-entry archery antlerless elk harvest,9B,EA1085,Vernal/Bonanza,10,2,12,100,89,8.2,13.6,1
Limited-entry archery antlerless elk harvest,17,EA2038,Wasatch Mtns,70,9,79,881,728,5.7,10.9,1
Limited-entry archery antlerless elk harvest,9A,EA2037,Yellowstone,14,7,21,180,151,7.4,13.9,1
Limited-entry muzzleloader antlerless elk harvest,10,EA1225,"Book Cliffs, Bitter Creek/South",94,10,104,158,138,2.7,75.2,1
Limited-entry muzzleloader antlerless elk harvest,8B,EA1060,"North Slope, West Daggett",1,0,1,20,15,5.5,6.7,1
Limited-entry muzzleloader antlerless elk harvest,8B,EA1061,"North Slope, West Daggett",3,0,3,20,18,5.3,16.7,1
Limited-entry muzzleloader antlerless elk harvest,17,EA1189,"Wasatch Mtns, West-Central",39,4,43,421,345,3.7,12.6,1
Limited-entry muzzleloader antlerless elk harvest,9A,EA1245,Yellowstone,5,0,5,49,39,4.9,13.5,1
Limited-entry any legal weapon antlerless elk harvest,22,EA1222,"Beaver, East",12,0,12,29,26,3.9,45.8,2
Limited-entry any legal weapon antlerless elk harvest,22,EA1223,"Beaver, East",15,0,15,29,24,4.1,60.9,2
Limited-entry any legal weapon antlerless elk harvest,10,EA1224,"Book Cliffs, Bitter Creek/South",56,3,59,124,121,4.3,48.7,2
Limited-entry any legal weapon antlerless elk harvest,25C/26,EA1075,Boulder East,7,2,9,15,12,3.3,75.0,2
Limited-entry any legal weapon antlerless elk harvest,25C/26,EA1076,Boulder West,9,1,10,20,17,3.6,60.0,2
Limited-entry any legal weapon antlerless elk harvest,25C/26,EA1077,Boulder-Circle Cliffs,14,0,14,20,19,4.6,76.5,2
Limited-entry any legal weapon antlerless elk harvest,1,EA1266,"Box Elder, Hansel Mtn",3,0,3,20,18,7.3,18.8,2
Limited-entry any legal weapon antlerless elk harvest,1,EA1203,"Box Elder, Pilot Mtn",3,0,3,5,5,4.5,50.0,2
Limited-entry any legal weapon antlerless elk harvest,1,EA1204,"Box Elder, Pilot Mtn",0,0,0,5,5,3.2,0.0,2
Limited-entry any legal weapon antlerless elk harvest,2,EA1267,Cache,18,1,19,120,112,6.1,17.3,2
Limited-entry any legal weapon antlerless elk harvest,2,EA1010,"Cache, Rich",3,0,3,18,18,8.1,14.3,2
Limited-entry any legal weapon antlerless elk harvest,2,EA1193,"Cache, Rich",4,2,6,19,14,4.7,46.2,2
