hunt_code,species,hunt_name,hunt_type,weapon,sex_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,year,prediction_year,source_file
DB1563,Deer,Manti/San Rafael,General Season,Muzzleloader,Male Only,1346,1194.0,347.0,29.1,4.2,3.2,2025,2026,harvest_2025.csv
DB1564,Deer,Nebo,General Season,Muzzleloader,Male Only,755,649.0,141.0,21.7,4.1,3.2,2025,2026,harvest_2025.csv
DB1566,Deer,Fillmore,General Season,Muzzleloader,Male Only,349,314.0,120.0,38.2,4.6,3.5,2025,2026,harvest_2025.csv
DB1568,Deer,Kamas,General Season,Muzzleloader,Male Only,209,160.0,35.0,21.9,4.1,3.3,2025,2026,harvest_2025.csv
DB1569,Deer,La Sal Mtns,General Season,Muzzleloader,Male Only,260,216.0,116.0,53.7,4.1,3.8,2025,2026,harvest_2025.csv
DB1570,Deer,Monroe,General Season,Muzzleloader,Male Only,106,92.0,57.0,62.0,4.3,3.5,2025,2026,harvest_2025.csv
DB1571,Deer,Mt Dutton,General Season,Muzzleloader,Male Only,64,56.0,16.0,28.6,4.6,3.1,2025,2026,harvest_2025.csv
DB1572,Deer,Nine Mile,General Season,Muzzleloader,Male Only,196,169.0,42.0,24.9,4.2,3.0,2025,2026,harvest_2025.csv
DB1573,Deer,North Slope,General Season,Muzzleloader,Male Only,510,410.0,95.0,23.2,4.6,3.1,2025,2026,harvest_2025.csv
DB1574,Deer,Ogden,General Season,Muzzleloader,Male Only,394,330.0,70.0,21.2,4.2,3.1,2025,2026,harvest_2025.csv
DB1576,Deer,Panguitch Lake,General Season,Muzzleloader,Male Only,385,346.0,141.0,40.8,4.3,3.7,2025,2026,harvest_2025.csv
DB1577,Deer,Pine Valley,General Season,Muzzleloader,Male Only,499,442.0,144.0,32.6,4.4,3.3,2025,2026,harvest_2025.csv
DB1579,Deer,Fishlake,General Season,Muzzleloader,Male Only,213,186.0,79.0,42.5,4.0,3.5,2025,2026,harvest_2025.csv
DB1581,Deer,"San Juan, Abajo Mtns",General Season,Muzzleloader,Male Only,467,398.0,177.0,44.5,4.0,3.6,2025,2026,harvest_2025.csv
DB1582,Deer,Vernal/Bonanza,General Season,Muzzleloader,Male Only,206,184.0,115.0,62.5,3.9,3.7,2025,2026,harvest_2025.csv
DB1583,Deer,Yellowstone,General Season,Muzzleloader,Male Only,229,204.0,89.0,43.6,4.2,3.4,2025,2026,harvest_2025.csv
DB1584,Deer,Southwest Desert,General Season,Muzzleloader,Male Only,76,73.0,20.0,27.4,5.1,2.6,2025,2026,harvest_2025.csv
DB1585,Deer,"Wasatch Mtns, East",General Season,Muzzleloader,Male Only,917,789.0,217.0,27.5,4.2,3.3,2025,2026,harvest_2025.csv
DB1586,Deer,"Wasatch Mtns, West",General Season,Muzzleloader,Male Only,1129,947.0,187.0,19.7,4.0,3.1,2025,2026,harvest_2025.csv
DB1589,Deer,Zion,General Season,Muzzleloader,Male Only,489,423.0,185.0,43.7,3.8,3.5,2025,2026,harvest_2025.csv
DB1591,Deer,Fillmore,General Season,Early Any Legal Weapon,Male Only,375,323.0,157.0,48.6,3.2,3.4,2025,2026,harvest_2025.csv
DB1592,Deer,Kamas,General Season,Early Any Legal Weapon,Male Only,233,194.0,38.0,19.6,3.1,3.2,2025,2026,harvest_2025.csv
DB1593,Deer,Nine Mile,General Season,Early Any Legal Weapon,Male Only,224,181.0,66.0,36.5,3.3,3.0,2025,2026,harvest_2025.csv
DB1594,Deer,Panguitch Lake,General Season,Early Any Legal Weapon,Male Only,397,348.0,186.0,53.4,3.2,3.8,2025,2026,harvest_2025.csv
DB1595,Deer,Pine Valley,General Season,Early Any Legal Weapon,Male Only,496,441.0,156.0,35.4,3.6,3.3,2025,2026,harvest_2025.csv
DB1596,Deer,Fishlake,General Season,Early Any Legal Weapon,Male Only,210,191.0,95.0,49.7,3.1,3.4,2025,2026,harvest_2025.csv
DB1597,Deer,Zion,General Season,Early Any Legal Weapon,Male Only,535,479.0,236.0,49.3,3.5,3.6,2025,2026,harvest_2025.csv
DB1598,Deer,North Slope,General Season,Early Any Legal Weapon,Male Only,563,474.0,147.0,31.0,3.3,3.1,2025,2026,harvest_2025.csv
DB1599,Deer,Chalk Creek,General Season,Any Legal Weapon,Male Only,851,709.0,305.0,43.0,3.8,3.7,2025,2026,harvest_2025.csv
DB1600,Deer,Chalk Creek,General Season,Archery,Male Only,420,352.0,66.0,18.8,8.1,3.3,2025,2026,harvest_2025.csv
DB1601,Deer,Chalk Creek,General Season,Early Any Legal Weapon,Male Only,433,325.0,104.0,32.0,2.9,3.4,2025,2026,harvest_2025.csv
DB1602,Deer,Chalk Creek,General Season,Muzzleloader,Male Only,277,225.0,57.0,25.3,4.0,3.2,2025,2026,harvest_2025.csv
DB1603,Deer,East Canyon,General Season,Any Legal Weapon,Male Only,761,626.0,205.0,32.7,3.8,3.3,2025,2026,harvest_2025.csv
DB1604,Deer,East Canyon,General Season,Archery,Male Only,315,238.0,37.0,15.5,8.8,3.4,2025,2026,harvest_2025.csv
DB1605,Deer,East Canyon,General Season,Early Any Legal Weapon,Male Only,360,274.0,65.0,23.7,3.0,3.2,2025,2026,harvest_2025.csv
