unit,unit_name,bull_harvest,hunters_afield,mean_days_hunted,success_rate_pct,reported_hunt_year,model_target_year,species,source_file,source_page,source_table,metric_family,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw
22,Beaver,20.0,348,4.0,5.7,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
10,Book Cliffs,87.0,454,4.8,19.2,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
25C/26,Boulder/Kaiparowits,19.0,279,4.2,6.8,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
1,Box Elder,1.0,22,4.6,4.5,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
2,Cache,20.0,553,4.8,3.6,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
9C,Diamond Mtn,3.0,68,4.2,4.4,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
21,Fillmore,38.0,367,4.2,10.4,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
25AB,Fishlake/Thousand Lakes,102.0,1057,4.7,9.6,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
13B,"La Sal, Dolores Triangle",0.0,5,3.5,0.0,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
13A,"La Sal, La Sal Mtns",38.0,434,4.7,8.8,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16B,Manti,274.0,2176,4.6,12.6,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
23,Monroe,53.0,502,4.0,10.6,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
24,Mt Dutton,17.0,201,3.5,8.5,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
16A,Nebo,74.0,587,4.1,12.6,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
28,Panguitch Lake,45.0,583,4.4,7.7,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
14,San Juan,22.0,188,4.7,11.7,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
12,San Rafael,0.0,7,3.2,0.0,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
20,Southwest Desert,39.0,449,4.7,8.7,2024,2025,Elk,Elk harvest data.pdf,1,"General-season any legal weapon spike-bull elk harvest by management unit, Utah 2024.",general_season_elk_harvest_additional,True,True,True
