reported_hunt_year,model_target_year,species,unit,unit_name,quality_metric,avg_age_2024,avg_age_3yr_average,objective,objective_midpoint,avg_age_vs_objective_midpoint,avg_age_trend_2024_minus_2023,demand_signal_candidate,trend_feature_eligible,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,source_file,source_table
2024,2025,Elk,25C/26,Barney Top/Kaiparowits,limited_entry_bull_elk_average_age,9.4,7.8,3.5–4.5,4.0,5.4,3.7,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,22B,"Beaver, East",limited_entry_bull_elk_average_age,9.6,9.1,6.5–7.0,6.75,2.8499999999999996,0.5,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,10AB,"Book Cliffs, Bitter Creek/East",limited_entry_bull_elk_average_age,6.3,6.3,6.0–6.5,6.25,0.04999999999999982,-0.20000000000000018,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,10C,"Book Cliffs, Little Creek Roadless",limited_entry_bull_elk_average_age,8.7,7.7,6.5–7.0,6.75,1.9499999999999993,0.5999999999999996,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,25C,Boulder,limited_entry_bull_elk_average_age,7.4,8.1,6.5–7.0,6.75,0.6500000000000004,-1.0,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,1A,"Box Elder, Grouse Creek",limited_entry_bull_elk_average_age,5.3,5.3,5.5–6.0,5.75,-0.4500000000000002,-0.2999999999999998,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,1C,"Box Elder, Pilot Mtn",limited_entry_bull_elk_average_age,6.5,6.9,5.5–6.0,5.75,0.75,0.5,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,2C,"Cache, Meadowville",limited_entry_bull_elk_average_age,5.2,5.5,6.0–6.5,6.25,-1.0499999999999998,-0.39999999999999947,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,2A,"Cache, North",limited_entry_bull_elk_average_age,8.3,6.7,3.5–4.5,4.0,4.300000000000001,1.9000000000000004,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,2B,"Cache, South",limited_entry_bull_elk_average_age,7.2,6.7,6.0–6.5,6.25,0.9500000000000002,0.7999999999999998,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,9C,Diamond Mtn,limited_entry_bull_elk_average_age,7.1,7.3,5.5–6.0,5.75,1.3499999999999996,0.09999999999999964,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,21B,"Fillmore, Pahvant",limited_entry_bull_elk_average_age,8.0,8.1,6.5–7.0,6.75,1.25,0.2999999999999998,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,25AB,Fishlake/Thousand Lakes,limited_entry_bull_elk_average_age,6.6,7.1,5.5–6.0,5.75,0.8499999999999996,-0.9000000000000004,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
2024,2025,Elk,13B,"La Sal, Dolores Triangle",limited_entry_bull_elk_average_age,9.0,9.0,5.5–6.0,5.75,3.25,,True,True,True,True,elk average age.pdf,"Average age of harvested bull elk on limited-entry units, Utah 2015-2024"
