reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,antlerless,Antlerless Deer,DA1009,"Pine Valley, Enterprise",Antlerless Deer,Any Legal Weapon,20,15,15,1.5,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1009 Pine Valley, Enterprise Any Legal Weapon 20 15 15 100.0 1.5",
2022,2023,antlerless,Antlerless Deer,DA1018,"Pine Valley, New Harmony",Antlerless Deer,"Archery, Muzzleloader, Shotgun",19,16,17,5.5,75.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1018 Pine Valley, New Harmony Archery, Muzzleloader, Shotgun 19 16 17 75.0 5.5",
2022,2023,antlerless,Antlerless Deer,DA1033,"San Juan, Monticello",Antlerless Deer,Archery,5,5,3,2.3,66.7,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1033 San Juan, Monticello Archery 5 5 3 66.7 2.3",
2022,2023,antlerless,Antlerless Deer,DA1042,"San Juan, Monticello",Antlerless Deer,Archery,5,2,2,1.0,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1042 San Juan, Monticello Archery 5 2 2 100.0 1.0",
2022,2023,antlerless,Antlerless Deer,DA1044,"South Slope, Myton",Antlerless Deer,Any Legal Weapon,98,61,42,4.2,44.4,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1044 South Slope, Myton Any Legal Weapon 98 61 42 44.4 4.2",
2022,2023,antlerless,Antlerless Deer,DA1047,"South Slope, Vernal-Ouray Valley",Antlerless Deer,Any Legal Weapon,50,37,42,5.0,60.9,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1047 South Slope, Vernal-Ouray Valley Any Legal Weapon 50 37 42 60.9 5.0",
2022,2023,antlerless,Antlerless Deer,DA1043,"Southwest Desert, Cedar Valley",Antlerless Deer,"Archery, Muzzleloader, Shotgun",9,6,1,5.2,20.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,"Antlerless Deer DA1043 Southwest Desert, Cedar Valley Archery, Muzzleloader, Shotgun 9 6 1 20.0 5.2",
2022,2023,antlerless,CWMU Antlerless Deer,DA1011,George Creek,CWMU Antlerless Deer,Any Legal Weapon,5,4,4,2.3,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,CWMU Antlerless Deer DA1011 George Creek Any Legal Weapon 5 4 4 100.0 2.3,
2022,2023,antlerless,CWMU Antlerless Deer,DA1012,Junction Valley,CWMU Antlerless Deer,Any Legal Weapon,20,20,34,1.6,94.1,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,CWMU Antlerless Deer DA1012 Junction Valley Any Legal Weapon 20 20 34 94.1 1.6,
2022,2023,antlerless,CWMU Antlerless Deer,DA1013,Mt Carmel,CWMU Antlerless Deer,Any Legal Weapon,5,3,3,1.0,100.0,,,,,,,,,,,,FF6D4B3D__2022_antlerless_hr.pdf,269b7fda3567b0d2d371a48e99b2841bd8fe585c863333af03a7ffb6ef61dab2,1,parsed,,true,true,true,CWMU Antlerless Deer DA1013 Mt Carmel Any Legal Weapon 5 3 3 100.0 1.0,
