source_no,permit_class,source_year_range,model_target_year,species_raw,species,hunt_family,area,condition,value,organization,permit_total,source_file,selected_hunt_code,possible_hunt_codes,match_method,match_confidence,match_notes,allocation_cycle_years,permit_applies_each_year,permit_count_per_year,permit_count_2025,permit_count_2026,permit_count_2027,permit_year_instances_2025_2027,interpretation,manual_review_reason
31,conservation,2025-2027,2026,Bear,Black Bear,Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,2850.0,DSC,1.0,2025-27 Conservation Permits.xlsx,,BR7324|BR7325,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=135; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
65,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,35000.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,,BI6523|BI6532|BI6534|BI6535|BI6536,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=56; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
66,conservation,2025-2027,2026,Bison,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,35000.0,SFW,1.0,2025-27 Conservation Permits.xlsx,,BI6528|BI6529|BI6530|BI6531|BI6537,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=68; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
67,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,68333.33,RMEF,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
68,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,9166.67,SFW,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
69,conservation,2025-2027,2026,Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,40333.33,SCI,1.0,2025-27 Conservation Permits.xlsx,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=40; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
71,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,88333.33,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1002|DS6601,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=78; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
72,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,71666.67,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1003|DS6602,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=58; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
73,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, West",Any Legal Weapon,77500.0,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS1006|DS6603,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=78; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
75,conservation,2025-2027,2026,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",Any Legal Weapon,73214.29,UWSF,1.0,2025-27 Conservation Permits.xlsx,,DS6605|DS6621,AMBIGUOUS_AREA_CONDITION,MEDIUM,Multiple similar active hunt-code candidates; top score=86; manual selection needed for final code-level assignment.,2025|2026|2027,True,1.0,1.0,1.0,1.0,3.0,"one permit per row per year for 2025, 2026, and 2027","Conservation row applies annually in 2025, 2026, and 2027 but cannot be assigned to a single hunt code without review."
