source_no,species_raw,species,hunt_family,area,condition,organization,equivalent_sportsman_or_statewide_code,possible_hunt_codes,permit_count_2026,match_method,match_notes
64,Bear,Black Bear,Bear,Statewide,Multiseason,MDF,BR1000,BR1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
70,Bison,Bison,Bison,Statewide,Any Legal Weapon,SFW,BI1000,BI1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
78,Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,Statewide,Any Legal Weapon,SFW,DS1000,DS1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
117,Deer,Deer,Deer,Statewide,,MDF,DB0007,DB0007,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
208,Elk,Elk,Elk,Statewide,,SFW,EB1000,EB1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
213,Moose,Moose,Moose,Statewide,,RMEF,MB1000,MB1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
220,Mountain Goat,Mountain Goat,Mountain Goat,Statewide,,SFW,GO1000,GO1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
289,Pronghorn,Pronghorn,Pronghorn,Statewide,,MDF,PB1000,PB1000,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
295,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Statewide,,SFW,RS0001,RS0001,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
336,Turkey,Turkey,Turkey,Statewide,,SFW,TK0001,TK0001,1.0,statewide_boundary_equivalent_to_sportsman_tag,"Statewide conservation permit uses same statewide/boundary concept as the species sportsman tag, but remains conservation permit class."
