species_raw,species,hunt_family,area,condition,conservation_rows,permits_per_year,permit_year_instances_2025_2027,selected_hunt_codes,possible_hunt_code_sets,match_confidence
Antlerless Elk,Elk,Antlerless Elk,Cache,Any Legal Weapon,4,4.0,12.0,EA2041,EA2041,HIGH
Antlerless Elk,Elk,Antlerless Elk,Fishlake,Any Legal Weapon,4,4.0,12.0,EA1270,EA1270,HIGH
Antlerless Elk,Elk,Antlerless Elk,La Sal,Any Legal Weapon,4,4.0,12.0,EA1180,EA1180,HIGH
Antlerless Elk,Elk,Antlerless Elk,Manti,Any Legal Weapon,4,4.0,12.0,EA1271,EA1271,HIGH
Antlerless Elk,Elk,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,4,4.0,12.0,EA2045,EA2045,HIGH
Bear,Black Bear,Bear,Beaver,Multiseason,1,1.0,3.0,BR7318,BR7318,HIGH
Bear,Black Bear,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,4,4.0,12.0,BR7300,BR7300,HIGH
Bear,Black Bear,Bear,"Book Cliffs, Little Creek Roadless",Multiseason,1,1.0,3.0,BR7301,BR7301,HIGH
Bear,Black Bear,Bear,Boulder/Kaiparowits,Multiseason,4,4.0,12.0,BR7310,BR7310,HIGH
Bear,Black Bear,Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,1,1.0,3.0,,BR7324|BR7325,MEDIUM
Bear,Black Bear,Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,2,2.0,6.0,BR7313,BR7313,HIGH
Bear,Black Bear,Bear,Fishlake/Thousand Lakes,Multiseason,1,1.0,3.0,BR7311,BR7311,HIGH
Bear,Black Bear,Bear,"Kamas/North Slope, Summit",Multiseason,1,1.0,3.0,BR7321,BR7321,HIGH
Bear,Black Bear,Bear,La Sal,Multiseason,4,4.0,12.0,BR7307,BR7307,HIGH
Bear,Black Bear,Bear,Manti-North,Multiseason,3,3.0,9.0,BR7303,BR7303,HIGH
Bear,Black Bear,Bear,"Manti-South/San Rafael, North",Multiseason,3,3.0,9.0,BR7304,BR7304,HIGH
Bear,Black Bear,Bear,Nebo,Multiseason,1,1.0,3.0,BR7305,BR7305,HIGH
Bear,Black Bear,Bear,Nine Mile,Multiseason,4,4.0,12.0,BR7317,BR7317,HIGH
Bear,Black Bear,Bear,Panguitch Lake/Zion,Multiseason,1,1.0,3.0,BR7309,BR7309,HIGH
Bear,Black Bear,Bear,Paunsaugunt,Multiseason,1,1.0,3.0,BR7323,BR7323,HIGH
Bear,Black Bear,Bear,San Juan,Multiseason,4,4.0,12.0,BR7312,BR7312,HIGH
Bear,Black Bear,Bear,Statewide,Multiseason,1,1.0,3.0,BR1000,BR1000,HIGH
Bear,Black Bear,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,2,2.0,6.0,BR7315,BR7315,HIGH
Bear,Black Bear,Bear,"Wasatch Mtns, West-Central",Multiseason,4,4.0,12.0,BR7316,BR7316,HIGH
Bear,Black Bear,Bear,Yellowstone,Multiseason,1,1.0,3.0,BR7314,BR7314,HIGH
Bison,Bison,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1,1.0,3.0,,BI6523|BI6532|BI6534|BI6535|BI6536,MEDIUM
Bison,Bison,Bison,"Book Cliffs, Little Creek/South, Hunter's Choice",Any Legal Weapon,1,1.0,3.0,,BI6528|BI6529|BI6530|BI6531|BI6537,MEDIUM
Bison,Bison,Bison,"Henry Mtns, Cow Only (late)",Any Legal Weapon,1,1.0,3.0,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM
Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (early)",Any Legal Weapon,1,1.0,3.0,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM
Bison,Bison,Bison,"Henry Mtns, Hunter's Choice (late)",Any Legal Weapon,1,1.0,3.0,,BI6503|BI6504|BI6505|BI6506|BI6509|BI6516|BI6539,MEDIUM
Bison,Bison,Bison,Statewide,Any Legal Weapon,1,1.0,3.0,BI1000,BI1000,HIGH
Deer,Deer,Deer,Book Cliffs,Archery,2,2.0,6.0,DB1011,DB1011,HIGH
Deer,Deer,Deer,Book Cliffs,Hunter's Choice,2,2.0,6.0,,DB1011|DB1025|DB1044,MEDIUM
Deer,Deer,Deer,Book Cliffs,Multiseason,2,2.0,6.0,DB1044,DB1044,HIGH
Deer,Deer,Deer,Book Cliffs,Muzzleloader,2,2.0,6.0,DB1025,DB1025,HIGH
Deer,Deer,Deer,Diamond Mtn,Archery,1,1.0,3.0,DB1015,DB1015,HIGH
Deer,Deer,Deer,Diamond Mtn,Hunter's Choice,2,2.0,6.0,,DB1015|DB1023|DB1038|DB1047,MEDIUM
Deer,Deer,Deer,Diamond Mtn,Multiseason,2,2.0,6.0,DB1047,DB1047,HIGH
Deer,Deer,Deer,Diamond Mtn,Muzzleloader,1,1.0,3.0,DB1038,DB1038,HIGH
Deer,Deer,Deer,"Fillmore, Oak Creek LE",Hunter's Choice,1,1.0,3.0,,DB1012|DB1019|DB1029|DB1045,MEDIUM
Deer,Deer,Deer,"Fillmore, Oak Creek LE",Multiseason,1,1.0,3.0,DB1045,DB1045,HIGH
Deer,Deer,Deer,Henry Mtns,Hunter's Choice,1,1.0,3.0,,DB1000|DB1003|DB1005|DB1007,MEDIUM
Deer,Deer,Deer,Henry Mtns,Multiseason,1,1.0,3.0,DB1007,DB1007,HIGH
Deer,Deer,Deer,"La Sal, Dolores Triangle",Multiseason,1,1.0,3.0,,DB1013|DB1020|DB1031|DB1118,MEDIUM
Deer,Deer,Deer,Paunsaugunt,Archery,1,1.0,3.0,,DB1001|DB1073,MEDIUM
Deer,Deer,Deer,Paunsaugunt,Hunter's Choice,2,2.0,6.0,,DB1001|DB1004|DB1006|DB1008|DB1010|DB1058|DB1073|DB1074,MEDIUM
Deer,Deer,Deer,Paunsaugunt,Multiseason,2,2.0,6.0,DB1008,DB1008,HIGH
Deer,Deer,Deer,Paunsaugunt,Muzzleloader,2,2.0,6.0,,DB1006|DB1074,MEDIUM
Deer,Deer,Deer,"San Juan, Elk Ridge",Archery,1,1.0,3.0,DB1014,DB1014,HIGH
Deer,Deer,Deer,"San Juan, Elk Ridge",Hunter's Choice,1,1.0,3.0,,DB1014|DB1022|DB1037|DB1046,MEDIUM
Deer,Deer,Deer,"San Juan, Elk Ridge",Multiseason,1,1.0,3.0,DB1046,DB1046,HIGH
Deer,Deer,Deer,"San Juan, Elk Ridge",Muzzleloader,1,1.0,3.0,DB1037,DB1037,HIGH
Deer,Deer,Deer,Statewide,,1,1.0,3.0,DB0007,DB0007,HIGH
Deer,Deer,Deer,"West Desert, Vernon",Archery,2,2.0,6.0,DB1016,DB1016,HIGH
Deer,Deer,Deer,"West Desert, Vernon",Hunter's Choice,2,2.0,6.0,,DB1016|DB1024|DB1042|DB1048,MEDIUM
Deer,Deer,Deer,"West Desert, Vernon",Multiseason,2,2.0,6.0,DB1048,DB1048,HIGH
Deer,Deer,Deer,"West Desert, Vernon",Muzzleloader,2,2.0,6.0,DB1042,DB1042,HIGH
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, East",Any Legal Weapon,1,1.0,3.0,,DS1002|DS6601,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, Escalante",Any Legal Weapon,1,1.0,3.0,,DS1003|DS6602,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Kaiparowits, West",Any Legal Weapon,1,1.0,3.0,,DS1006|DS6603,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"La Sal, Potash/South Cisco",Any Legal Weapon,1,1.0,3.0,DS6604,DS6604,HIGH
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"Pine Valley, Beaver Dam",Any Legal Weapon,1,1.0,3.0,,DS6605|DS6621,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"San Rafael, Dirty Devil",Any Legal Weapon,1,1.0,3.0,,DS1004|DS6608|DS6624,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,"San Rafael, South",Any Legal Weapon,1,1.0,3.0,,DS1007|DS6610,MEDIUM
Desert Bighorn Sheep,Desert Bighorn Sheep,Desert Bighorn Sheep,Statewide,Any Legal Weapon,1,1.0,3.0,DS1000,DS1000,HIGH
Elk,Elk,Elk,"Beaver, East","Any Legal Weapon, late",1,1.0,3.0,EB3025,EB3025,HIGH
Elk,Elk,Elk,"Beaver, East",Archery,1,1.0,3.0,EB3000,EB3000,HIGH
Elk,Elk,Elk,"Beaver, East",Hunter's Choice,1,1.0,3.0,,EB3000|EB3024|EB3025|EB3077|EB3102|EB3158|EB3159,MEDIUM
Elk,Elk,Elk,"Beaver, East",Multiseason,1,1.0,3.0,EB3102,EB3102,HIGH
Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East","Any Legal Weapon, late",1,1.0,3.0,EB3163,EB3163,HIGH
Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Archery,1,1.0,3.0,,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM
Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Hunter's Choice,1,1.0,3.0,,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM
Elk,Elk,Elk,"Book Cliffs, Bitter Creek/East",Multiseason,1,1.0,3.0,,EB3160|EB3161|EB3162|EB3163|EB3164|EB3165|EB3166,MEDIUM
Elk,Elk,Elk,Boulder,"Any Legal Weapon, late",1,1.0,3.0,EB3151,EB3151,HIGH
Elk,Elk,Elk,Boulder,"Any Legal Weapon, mid",1,1.0,3.0,EB3191,EB3191,HIGH
Elk,Elk,Elk,Boulder,Archery,1,1.0,3.0,,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM
Elk,Elk,Elk,Boulder,Hunter's Choice,1,1.0,3.0,,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM
Elk,Elk,Elk,Boulder,Multiseason,1,1.0,3.0,,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM
Elk,Elk,Elk,Boulder,Muzzleloader,1,1.0,3.0,,EB3145|EB3148|EB3151|EB3154|EB3156|EB3190|EB3191,MEDIUM
Elk,Elk,Elk,"Box Elder, Grouse Creek",Multiseason,1,1.0,3.0,,EB3128|EB3147|EB3150|EB3153,MEDIUM
Elk,Elk,Elk,"Box Elder, Pilot Mtn",Multiseason,1,1.0,3.0,,EB3031|EB3130|EB3209,MEDIUM
Elk,Elk,Elk,"Cache, Meadowville","Any Legal Weapon, late",1,1.0,3.0,EB3033,EB3033,HIGH
Elk,Elk,Elk,"Cache, Meadowville",Hunter's Choice,1,1.0,3.0,,EB3003|EB3032|EB3033|EB3081|EB3105|EB3168|EB3169,MEDIUM
Elk,Elk,Elk,"Cache, Meadowville",Multiseason,1,1.0,3.0,EB3105,EB3105,HIGH
Elk,Elk,Elk,"Cache, South",Hunter's Choice,1,1.0,3.0,,EB3005|EB3036|EB3037|EB3083|EB3107|EB3170|EB3171,MEDIUM
Elk,Elk,Elk,"Cache, South",Multiseason,1,1.0,3.0,EB3107,EB3107,HIGH
Elk,Elk,Elk,Diamond Mtn,"Any Legal Weapon, late",1,1.0,3.0,EB3196,EB3196,HIGH
Elk,Elk,Elk,Diamond Mtn,"Any Legal Weapon, mid",1,1.0,3.0,EB3069,EB3069,HIGH
Elk,Elk,Elk,Diamond Mtn,Archery,1,1.0,3.0,EB3020,EB3020,HIGH
Elk,Elk,Elk,Diamond Mtn,Hunter's Choice,1,1.0,3.0,,EB3020|EB3068|EB3069|EB3098|EB3122|EB3195|EB3196,MEDIUM
Elk,Elk,Elk,Diamond Mtn,Multiseason,1,1.0,3.0,EB3122,EB3122,HIGH
Elk,Elk,Elk,"Fillmore, Pahvant","Any Legal Weapon, late",1,1.0,3.0,EB3043,EB3043,HIGH
Elk,Elk,Elk,"Fillmore, Pahvant",Archery,1,1.0,3.0,EB3008,EB3008,HIGH
Elk,Elk,Elk,"Fillmore, Pahvant",Hunter's Choice,1,1.0,3.0,,EB3008|EB3042|EB3043|EB3086|EB3110|EB3180|EB3181,MEDIUM
Elk,Elk,Elk,"Fillmore, Pahvant",Multiseason,1,1.0,3.0,EB3110,EB3110,HIGH
Elk,Elk,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, late",1,1.0,3.0,EB3065,EB3065,HIGH
Elk,Elk,Elk,Fishlake/Thousand Lakes,"Any Legal Weapon, mid",1,1.0,3.0,EB3064,EB3064,HIGH
Elk,Elk,Elk,Fishlake/Thousand Lakes,Archery,1,1.0,3.0,EB3018,EB3018,HIGH
Elk,Elk,Elk,Fishlake/Thousand Lakes,Hunter's Choice,2,2.0,6.0,,EB3018|EB3063|EB3064|EB3065|EB3096|EB3120|EB3192,MEDIUM
Elk,Elk,Elk,Fishlake/Thousand Lakes,Multiseason,2,2.0,6.0,EB3120,EB3120,HIGH
Elk,Elk,Elk,Fishlake/Thousand Lakes,Muzzleloader,1,1.0,3.0,EB3096,EB3096,HIGH
Elk,Elk,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, late",1,1.0,3.0,EB3046,EB3046,HIGH
Elk,Elk,Elk,"La Sal, La Sal Mtns","Any Legal Weapon, mid",1,1.0,3.0,EB3183,EB3183,HIGH
Elk,Elk,Elk,"La Sal, La Sal Mtns",Archery,1,1.0,3.0,EB3009,EB3009,HIGH
Elk,Elk,Elk,"La Sal, La Sal Mtns",Hunter's Choice,2,2.0,6.0,,EB3009|EB3045|EB3046|EB3087|EB3111|EB3182|EB3183,MEDIUM
Elk,Elk,Elk,"La Sal, La Sal Mtns",Multiseason,2,2.0,6.0,EB3111,EB3111,HIGH
Elk,Elk,Elk,"La Sal, La Sal Mtns",Muzzleloader,1,1.0,3.0,EB3087,EB3087,HIGH
Elk,Elk,Elk,Manti,"Any Legal Weapon, late",1,1.0,3.0,EB3039,EB3039,HIGH
Elk,Elk,Elk,Manti,"Any Legal Weapon, mid",1,1.0,3.0,EB3126,EB3126,HIGH
Elk,Elk,Elk,Manti,Archery,1,1.0,3.0,EB3006,EB3006,HIGH
Elk,Elk,Elk,Manti,Hunter's Choice,2,2.0,6.0,,EB3006|EB3038|EB3039|EB3084|EB3108|EB3126|EB3172,MEDIUM
Elk,Elk,Elk,Manti,Multiseason,2,2.0,6.0,EB3108,EB3108,HIGH
Elk,Elk,Elk,Manti,Muzzleloader,1,1.0,3.0,EB3084,EB3084,HIGH
Elk,Elk,Elk,Monroe,"Any Legal Weapon, late",1,1.0,3.0,EB3048,EB3048,HIGH
Elk,Elk,Elk,Monroe,Archery,1,1.0,3.0,EB3010,EB3010,HIGH
Elk,Elk,Elk,Monroe,Hunter's Choice,1,1.0,3.0,,EB3010|EB3047|EB3048|EB3088|EB3112|EB3184|EB3185,MEDIUM
Elk,Elk,Elk,Monroe,Multiseason,1,1.0,3.0,EB3112,EB3112,HIGH
Elk,Elk,Elk,Mt Dutton,"Any Legal Weapon, late",1,1.0,3.0,EB3050,EB3050,HIGH
Elk,Elk,Elk,Mt Dutton,Archery,1,1.0,3.0,EB3011,EB3011,HIGH
Elk,Elk,Elk,Mt Dutton,Hunter's Choice,1,1.0,3.0,,EB3011|EB3049|EB3050|EB3089|EB3113|EB3186|EB3187,MEDIUM
Elk,Elk,Elk,Mt Dutton,Multiseason,1,1.0,3.0,EB3113,EB3113,HIGH
Elk,Elk,Elk,Nebo/San Pitch Mtns,"Any Legal Weapon, late",1,1.0,3.0,EB3176,EB3176,HIGH
Elk,Elk,Elk,Nebo/San Pitch Mtns,Archery,1,1.0,3.0,,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,MEDIUM
Elk,Elk,Elk,Nebo/San Pitch Mtns,Hunter's Choice,1,1.0,3.0,,EB3173|EB3174|EB3175|EB3176|EB3177|EB3178|EB3179,MEDIUM
Elk,Elk,Elk,Nebo/San Pitch Mtns,Multiseason,1,1.0,3.0,EB3178,EB3178,HIGH
Elk,Elk,Elk,"North Slope, Three Corners",Multiseason,1,1.0,3.0,EB3115,EB3115,HIGH
Elk,Elk,Elk,Panguitch Lake,"Any Legal Weapon, late",1,1.0,3.0,EB3057,EB3057,HIGH
Elk,Elk,Elk,Panguitch Lake,Hunter's Choice,1,1.0,3.0,,EB3015|EB3056|EB3057|EB3093|EB3117|EB3188|EB3189,MEDIUM
Elk,Elk,Elk,Panguitch Lake,Multiseason,1,1.0,3.0,EB3117,EB3117,HIGH
Elk,Elk,Elk,San Juan Bull Elk,"Any Legal Weapon, late",1,1.0,3.0,EB3067,EB3067,HIGH
Elk,Elk,Elk,San Juan Bull Elk,"Any Legal Weapon, mid",1,1.0,3.0,EB3194,EB3194,HIGH
Elk,Elk,Elk,San Juan Bull Elk,Archery,1,1.0,3.0,EB3019,EB3019,HIGH
Elk,Elk,Elk,San Juan Bull Elk,Hunter's Choice,1,1.0,3.0,,EB3019|EB3066|EB3067|EB3097|EB3121|EB3193|EB3194,MEDIUM
Elk,Elk,Elk,San Juan Bull Elk,Multiseason,1,1.0,3.0,EB3121,EB3121,HIGH
Elk,Elk,Elk,"Southwest Desert, South","Any Legal Weapon, late",1,1.0,3.0,EB3152,EB3152,HIGH
Elk,Elk,Elk,"Southwest Desert, South","Any Legal Weapon, mid",1,1.0,3.0,EB3198,EB3198,HIGH
Elk,Elk,Elk,"Southwest Desert, South",Archery,1,1.0,3.0,,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,MEDIUM
Elk,Elk,Elk,"Southwest Desert, South",Hunter's Choice,1,1.0,3.0,,EB3146|EB3149|EB3152|EB3155|EB3157|EB3197|EB3198,MEDIUM
Elk,Elk,Elk,"Southwest Desert, South",Multiseason,2,2.0,6.0,EB3157,EB3157,HIGH
Elk,Elk,Elk,"Southwest Desert, South",Muzzleloader,1,1.0,3.0,EB3155,EB3155,HIGH
Elk,Elk,Elk,Statewide,,1,1.0,3.0,EB1000,EB1000,HIGH
Elk,Elk,Elk,Wasatch Mtns,"Any Legal Weapon, late",1,1.0,3.0,EB3073,EB3073,HIGH
Elk,Elk,Elk,Wasatch Mtns,"Any Legal Weapon, mid",1,1.0,3.0,EB3127,EB3127,HIGH
Elk,Elk,Elk,Wasatch Mtns,Archery,1,1.0,3.0,,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,MEDIUM
Elk,Elk,Elk,Wasatch Mtns,Hunter's Choice,2,2.0,6.0,,EB3022|EB3072|EB3073|EB3100|EB3124|EB3127|EB3199,MEDIUM
Elk,Elk,Elk,Wasatch Mtns,Multiseason,2,2.0,6.0,EB3124,EB3124,HIGH
Elk,Elk,Elk,Wasatch Mtns,Muzzleloader,1,1.0,3.0,EB3100,EB3100,HIGH
Moose,Moose,Moose,Cache,Any Legal Weapon,1,1.0,3.0,MB6000,MB6000,HIGH
Moose,Moose,Moose,"North Slope, Summit",Any Legal Weapon,2,2.0,6.0,MB6006,MB6006,HIGH
Moose,Moose,Moose,Statewide,,1,1.0,3.0,MB1000,MB1000,HIGH
Moose,Moose,Moose,Wasatch Mtns/Central Mtns,Any Legal Weapon,1,1.0,3.0,MB6011,MB6011,HIGH
Mountain Goat,Mountain Goat,Mountain Goat,Beaver (early),"Any Legal Weapon, early",1,1.0,3.0,,GO6800|GO6801|GO6822,MEDIUM
Mountain Goat,Mountain Goat,Mountain Goat,High Uintas West,Any Legal Weapon,1,1.0,3.0,GO6808,GO6808,HIGH
Mountain Goat,Mountain Goat,Mountain Goat,"La Sal, La Sal Mtns",Any Legal Weapon,1,1.0,3.0,GO6817,GO6817,HIGH
Mountain Goat,Mountain Goat,Mountain Goat,Nebo,Any Legal Weapon,1,1.0,3.0,,GO6803|GO6821,MEDIUM
Mountain Goat,Mountain Goat,Mountain Goat,Nebo,Archery,1,1.0,3.0,,GO6803|GO6821,MEDIUM
Mountain Goat,Mountain Goat,Mountain Goat,Statewide,,1,1.0,3.0,GO1000,GO1000,HIGH
Mountain Goat,Mountain Goat,Mountain Goat,"Wasatch Mtns, Timpanogos",Any Legal Weapon,1,1.0,3.0,GO6820,GO6820,HIGH
Pronghorn,Pronghorn,Pronghorn,Beaver,Hunter's Choice,2,2.0,6.0,,PB5000|PB5025,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Book Cliffs, Bitter Creek",Any Legal Weapon,3,3.0,9.0,,PB5001|PB5026,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Book Cliffs, South",Any Legal Weapon,2,2.0,6.0,,PB5002|PB5027,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Box Elder, Promontory",Any Legal Weapon,1,1.0,3.0,,PB5003|PB5028,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Box Elder, Puddle Valley",Any Legal Weapon,1,1.0,3.0,,PB5004|PB5029,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Box Elder, Snowville",Any Legal Weapon,2,2.0,6.0,,PB5005|PB5030|PB5080,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Box Elder, West",Any Legal Weapon,2,2.0,6.0,,PB5006|PB5031|PB5079,MEDIUM
Pronghorn,Pronghorn,Pronghorn,"Fillmore, Oak Creek South",Any Legal Weapon,3,3.0,9.0,,PB5008|PB5033|PB5065,MEDIUM
