source_file,source_sha256,source_page,hunt_code,hunt_name,species_category,resident_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_permits,raw_hunt_line,raw_totals_line
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,1,DA1001,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Antlerless Deer,115,0,24,24,1,0,0,0,24,"Hunt: DA1001 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Totals 115 0 24 24 1 in 4.8 Totals 1 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,2,DA1002,"Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Antlerless Deer,125,0,24,24,1,0,0,0,24,"Hunt: DA1002 Antlerless Deer - Box Elder, West Bear River - Archery, Mzldr, Shotgn Only",Totals 125 0 24 24 1 in 5.2 Totals 1 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,3,DA1003,"Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",Antlerless Deer,291,0,11,11,11,0,1,1,12,"Hunt: DA1003 Antlerless Deer - Monroe/plateau, Sevier Valley - Archery, Mzldr, Shotgn Only",Totals 291 0 11 11 1 in 26.5 Totals 11 0 1 1 1 in 11.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,4,DA1009,"Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",Antlerless Deer,1493,0,18,18,156,0,2,2,20,"Hunt: DA1009 Antlerless Deer - Pine Valley, Enterprise - Any Legal Weapon",Totals 1493 0 18 18 1 in 82.9 Totals 156 0 2 2 1 in 78.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,5,DA1011,Cwmu Antlerless Deer - George Creek - Any Legal Weapon,Antlerless Deer,63,0,4,4,0,0,0,0,4,Hunt: DA1011 Cwmu Antlerless Deer - George Creek - Any Legal Weapon,Totals 63 0 4 4 1 in 15.8 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,6,DA1012,Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Antlerless Deer,498,0,12,12,0,0,0,0,12,Hunt: DA1012 Cwmu Two Doe Antlerless Deer - Junction Valley - Any Legal Weapon,Totals 498 0 12 12 1 in 41.5 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,7,DA1013,Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Antlerless Deer,160,0,4,4,0,0,0,0,4,Hunt: DA1013 Cwmu Antlerless Deer - Mt Carmel - Any Legal Weapon,Totals 160 0 4 4 1 in 40.0 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,8,DA1018,"Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",Antlerless Deer,198,0,14,14,20,0,2,2,16,"Hunt: DA1018 Two Doe Antlerless Deer - Pine Valley, New Harmony - Archery, Mzldr, Shotgn Only",Totals 198 0 14 14 1 in 14.1 Totals 20 0 2 2 1 in 10.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,9,DA1027,"Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",Antlerless Deer,2379,0,24,24,20,0,0,0,24,"Hunt: DA1027 Antlerless Deer - East Canyon, Davis-north Salt Lake - Any Legal Weapon",Totals 2379 0 24 24 1 in 99.1 Totals 20 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,10,DA1030,"Antlerless Deer - Nine Mile, Price River Valley - Archery",Antlerless Deer,58,0,23,23,0,0,0,0,23,"Hunt: DA1030 Antlerless Deer - Nine Mile, Price River Valley - Archery",Totals 58 0 23 23 1 in 2.5 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,11,DA1031,"Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",Antlerless Deer,484,0,15,15,4,0,1,1,16,"Hunt: DA1031 Antlerless Deer - Oquirrh-stansbury, Settlement Cyn - Archery",Totals 484 0 15 15 1 in 32.3 Totals 4 0 1 1 1 in 4.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,12,DA1033,"Antlerless Deer - San Juan, Monticello - Archery",Antlerless Deer,50,0,4,4,4,0,0,0,4,"Hunt: DA1033 Antlerless Deer - San Juan, Monticello - Archery",Totals 50 0 4 4 1 in 12.5 Totals 4 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,13,DA1041,"Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",Antlerless Deer,202,0,11,11,13,0,1,1,12,"Hunt: DA1041 Antlerless Deer - Nine Mile, Green River Valley - Any Legal Weapon",Totals 202 0 11 11 1 in 18.4 Totals 13 0 1 1 1 in 13.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,14,DA1042,"Antlerless Deer - San Juan, Monticello - Archery",Antlerless Deer,37,0,4,4,5,0,0,0,4,"Hunt: DA1042 Antlerless Deer - San Juan, Monticello - Archery",Totals 37 0 4 4 1 in 9.3 Totals 5 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,15,DA1044,Two Doe Antlerless Deer - Myton - Any Legal Weapon,Antlerless Deer,176,0,39,39,1,0,1,1,40,Hunt: DA1044 Two Doe Antlerless Deer - Myton - Any Legal Weapon,Totals 176 0 39 39 1 in 4.5 Totals 1 0 1 1 1 in 1.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,16,DA1045,"Antlerless Deer - Fillmore, Oak City - Archery",Antlerless Deer,67,0,12,12,1,0,0,0,12,"Hunt: DA1045 Antlerless Deer - Fillmore, Oak City - Archery",Totals 67 0 12 12 1 in 5.6 Totals 1 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,17,DA1046,"Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",Antlerless Deer,91,0,20,20,2,0,0,0,20,"Hunt: DA1046 Antlerless Deer - Nine Mile, Price River Valley - Archery, Mzldr, Shotgn Only",Totals 91 0 20 20 1 in 4.6 Totals 2 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,18,DA1047,Two Doe Antlerless Deer - Vernal-ouray Valley - Any Legal Weapon,Antlerless Deer,665,0,39,39,27,0,1,1,40,Hunt: DA1047 Two Doe Antlerless Deer - Vernal-ouray Valley - Any Legal Weapon,Totals 665 0 39 39 1 in 17.1 Totals 27 0 1 1 1 in 27.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,19,DA1048,Antlerless Deer - Fillmore City - Archery,Antlerless Deer,52,0,11,11,2,0,1,1,12,Hunt: DA1048 Antlerless Deer - Fillmore City - Archery,Totals 52 0 11 11 1 in 4.7 Totals 2 0 1 1 1 in 2.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,20,DA1049,Antlerless Deer - Ashley Valley - Archery,Antlerless Deer,96,0,64,64,3,0,2,2,66,Hunt: DA1049 Antlerless Deer - Ashley Valley - Archery,Totals 96 0 64 64 1 in 1.5 Totals 3 0 2 2 1 in 1.5
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,21,DA1050,Cwmu Antlerless Deer - The Rose Of Snowville - Any Legal Weapon,Antlerless Deer,186,0,7,7,0,0,0,0,7,Hunt: DA1050 Cwmu Antlerless Deer - The Rose Of Snowville - Any Legal Weapon,Totals 186 0 7 7 1 in 26.6 Totals 0 0 0 0 N/A
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,22,EA1010,"Antlerless Elk - Cache, Rich - Any Legal Weapon",Antlerless Elk,83,0,15,15,4,0,2,2,17,"Hunt: EA1010 Antlerless Elk - Cache, Rich - Any Legal Weapon",Totals 83 0 15 15 1 in 5.5 Totals 4 0 2 2 1 in 2.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,23,EA1011,"Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",Antlerless Elk,138,0,15,15,3,0,2,2,17,"Hunt: EA1011 Antlerless Elk - Cache, Richards Hollow - Any Legal Weapon",Totals 138 0 15 15 1 in 9.2 Totals 3 0 2 2 1 in 1.5
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,24,EA1012,"Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",Antlerless Elk,70,0,8,8,2,0,1,1,9,"Hunt: EA1012 Antlerless Elk - Cache, Richmond Hyde Park - Any Legal Weapon",Totals 70 0 8 8 1 in 8.8 Totals 2 0 1 1 1 in 2.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,25,EA1013,Antlerless Elk - Central Manti - Any Legal Weapon,Antlerless Elk,960,0,44,44,40,0,5,5,49,Hunt: EA1013 Antlerless Elk - Central Manti - Any Legal Weapon,Totals 960 0 44 44 1 in 21.8 Totals 40 0 5 5 1 in 8.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,26,EA1015,Antlerless Elk - Ferron Canyon - Any Legal Weapon,Antlerless Elk,307,0,44,44,13,0,5,5,49,Hunt: EA1015 Antlerless Elk - Ferron Canyon - Any Legal Weapon,Totals 307 0 44 44 1 in 7.0 Totals 13 0 5 5 1 in 2.6
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,27,EA1017,Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,Antlerless Elk,282,0,51,51,19,0,6,6,57,Hunt: EA1017 Antlerless Elk - Gordon Creek-price Canyon - Any Legal Weapon,Totals 282 0 51 51 1 in 5.5 Totals 19 0 6 6 1 in 3.2
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,28,EA1018,Antlerless Elk - Horn Mtn - Any Legal Weapon,Antlerless Elk,181,0,36,36,43,0,4,4,40,Hunt: EA1018 Antlerless Elk - Horn Mtn - Any Legal Weapon,Totals 181 0 36 36 1 in 5.0 Totals 43 0 4 4 1 in 10.8
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,29,EA1020,Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,Antlerless Elk,178,0,65,65,29,0,8,8,73,Hunt: EA1020 Antlerless Elk - Mohrland-stump Flat - Any Legal Weapon,Totals 178 0 65 65 1 in 2.7 Totals 29 0 8 8 1 in 3.6
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,30,EA1021,Antlerless Elk - Nebo - Any Legal Weapon,Antlerless Elk,542,0,144,144,35,0,16,16,160,Hunt: EA1021 Antlerless Elk - Nebo - Any Legal Weapon,Totals 542 0 144 144 1 in 3.8 Totals 35 0 16 16 1 in 2.2
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,31,EA1022,Antlerless Elk - North Manti - Any Legal Weapon,Antlerless Elk,1045,0,202,202,48,0,23,23,225,Hunt: EA1022 Antlerless Elk - North Manti - Any Legal Weapon,Totals 1045 0 202 202 1 in 5.2 Totals 48 0 23 23 1 in 2.1
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,32,EA1023,Antlerless Elk - South Manti - Any Legal Weapon,Antlerless Elk,487,0,72,72,45,0,8,8,80,Hunt: EA1023 Antlerless Elk - South Manti - Any Legal Weapon,Totals 487 0 72 72 1 in 6.8 Totals 45 0 8 8 1 in 5.6
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,33,EA1024,Antlerless Elk - South Manti - Any Legal Weapon,Antlerless Elk,583,0,72,72,40,0,8,8,80,Hunt: EA1024 Antlerless Elk - South Manti - Any Legal Weapon,Totals 583 0 72 72 1 in 8.1 Totals 40 0 8 8 1 in 5.0
pipeline/RAW/hunt_unit_database/2025/pdf/draw_odds/2024 antlerless draw results.pdf,21ea12abd24abb29b074520eccae1ab1b689d6e969d622803f220c0ca4664789,34,EA1025,Antlerless Elk - West Manti - Any Legal Weapon,Antlerless Elk,243,0,80,80,15,0,9,9,89,Hunt: EA1025 Antlerless Elk - West Manti - Any Legal Weapon,Totals 243 0 80 80 1 in 3.0 Totals 15 0 9 9 1 in 1.7
