source_file,source_sha256,source_page,source_report_page,hunt_code,hunt_name,code_prefix,raw_hunt_line
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,2,18,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,DB,Hunt: DB1000 Premium Le Archery Buck Deer - Henry Mtns - Archery Page 18
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,3,19,DB1001,Premium Le Archery Buck Deer - Paunsaugunt - Archery,DB,Hunt: DB1001 Premium Le Archery Buck Deer - Paunsaugunt - Archery Page 19
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,4,20,DB1002,Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon,DB,Hunt: DB1002 Premium Le Alw (rifle) Buck Deer - Antelope Island - Any Legal Weapon Page 20
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,5,21,DB1003,Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon,DB,Hunt: DB1003 Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon Page 21
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,6,22,DB1004,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,DB,Hunt: DB1004 Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 22
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,7,23,DB1005,Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader,DB,Hunt: DB1005 Premium Le Muzzleloader Buck Deer - Henry Mtns - Muzzleloader Page 23
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,8,24,DB1006,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,DB,Hunt: DB1006 Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader Page 24
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,9,25,DB1007,Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon,DB,Hunt: DB1007 Multi-season Premium Limited-entry Buck Deer - Henry Mtns - Any Legal Weapon Page 25
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,10,26,DB1008,Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon,DB,Hunt: DB1008 Multi-season Premium Limited-entry Buck Deer - Paunsaugunt - Any Legal Weapon Page 26
pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 DEER ODDS.pdf,4188e4c1b712ec1c4973b735b6cb06e489680f15a1b2011857046b49707efabf,11,27,DB1010,Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,DB,Hunt: DB1010 Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon Page 27
