expo_row_id,source_year,permit_class,description,normalized_description_key,expo_permits,selected_hunt_code,match_status,match_confidence,match_notes,draw_2025_public_permits,harvest_report_2025_total_permits,rac_2026_total_permits,draw_2025_plus_expo,harvest_2025_minus_draw_plus_expo,rac_2026_minus_draw_plus_expo,source_hunt_name,source_weapon,discrepancy_flags,final_assignment_type,selected_boundary_id,component_hunt_codes,user_rule_applied,issue_class
39,2025,expo,Bull Elk - Limited Entry - Any Weapon (late) - Manti - Permits: 3,Bull Elk - Limited Entry - Any Weapon (late) - Manti,3,EB3039,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,117.0,122.0,113.0,120.0,2.0,-7.0,Manti,Late Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
40,2025,expo,Bull Elk - Limited Entry - Archery - Manti - Permits: 3,Bull Elk - Limited Entry - Archery - Manti,3,EB3006,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,172.0,175.0,165.0,175.0,0.0,-10.0,Manti,Archery,RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,YEAR_TO_YEAR_QUOTA_CHANGE_OR_MISSING_OVERLAY
41,2025,expo,Bull Elk - Limited Entry - Muzzleloader - Manti - Permits: 3,Bull Elk - Limited Entry - Muzzleloader - Manti,3,EB3084,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,102.0,104.0,99.0,105.0,-1.0,-6.0,Manti,Muzzleloader,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
42,2025,expo,Bull Elk - Limited Entry - Any Weapon (early) - Nebo/San Pitch Mtns - Permits: 1,Bull Elk - Limited Entry - Any Weapon (early) - Nebo/San Pitch Mtns,1,EB3175,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,9.0,9.0,13.0,10.0,-1.0,3.0,Nebo/San Pitch Mtns,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
43,2025,expo,Bull Elk - Limited Entry - Any Weapon (mid) - Nebo/San Pitch Mtns - Permits: 1,Bull Elk - Limited Entry - Any Weapon (mid) - Nebo/San Pitch Mtns,1,EB3177,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,27.0,27.0,38.0,28.0,-1.0,10.0,Nebo/San Pitch Mtns,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
44,2025,expo,Bull Elk - Limited Entry - Archery - Nebo/San Pitch Mtns - Permits: 1,Bull Elk - Limited Entry - Archery - Nebo/San Pitch Mtns,1,EB3173,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,23.0,25.0,32.0,24.0,1.0,8.0,Nebo/San Pitch Mtns,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO|RAC_2026_NOT_EQUAL_2025_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
45,2025,expo,"Bull Elk - Limited Entry - Any Weapon (late) - Fillmore, Pahvant - Permits: 1","Bull Elk - Limited Entry - Any Weapon (late) - Fillmore, Pahvant",1,EB3043,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,14.0,16.0,15.0,15.0,1.0,0.0,Fillmore Pahvant,Late Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
46,2025,expo,"Bull Elk - Limited Entry - Archery - Fillmore, Pahvant - Permits: 1","Bull Elk - Limited Entry - Archery - Fillmore, Pahvant",1,EB3008,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,20.0,22.0,21.0,21.0,1.0,0.0,Fillmore Pahvant,Archery,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
47,2025,expo,"Bull Elk - Limited Entry - Any Weapon (early) - La Sal, La Sal Mtns - Permits: 1","Bull Elk - Limited Entry - Any Weapon (early) - La Sal, La Sal Mtns",1,EB3045,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,15.0,17.0,16.0,16.0,1.0,0.0,La Sal Mtns,Early Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
48,2025,expo,"Bull Elk - Limited Entry - Any Weapon (mid) - La Sal, La Sal Mtns - Permits: 2","Bull Elk - Limited Entry - Any Weapon (mid) - La Sal, La Sal Mtns",2,EB3183,MATCHED,HIGH,Mapped by species/area/weapon/season text to official hunt code.,45.0,48.0,47.0,47.0,1.0,0.0,La Sal Mtns,Mid Any Legal Weapon,HARVEST_2025_PERMITS_NOT_EQUAL_DRAW_PLUS_EXPO,,,,,PERMIT_TOTAL_RECONCILIATION_REVIEW
