expo_row_id,selected_boundary_id,expo_description,expo_permits,component_hunt_code,component_hunt_name_2025_harvest,component_2025_harvest_report_permits,component_status
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1013,"Manti, Central",68,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1015,"Manti, Ferron Canyon",70,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1017,"Manti, Gordon Creek-Price Canyon",95,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1018,"Manti, Horn Mtn",59,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1020,"Manti, Mohrland-Stump Flat",118,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1022,"Manti, North",292,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1023,"Manti, South",98,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1024,"Manti, South",98,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1025,"Manti, West",117,candidate_component_within_boundary
79,EXPO_AE_MANTI_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Manti - Permits: 3,3,EA1220,Manti,2,candidate_component_within_boundary
80,EXPO_AE_LA_SAL_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,1,EA1037,Dolores Triangle,49,candidate_component_within_boundary
80,EXPO_AE_LA_SAL_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,1,EA1038,La Sal Mtns,197,candidate_component_within_boundary
80,EXPO_AE_LA_SAL_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,1,EA1039,La Sal Mtns,148,candidate_component_within_boundary
80,EXPO_AE_LA_SAL_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,1,EA1237,"La Sal Mtns, North",170,candidate_component_within_boundary
80,EXPO_AE_LA_SAL_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - La Sal - Permits: 1,1,EA1280,"La Sal Mtns, North",167,candidate_component_within_boundary
81,EXPO_AE_FISHLAKE_THOUSAND_LAKES_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes - Permits: 1,1,EA1078,Fishlake/Thousand Lakes,264,candidate_component_within_boundary
81,EXPO_AE_FISHLAKE_THOUSAND_LAKES_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes - Permits: 1,1,EA1079,Fishlake/Thousand Lakes East,64,candidate_component_within_boundary
81,EXPO_AE_FISHLAKE_THOUSAND_LAKES_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes - Permits: 1,1,EA1080,Fishlake/Thousand Lakes West,59,candidate_component_within_boundary
81,EXPO_AE_FISHLAKE_THOUSAND_LAKES_BOUNDARY_2025,Antlerless Elk - General Season - Any Open Season and Unit Within Boundary - Fishlake/Thousand Lakes - Permits: 1,1,EA1221,Fishlake/Thousand Lakes,1,candidate_component_within_boundary
