reported_hunt_year,model_target_year,source_family,species,hunt_code,hunt_name,hunt_type,weapon,permits,hunters_afield,harvest,average_days,percent_success,hunter_satisfaction,male_harvest,female_harvest,unknown_harvest,total_harvest,quota,percent_female,percent_adult_male,percent_5plus,mean_age,spot_stalk_harvest,source_file,source_file_sha256,source_page,parse_status,data_quality_flags,do_not_use_for_permit_quota,do_not_use_directly_for_p_draw,trend_feature_eligible,raw_line,section
2022,2023,black_bear_unit_summary,Black Bear,,Nine Mile,Black Bear Unit Summary,,90,,25,,28,,13,12,,25,,48,21,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,Nine Mile 90 13 12 25 28 48 21,
2022,2023,black_bear_unit_summary,Black Bear,,"North Slope, Three Corners/West Daggett",Black Bear Unit Summary,,8,,4,,50,,2,2,,4,,50,25,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"North Slope, Three Corners/West Daggett 8 2 2 4 50 50 25",
2022,2023,black_bear_unit_summary,Black Bear,,Panguitch Lake/Zion,Black Bear Unit Summary,,29,,12,,41,,10,2,,12,,17,25,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,Panguitch Lake/Zion 29 10 2 12 41 17 25,
2022,2023,black_bear_unit_summary,Black Bear,,Paunsaugunt,Black Bear Unit Summary,,11,,3,,27,,2,1,,3,,33,33,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,Paunsaugunt 11 2 1 3 27 33 33,
2022,2023,black_bear_unit_summary,Black Bear,,"Plateau, Boulder/Kaiparowits",Black Bear Unit Summary,,80,,18,,23,,7,11,,18,,61,18,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"Plateau, Boulder/Kaiparowits 80 7 11 18 23 61 18",
2022,2023,black_bear_unit_summary,Black Bear,,"Plateau, Fishlake/Thousand Lakes",Black Bear Unit Summary,,20,,13,,65,,9,4,,13,,31,25,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"Plateau, Fishlake/Thousand Lakes 20 9 4 13 65 31 25",
2022,2023,black_bear_unit_summary,Black Bear,,San Juan,Black Bear Unit Summary,,104,,44,,42,,24,20,,44,,45,16,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,San Juan 104 24 20 44 42 45 16,
2022,2023,black_bear_unit_summary,Black Bear,,"South Slope, Bonanza/Diamond Mtn/Vernal",Black Bear Unit Summary,,41,,19,,46,,9,10,,19,,53,17,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"South Slope, Bonanza/Diamond Mtn/Vernal 41 9 10 19 46 53 17",
2022,2023,black_bear_unit_summary,Black Bear,,"South Slope, Yellowstone",Black Bear Unit Summary,,22,,8,,36,,6,2,,8,,25,38,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"South Slope, Yellowstone 22 6 2 8 36 25 38",
2022,2023,black_bear_unit_summary,Black Bear,,"Wasatch Mtns, Avintaquin/Currant Creek",Black Bear Unit Summary,,40,,20,,50,,14,6,,20,,30,11,,,,22_black_bear_report.pdf,aa90fcb5456db4373d25c982542dcc680ecb86d61e0ac49730455c54c9c12df3,9,parsed,UNIT_SUMMARY_NO_HUNT_CODE,true,true,false,"Wasatch Mtns, Avintaquin/Currant Creek 40 14 6 20 50 30 11",
