hunt_code,boundary_id,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,NOTES,,permits_year_res,permits_year_nr,permits_year_total,permits_2026_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status
BI6500,1,Antelope Island,Hunters Choice,Bison,Any Legal Weapon,Once-in-a-lifetime,Dec 07 2026 - Dec 09 2026,2,0,2,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB0009,1,Antelope Island - Conservation/Expo,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,,,2,0,2,,,,,,,
DB1002,1,Antelope Island Premium,Buck,Deer,Any Legal Weapon,Premium Limited Entry,Nov 11 2026 - Nov 18 2026,1,0,1,,,4,2,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,1,0,1,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_premium_management_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1121,1,Antelope Island Management,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 16 2026 - Nov 20, 2026",2,0,2,,,5,2,7,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_premium_management_permits.csv,RAC_CURRENT_YEAR_SPLIT
RS1000,1,Antelope Island Conservation,Male Only,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Nov 9 2026 - Nov 16 2026,,,,,,8,3,11,,,,,,,
RS6700,1,Antelope Island,Either Sex,Rocky Mountain Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,"Nov 11, 2026 - Nov 18, 2026",2,0,2,,,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_rocky_mountain_bighorn_sheep_permits.csv,RAC_CURRENT_YEAR_SPLIT
DA1041,6,"Nine Mile, Green River Valley",Antlerless,Deer,Any Legal Weapon,General Season,Oct 03 2026 - Oct 25 2026,,,15,,,5,0,5,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
BR1008,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Summer,"July 5 - 16, 2026",26,2,28,,,6,0,6,,,,,,,
BR1011,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Late Summer,"July 18 - July 31, 2026",26,2,28,,,,,,,,,,,,
BR1015,7,Book Cliffs,Either Sex,Black Bear,Pursuit Only,Restricted Pursuit - Spring,"March 28 - May 25, 2026",0,2,2,,,6,0,6,,,,,,,
DB1011,7,Book Cliffs,Buck,Deer,Archery,Limited Entry,Aug 15 2026 - Sept 11 2026,55,6,61,,,8,0,8,2026_RAC_CURRENT_YEAR_ALLOTMENT,55,6,61,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1025,7,Book Cliffs,Buck,Deer,Muzzleloader,Limited Entry,Sept 23 2026 - Oct 01 2026,55,6,61,,,10,0,10,2026_RAC_CURRENT_YEAR_ALLOTMENT,55,6,61,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1044,7,Book Cliffs,Buck,Deer,Multiseason,Limited Entry,"Archery: Aug 15-Sept 11, 2026 | Muzz: Sept 23-Oct 1, 2026 | ALW: Oct 17-25, 2026",8,1,9,,,6,0,6,2026_RAC_CURRENT_YEAR_ALLOTMENT,8,1,9,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_buck_deer_limited_entry_permits.csv,RAC_CURRENT_YEAR_SPLIT
DB1056,7,Book Cliffs (North & South),Buck,Deer,Any Legal Weapon,Conservation,"Oct 17, 2026 - Oct 25, 2026",,,,,,10,0,10,,,,,,,
DB1075,7,Book Cliffs (North & South),Buck,Deer,Archery,Conservation,Aug 16 2025 - Sept 12 2025,,,,,,8,0,8,,,,,,,
DB1076,7,Book Cliffs (North & South),Buck,Deer,Muzzleloader,Conservation,Sept 24 2025 - Oct 02 2025,,,,,,15,0,15,,,,,,,
DA1030,11,"Nine Mile, Price River Valley",Antlerless,Deer,Archery,General Season,Aug 15 2026 - Sept 11 2026,,,25,,,8,7,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
DA1046,11,"Nine Mile, Price River Valley",Antlerless,Deer,"Archery, Muzzleloader, Shotgun",General Season,Sept 12 2026 - Oct 09 2026,,,25,,,,,,2026_RAC_CURRENT_YEAR_ALLOTMENT,,,25,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_antlerless_deer_permits.csv,RAC_CURRENT_YEAR_TOTAL_ONLY
BR7102,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Summer,"May 25 - June 28, 2026",5,0,5,,,11,0,11,,,,,,,
BR7224,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Limited Entry - Spring,"March 28 - May 25, 2026",14,1,15,,,,,,,,,,,,
BR7225,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Any Legal Weapon,Spot and Stalk,"Sept. 1 - Nov. 8, 2026",5,0,5,,,,,,,,,,,,
BR7301,12,Book Cliffs Little Creek Roadless,Either Sex,Black Bear,Multiseason,Limited Entry - Multiseason,"Mar. 28 - May 25 & May 25 - June 28 & Sept. 1 - Nov. 8, 2026",5,0,5,,,,,,,,,,,,
EB3002,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Archery,Limited Entry,Aug 15 2026 - Sept 15 2026,4,0,4,,,26,2,28,2026_RAC_CURRENT_YEAR_ALLOTMENT,4,0,4,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3028,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Early Any Legal Weapon,Limited Entry,Sept 16 2026 - Sept 20 2026,3,0,3,,,14,1,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,3,0,3,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
EB3079,12,"Book Cliffs, Little Creek Roadless",Bull,Elk,Muzzleloader,Limited Entry,Sept 21 2026 - Oct 02 2026,2,0,2,,,14,1,15,2026_RAC_CURRENT_YEAR_ALLOTMENT,2,0,2,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_limited_entry_bull_elk_permits.csv,RAC_CURRENT_YEAR_SPLIT
