dimension,key,permits_2022_2024,permits_2025_2027,annual_avg_2022_2024,annual_avg_2025_2027,cycle_change,annual_avg_change,pct_change,trend_direction
group,DSC,0,6,0.0,2.0,6,2.0,,UP
group,MDF,79,80,26.33,26.67,1,0.33,1.27,UP
group,NWTF,32,32,10.67,10.67,0,0.0,0.0,FLAT
group,RMEF,33,26,11.0,8.67,-7,-2.33,-21.21,DOWN
group,SCI,27,11,9.0,3.67,-16,-5.33,-59.26,DOWN
group,SFW,97,134,32.33,44.67,37,12.33,38.14,UP
group,UAA,9,10,3.0,3.33,1,0.33,11.11,UP
group,UCWF,0,1,0.0,0.33,1,0.33,,UP
group,UHA,4,9,1.33,3.0,5,1.67,125.0,UP
group,UWSF,20,13,6.67,4.33,-7,-2.33,-35.0,DOWN
group,WCF,17,14,5.67,4.67,-3,-1.0,-17.65,DOWN
