hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,Non Res,Res,Total,permit_status,permit_source_authority,permit_overlay_source,source_row,organization,model_version,rule_version,note
DS1000,Desert Bighorn Sheep - Statewide Permit,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Statewide,"Sept 1 - Dec 31, 2026",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,78,SFW,sportsman_existing_row,utah_desert_bighorn_conservation_code_lock_v1.0.0,Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 78 for Statewide.
DS1002,"Kaiparowits, East",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,71,UWSF,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 71 for Kaiparowits, East."
DS1003,"Kaiparowits, Escalante East/West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 12 - Nov 10, 2026",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,72,UWSF,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 72 for Kaiparowits, Escalante."
DS1004,"San Rafael, Dirty Devil",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13 - Dec 31, 2025",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,76,SCI,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 76 for San Rafael, Dirty Devil."
DS1006,"Kaiparowits, West",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,73,UWSF,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 73 for Kaiparowits, West."
DS1007,"San Rafael, South",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,77,UWSF,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 77 for San Rafael, South."
DS6605,"Pine Valley, Beaver Dam",Desert Bighorn Sheep,Male Only,Any Legal Weapon,Conservation,"Sept 13, 2025 - Dec 31, 2025",0,1,1,FULL_SPLIT,Utah DWR 2025-2027 Conservation Permit Database,conservation-permit-hunt-table-2025-27.csv,75,UWSF,desert_bighorn_conservation_reference_v1.0.0,utah_desert_bighorn_conservation_code_lock_v1.0.0,"Conservation permit count 1 pulled from Utah DWR 2025-2027 Conservation Permit Database; source row 75 for Pine Valley, Beaver Dam."
