hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,permits_2026_total,permits_2026_total_numeric,source_file,source_sha256,source_status
EA2002,Morgan-South Rich,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 600,600,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2003,East Canyon,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 500,500,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2004,Chalk Creek,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 600,600,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2005,"North Slope, West Daggett",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 100,100,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2006,Yellowstone,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 2000,2000,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2008,"Nine Mile, Anthro-Myton Bench",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 250,250,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2009,"La Sal, La Sal Mtns",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 70,70,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2010,San Juan,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 50,50,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2011,Manti,Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 300,300,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
EA2012,"Wasatch Mtns, West",Antlerless,Elk,Any Legal Weapon,Private Lands Only,Aug 01 2025 - Jan 31 2026,Total: 400,400,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/elk antlerless private lands only EA.csv,9dbca321aced7d3263b7be77324dc037d4327f0269ba88f5dbd62c37d06a52db,CANONICAL_USER_SUPPLIED_DWR_HUNT_PLANNER_EVIDENCE
