dimension,key,permits_2022_2024,permits_2025_2027,annual_avg_2022_2024,annual_avg_2025_2027,cycle_change,annual_avg_change,pct_change,trend_direction
species_family,Bison,8,6,2.67,2.0,-2,-0.67,-25.0,DOWN
species_family,Black Bear,41,44,13.67,14.67,3,1.0,7.32,UP
species_family,Cougar,1,0,0.33,0.0,-1,-0.33,-100.0,DOWN
species_family,Deer,38,39,12.67,13.0,1,0.33,2.63,UP
species_family,Desert Bighorn Sheep,8,8,2.67,2.67,0,0.0,0.0,FLAT
species_family,Elk,100,111,33.33,37.0,11,3.67,11.0,UP
species_family,Moose,6,5,2.0,1.67,-1,-0.33,-16.67,DOWN
species_family,Mountain Goat,7,7,2.33,2.33,0,0.0,0.0,FLAT
species_family,Pronghorn,60,69,20.0,23.0,9,3.0,15.0,UP
species_family,Rocky Mountain Bighorn Sheep,8,6,2.67,2.0,-2,-0.67,-25.0,DOWN
species_family,Turkey,41,41,13.67,13.67,0,0.0,0.0,FLAT
