hunt_name,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,sex_type,species,weapon,hunt_type,season,permits_2026_res,permits_2026_nr,permits_2026_total,permit_count_status,source_file,source_sha256,notes
Henry Mtns,DS6600,94,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6600,94,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"Kaiparowits, East",DS6601,98,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6601,98,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,10,3,13,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"Kaiparowits, West",DS6603,100,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6603,100,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,1,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"La Sal, Potash/South Cisco",DS6604,688,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6604,688,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,8,0,8,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Juan, Lockhart",DS6606,187,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6606,187,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Juan, South",DS6607,190,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6607,190,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Rafael, Dirty Devil",DS6608,193,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6608,193,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,1,4,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Rafael, North",DS6609,194,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6609,194,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,8,0,8,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Rafael, South",DS6610,195,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6610,195,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,10,2,12,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
Zion,DS6611,635,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6611,635,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"Pine Valley, Virgin River",DS6620,306,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6620,306,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Dec 25 2026,3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"Pine Valley, Beaver Dam",DS6621,305,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6621,305,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Oct 24 2026 - Dec 25 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Juan, North",DS6622,308,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6622,308,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,3,0,3,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Juan, San Juan River",DS6623,309,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6623,309,Male Only,Desert Bighorn Sheep,Any Legal Weapon,Once-in-a-lifetime,Sept 12 2026 - Nov 10 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
"San Rafael, Dirty Devil",DS6624,193,REVIEWED_CURRENT_HUNT_CODE,DATABASE_BOUNDARY_ID,DS6624,193,Male Only,Desert Bighorn Sheep,Archery,Once-in-a-lifetime,Nov 11 2026 - Dec 17 2026,2,0,2,FULL_SPLIT,pipeline/RAW/hunt_unit_database/2026/csv/2026 Permits/2026 desert bighorn.csv,c32bd1e71055f5034cb1242c1ddb11a48a92a61d3a1be630d2ce9c2d73df578a,Reviewed current 2026 public/OIAL desert bighorn permit number row.
