hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,Non Res,Res,Total,permit_status,permit_allocation_type,permit_source_authority,permit_overlay_source,data_status,model_version,rule_version,note
EA1180,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,antlerless_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Utah DWR Hunt Planner source confirms conservation antlerless elk hunt; no quota or resident/nonresident split was published in the uploaded source.
EA1270,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,antlerless_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Utah DWR Hunt Planner source confirms conservation antlerless elk hunt; no quota or resident/nonresident split was published in the uploaded source.
EA1271,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,antlerless_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Utah DWR Hunt Planner source confirms conservation antlerless elk hunt; no quota or resident/nonresident split was published in the uploaded source.
EA2041,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 26, 2025",,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,antlerless_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Utah DWR Hunt Planner source confirms conservation antlerless elk hunt; no quota or resident/nonresident split was published in the uploaded source.
EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",,,,NO_QUOTA_PUBLISHED,NO_QUOTA_PUBLISHED,Utah DWR Hunt Planner,2026_elk_antlerless__total.xlsx,SOURCE_CONFIRMED_NO_QUOTA_PUBLISHED,antlerless_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Utah DWR Hunt Planner source confirms conservation antlerless elk hunt; no quota or resident/nonresident split was published in the uploaded source.
EB3128,"Box Elder, Grouse Creek",Elk,Bull,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",,,1,TOTAL_ONLY,CONSERVATION_MULTIYEAR_TOTAL,Utah DWR Conservation Permit Working List,8C1294DD__2025-27_conservation_permits.pdf,COMPLETE_TOTAL_ONLY,elk_bull_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.
EB3209,"Box Elder, Pilot Mtn",Elk,Bull,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",,,1,TOTAL_ONLY,CONSERVATION_MULTIYEAR_TOTAL,Utah DWR Conservation Permit Working List,8C1294DD__2025-27_conservation_permits.pdf,COMPLETE_TOTAL_ONLY,elk_bull_reference_v1.0.0,utah_conservation_permit_code_lock_v1.0.0,Total count applied from Utah DWR 2025-2027 Multi-Year Conservation Permit working list. Resident/nonresident split is not published for these conservation permits.
